Calendar Year,Calendar Month,Calendar Yr-Mo,Calendar Yr Mo Sort,Calendar Month Sort,Product Subcategory,Sales Plan Amt,Sales Territory Region
2017,Jul,2017-Jul,201707,7,Bike Racks,78.0,United Kingdom
2015,Nov,2015-Nov,201511,11,Mountain Bikes,64991.808,Southwest
2016,Mar,2016-Mar,201603,3,Road Bikes,18275.2853,Northwest
2017,Sep,2017-Sep,201709,9,Gloves,37.7146,France
2017,Aug,2017-Aug,201708,8,Caps,293.7033,Northwest
2017,May,2017-May,201705,5,Tires and Tubes,4449.114,Australia
2017,Sep,2017-Sep,201709,9,Bottles and Cages,489.0396,Germany
2017,Jul,2017-Jul,201707,7,Helmets,1839.0744,Northwest
2017,Nov,2017-Nov,201711,11,Cleaners,36.729,United Kingdom
2017,May,2017-May,201705,5,Cleaners,69.2445,Australia
2017,Jan,2017-Jan,201701,1,Fenders,246.6156,Northwest
2018,Jan,2018-Jan,201801,1,Helmets,846.0582,France
2017,Mar,2017-Mar,201703,3,Bike Stands,731.4,Canada
2017,Jan,2017-Jan,201701,1,Hydration Packs,200.7135,Australia
2017,Aug,2017-Aug,201708,8,Shorts,327.5532,United Kingdom
2018,Jan,2018-Jan,201801,1,Tires and Tubes,2162.118,Canada
2017,Jun,2017-Jun,201706,6,Vests,388.62,Southwest
2018,Jan,2018-Jan,201801,1,Helmets,1643.8302,Northwest
2017,Mar,2017-Mar,201703,3,Gloves,446.6976,Canada
2017,Jan,2017-Jan,201701,1,Bike Racks,133.2,France
2017,Aug,2017-Aug,201708,8,Touring Bikes,32289.7536,Germany
2016,Sep,2016-Sep,201609,9,Road Bikes,9188.6633,Canada
2017,Oct,2017-Oct,201710,10,Caps,193.285,France
2017,Nov,2017-Nov,201711,11,Vests,949.325,Australia
2017,May,2017-May,201705,5,Socks,6.2031,France
2018,Jan,2018-Jan,201801,1,Tires and Tubes,1477.532,Southwest
2016,Oct,2016-Oct,201610,10,Mountain Bikes,17118.1398,France
2017,Nov,2017-Nov,201711,11,Road Bikes,57279.3209,Northwest
2017,Oct,2017-Oct,201710,10,Road Bikes,41727.6602,Northwest
2016,Dec,2016-Dec,201612,12,Mountain Bikes,7570.2992,Canada
2016,Feb,2016-Feb,201602,2,Mountain Bikes,15435.2007,Northwest
2017,Jan,2017-Jan,201701,1,Socks,23.5538,Australia
2017,Oct,2017-Oct,201710,10,Caps,220.8843,Germany
2017,Jun,2017-Jun,201706,6,Mountain Bikes,125308.7613,Northwest
2017,May,2017-May,201705,5,Helmets,4649.1213,Southwest
2017,Feb,2017-Feb,201702,2,Vests,502.92,Australia
2017,May,2017-May,201705,5,Caps,229.5147,United Kingdom
2016,Dec,2016-Dec,201612,12,Touring Bikes,4606.6176,Southwest
2017,Apr,2017-Apr,201704,4,Bike Stands,457.92,United Kingdom
2015,Aug,2015-Aug,201508,8,Road Bikes,38637.5945,United Kingdom
2015,Jun,2015-Jun,201506,6,Mountain Bikes,2767.4918,France
2015,Mar,2015-Mar,201503,3,Mountain Bikes,13167.7112,United Kingdom
2017,Aug,2017-Aug,201708,8,Mountain Bikes,164710.468,Australia
2017,Feb,2017-Feb,201702,2,Caps,109.2285,Northwest
2017,Aug,2017-Aug,201708,8,Vests,937.26,Southwest
2017,Aug,2017-Aug,201708,8,Shorts,415.7406,Australia
2017,Oct,2017-Oct,201710,10,Gloves,296.329,United Kingdom
2016,Dec,2016-Dec,201612,12,Road Bikes,33150.0601,United Kingdom
2017,Feb,2017-Feb,201702,2,Touring Bikes,8228.5782,Canada
2017,Oct,2017-Oct,201710,10,Shorts,170.0757,France
2017,Sep,2017-Sep,201709,9,Bottles and Cages,412.5096,France
2017,Jan,2017-Jan,201701,1,Gloves,132.246,France
2017,May,2017-May,201705,5,Vests,74.93,United Kingdom
2017,Dec,2017-Dec,201712,12,Fenders,1014.8166,Southwest
2017,May,2017-May,201705,5,Mountain Bikes,24250.0392,Germany
2017,Nov,2017-Nov,201711,11,Fenders,19.1226,Southeast
2017,Apr,2017-Apr,201704,4,Helmets,1391.9022,France
2017,Jul,2017-Jul,201707,7,Bottles and Cages,848.3846,Canada
2016,Sep,2016-Sep,201609,9,Road Bikes,32303.4912,United Kingdom
2017,May,2017-May,201705,5,Bike Racks,266.4,Australia
2017,Mar,2017-Mar,201703,3,Tires and Tubes,2284.308,Germany
2017,Jan,2017-Jan,201701,1,Helmets,736.8894,United Kingdom
2015,May,2015-May,201505,5,Road Bikes,71929.1188,Northwest
2017,Apr,2017-Apr,201704,4,Bike Stands,556.5,Australia
2017,Sep,2017-Sep,201709,9,Jerseys,2620.0476,Canada
2017,May,2017-May,201705,5,Socks,105.183,Canada
2017,Jan,2017-Jan,201701,1,Road Bikes,40023.1146,Germany
2017,Sep,2017-Sep,201709,9,Bottles and Cages,915.0267,Northwest
2016,Dec,2016-Dec,201612,12,Jerseys,46.4314,United Kingdom
2017,Dec,2017-Dec,201712,12,Helmets,35.6898,Southeast
2016,Jan,2016-Jan,201601,1,Road Bikes,37822.0768,United Kingdom
2017,Apr,2017-Apr,201704,4,Cleaners,17.331,France
2017,Feb,2017-Feb,201702,2,Vests,96.52,Germany
2018,Jan,2018-Jan,201801,1,Hydration Packs,46.7415,France
2017,Aug,2017-Aug,201708,8,Bike Racks,924.0,Southwest
2017,May,2017-May,201705,5,Socks,84.1464,Australia
2017,Jun,2017-Jun,201706,6,Tires and Tubes,2632.9794,Northwest
2017,Apr,2017-Apr,201704,4,Fenders,1353.3086,Southwest
2015,Aug,2015-Aug,201508,8,Road Bikes,154564.7082,Canada
2017,Dec,2017-Dec,201712,12,Touring Bikes,101513.8434,Australia
2017,Nov,2017-Nov,201711,11,Touring Bikes,63381.9492,United Kingdom
2017,Sep,2017-Sep,201709,9,Hydration Packs,98.982,Germany
2017,Feb,2017-Feb,201702,2,Gloves,664.6586,Southwest
