Clearing Date,Due Date,Customer Index,Value,Invoice Number
2019-03-26 00:00:00.000,2019-11-30 00:00:00.000,129,7913,"Inv00001"
2018-12-06 00:00:00.000,2019-03-05 00:00:00.000,2,8738,"Inv00002"
2019-01-05 00:00:00.000,2019-09-05 00:00:00.000,142,6521,"Inv00003"
2018-07-04 00:00:00.000,2019-02-28 00:00:00.000,88,9532,"Inv00004"
2018-07-12 00:00:00.000,2019-04-17 00:00:00.000,65,1666,"Inv00005"
2019-05-09 00:00:00.000,2019-08-08 00:00:00.000,68,5128,"Inv00006"
2018-01-09 00:00:00.000,2018-05-27 00:00:00.000,26,4097,"Inv00007"
2019-04-30 00:00:00.000,2020-03-20 00:00:00.000,63,3790,"Inv00008"
2019-06-03 00:00:00.000,2020-01-26 00:00:00.000,77,5154,"Inv00009"
2019-03-28 00:00:00.000,2019-10-16 00:00:00.000,82,10639,"Inv00010"
2018-01-29 00:00:00.000,2018-06-24 00:00:00.000,45,6183,"Inv00011"
2018-09-21 00:00:00.000,2018-12-06 00:00:00.000,38,8221,"Inv00012"
2019-07-04 00:00:00.000,2020-03-14 00:00:00.000,99,7989,"Inv00013"
2019-05-19 00:00:00.000,2019-09-24 00:00:00.000,42,1938,"Inv00014"
2018-08-26 00:00:00.000,2018-10-27 00:00:00.000,133,7628,"Inv00015"
2019-09-05 00:00:00.000,2020-03-13 00:00:00.000,90,6720,"Inv00016"
2019-07-10 00:00:00.000,2019-10-23 00:00:00.000,87,6282,"Inv00017"
2018-02-05 00:00:00.000,2018-09-03 00:00:00.000,44,9626,"Inv00018"
2019-08-28 00:00:00.000,2020-02-09 00:00:00.000,99,6699,"Inv00019"
2018-08-20 00:00:00.000,2019-04-28 00:00:00.000,150,9652,"Inv00020"
2018-12-01 00:00:00.000,2019-05-18 00:00:00.000,80,8521,"Inv00021"
2019-05-04 00:00:00.000,2020-02-11 00:00:00.000,113,8808,"Inv00022"
2018-02-04 00:00:00.000,2018-09-01 00:00:00.000,139,2926,"Inv00023"
2019-01-13 00:00:00.000,2019-04-01 00:00:00.000,31,5233,"Inv00024"
2018-10-26 00:00:00.000,2018-11-05 00:00:00.000,126,7035,"Inv00025"
2018-07-09 00:00:00.000,2018-10-21 00:00:00.000,75,4717,"Inv00026"
2019-02-01 00:00:00.000,2019-07-17 00:00:00.000,1,6425,"Inv00027"
2019-02-17 00:00:00.000,2019-05-10 00:00:00.000,21,4993,"Inv00028"
2018-06-18 00:00:00.000,2019-03-31 00:00:00.000,75,6817,"Inv00029"
2018-06-27 00:00:00.000,2019-05-09 00:00:00.000,170,10484,"Inv00030"
2019-06-13 00:00:00.000,2019-12-22 00:00:00.000,112,3621,"Inv00031"
2019-06-10 00:00:00.000,2019-08-06 00:00:00.000,117,8926,"Inv00032"
2019-01-11 00:00:00.000,2019-02-05 00:00:00.000,119,1574,"Inv00033"
2019-09-21 00:00:00.000,2020-05-07 00:00:00.000,138,8843,"Inv00034"
2019-08-04 00:00:00.000,2020-06-19 00:00:00.000,127,7875,"Inv00035"
2018-05-25 00:00:00.000,2018-12-22 00:00:00.000,8,9647,"Inv00036"
2019-03-19 00:00:00.000,2020-01-06 00:00:00.000,150,7147,"Inv00037"
2019-09-17 00:00:00.000,2019-11-22 00:00:00.000,94,7921,"Inv00038"
2018-06-05 00:00:00.000,2018-11-04 00:00:00.000,146,2259,"Inv00039"
2018-12-07 00:00:00.000,2019-09-12 00:00:00.000,151,8031,"Inv00040"
2018-03-09 00:00:00.000,2018-11-21 00:00:00.000,37,5428,"Inv00041"
2019-09-29 00:00:00.000,2020-08-09 00:00:00.000,55,7540,"Inv00042"
2019-03-07 00:00:00.000,2019-05-01 00:00:00.000,49,3954,"Inv00043"
2018-01-11 00:00:00.000,2018-10-29 00:00:00.000,87,3595,"Inv00044"
2019-01-02 00:00:00.000,2019-06-28 00:00:00.000,117,9910,"Inv00045"
2018-03-05 00:00:00.000,2018-08-24 00:00:00.000,22,4513,"Inv00046"
2018-03-07 00:00:00.000,2018-04-01 00:00:00.000,99,2431,"Inv00047"
2019-05-24 00:00:00.000,2020-04-05 00:00:00.000,129,5547,"Inv00048"
2018-07-01 00:00:00.000,2019-05-01 00:00:00.000,161,5013,"Inv00049"
2018-01-30 00:00:00.000,2018-09-04 00:00:00.000,121,9436,"Inv00050"
2018-07-08 00:00:00.000,2018-07-28 00:00:00.000,17,10085,"Inv00051"
2018-09-01 00:00:00.000,2019-03-08 00:00:00.000,117,9410,"Inv00052"
2018-07-11 00:00:00.000,2019-05-08 00:00:00.000,135,7043,"Inv00053"
2019-08-28 00:00:00.000,2020-05-01 00:00:00.000,79,1500,"Inv00054"
2019-09-17 00:00:00.000,2019-11-03 00:00:00.000,25,5002,"Inv00055"
2018-09-13 00:00:00.000,2019-06-28 00:00:00.000,145,3470,"Inv00056"
2018-06-27 00:00:00.000,2018-09-14 00:00:00.000,119,8113,"Inv00057"
2018-04-13 00:00:00.000,2019-01-20 00:00:00.000,143,4944,"Inv00058"
2018-04-14 00:00:00.000,2018-06-03 00:00:00.000,2,4543,"Inv00059"
2019-02-16 00:00:00.000,2019-10-08 00:00:00.000,101,5065,"Inv00060"
2018-09-19 00:00:00.000,2019-07-23 00:00:00.000,108,4969,"Inv00061"
2018-09-20 00:00:00.000,2019-08-08 00:00:00.000,123,2563,"Inv00062"
2019-03-31 00:00:00.000,2019-12-07 00:00:00.000,92,3521,"Inv00063"
2018-07-27 00:00:00.000,2019-01-20 00:00:00.000,133,7378,"Inv00064"
2019-02-08 00:00:00.000,2019-08-11 00:00:00.000,22,2578,"Inv00065"
2018-05-13 00:00:00.000,2019-02-28 00:00:00.000,49,7569,"Inv00066"
2018-04-29 00:00:00.000,2018-10-20 00:00:00.000,128,6479,"Inv00067"
2019-01-07 00:00:00.000,2019-03-10 00:00:00.000,100,1948,"Inv00068"
2018-02-21 00:00:00.000,2018-07-19 00:00:00.000,115,1649,"Inv00069"
2018-10-19 00:00:00.000,2018-12-04 00:00:00.000,1,9230,"Inv00070"
2019-07-31 00:00:00.000,2019-09-12 00:00:00.000,144,7174,"Inv00071"
2018-06-16 00:00:00.000,2018-08-18 00:00:00.000,127,3490,"Inv00072"
2019-05-16 00:00:00.000,2019-10-05 00:00:00.000,27,6807,"Inv00073"
2018-08-30 00:00:00.000,2018-09-11 00:00:00.000,154,3420,"Inv00074"
2018-07-04 00:00:00.000,2019-01-17 00:00:00.000,65,7079,"Inv00075"
2019-08-09 00:00:00.000,2019-12-30 00:00:00.000,145,3560,"Inv00076"
2019-02-07 00:00:00.000,2019-03-08 00:00:00.000,151,9529,"Inv00077"
2019-02-04 00:00:00.000,2019-05-22 00:00:00.000,168,7108,"Inv00078"
2018-09-30 00:00:00.000,2018-10-25 00:00:00.000,134,8648,"Inv00079"
2018-03-04 00:00:00.000,2018-06-13 00:00:00.000,3,9146,"Inv00080"
2018-12-24 00:00:00.000,2019-02-16 00:00:00.000,76,10083,"Inv00081"
2019-03-19 00:00:00.000,2019-10-02 00:00:00.000,21,1700,"Inv00082"
2019-08-06 00:00:00.000,2019-08-11 00:00:00.000,162,1685,"Inv00083"
2019-06-16 00:00:00.000,2019-12-28 00:00:00.000,149,10102,"Inv00084"
2018-01-15 00:00:00.000,2018-09-20 00:00:00.000,39,5056,"Inv00085"
2018-12-13 00:00:00.000,2019-01-25 00:00:00.000,16,7193,"Inv00086"
2019-08-07 00:00:00.000,2020-02-01 00:00:00.000,42,7089,"Inv00087"
2018-10-02 00:00:00.000,2018-10-09 00:00:00.000,83,3967,"Inv00088"
2019-03-08 00:00:00.000,2019-09-09 00:00:00.000,157,4702,"Inv00089"
2018-11-17 00:00:00.000,2019-03-15 00:00:00.000,122,2574,"Inv00090"
2018-11-24 00:00:00.000,2019-03-25 00:00:00.000,138,3568,"Inv00091"
2018-10-22 00:00:00.000,2019-07-30 00:00:00.000,171,4709,"Inv00092"
2018-08-14 00:00:00.000,2018-09-11 00:00:00.000,42,6700,"Inv00093"
2018-09-15 00:00:00.000,2019-07-30 00:00:00.000,70,4559,"Inv00094"
2018-06-21 00:00:00.000,2018-12-10 00:00:00.000,135,3505,"Inv00095"
2018-02-05 00:00:00.000,2018-05-15 00:00:00.000,8,7876,"Inv00096"
2018-06-05 00:00:00.000,2019-03-19 00:00:00.000,42,8918,"Inv00097"
2019-09-16 00:00:00.000,2019-09-25 00:00:00.000,5,1762,"Inv00098"
2018-02-08 00:00:00.000,2018-10-15 00:00:00.000,41,2621,"Inv00099"
2018-09-06 00:00:00.000,2019-06-28 00:00:00.000,150,3933,"Inv00100"
2018-08-21 00:00:00.000,2019-02-28 00:00:00.000,75,6112,"Inv00101"
2018-11-09 00:00:00.000,2019-03-18 00:00:00.000,145,10486,"Inv00102"
2018-04-10 00:00:00.000,2018-10-12 00:00:00.000,2,5358,"Inv00103"
2018-10-30 00:00:00.000,2018-11-17 00:00:00.000,40,3074,"Inv00104"
2018-06-13 00:00:00.000,2019-03-16 00:00:00.000,75,7283,"Inv00105"
2019-02-05 00:00:00.000,2019-08-22 00:00:00.000,124,4305,"Inv00106"
2018-12-12 00:00:00.000,2019-02-20 00:00:00.000,164,6665,"Inv00107"
2018-04-10 00:00:00.000,2018-08-26 00:00:00.000,173,7257,"Inv00108"
2019-08-21 00:00:00.000,2019-09-28 00:00:00.000,144,9428,"Inv00109"
2019-02-21 00:00:00.000,2019-07-16 00:00:00.000,135,1978,"Inv00110"
2018-11-19 00:00:00.000,2018-12-03 00:00:00.000,48,3617,"Inv00111"
2018-09-06 00:00:00.000,2018-11-15 00:00:00.000,110,2886,"Inv00112"
2018-03-10 00:00:00.000,2018-12-26 00:00:00.000,33,10306,"Inv00113"
2019-05-15 00:00:00.000,2019-07-20 00:00:00.000,11,1622,"Inv00114"
2018-10-20 00:00:00.000,2018-10-23 00:00:00.000,79,9324,"Inv00115"
2019-04-26 00:00:00.000,2019-06-14 00:00:00.000,33,1690,"Inv00116"
2019-01-15 00:00:00.000,2019-09-21 00:00:00.000,82,5141,"Inv00117"
2019-06-15 00:00:00.000,2019-07-02 00:00:00.000,104,8962,"Inv00118"
2018-01-12 00:00:00.000,2018-03-24 00:00:00.000,175,4885,"Inv00119"
2018-05-15 00:00:00.000,2019-02-16 00:00:00.000,71,10455,"Inv00120"
2018-02-17 00:00:00.000,2018-05-17 00:00:00.000,91,3973,"Inv00121"
2018-03-09 00:00:00.000,2019-01-01 00:00:00.000,106,3630,"Inv00122"
