Items,Category,Month,Values,Type,Index Type
"COS - Labor Burden","COGS",2015-05-01 00:00:00.000,15340.505838555746,"Expenses",2
"COS - Labor Burden","COGS",2015-06-01 00:00:00.000,15493.910896941303,"Expenses",2
"COS - Labor Burden","COGS",2015-07-01 00:00:00.000,15338.97178797189,"Expenses",2
"COS - Labor Burden","COGS",2015-08-01 00:00:00.000,15032.192352212451,"Expenses",2
"COS - Labor Burden","COGS",2015-09-01 00:00:00.000,14280.582734601827,"Expenses",2
"COS - Labor Burden","COGS",2015-10-01 00:00:00.000,14280.582734601827,"Expenses",2
"COS - Labor Burden","COGS",2015-11-01 00:00:00.000,13709.359425217752,"Expenses",2
"COS - Labor Burden","COGS",2015-12-01 00:00:00.000,13435.172236713397,"Expenses",2
"COS - Labor Burden","COGS",2016-01-01 00:00:00.000,13569.52395908053,"Expenses",2
"COS - Labor Burden","COGS",2016-02-01 00:00:00.000,13705.219198671337,"Expenses",2
"COS - Labor Burden","COGS",2016-03-01 00:00:00.000,13979.323582644764,"Expenses",2
"COS - Labor Burden","COGS",2016-04-01 00:00:00.000,13979.323582644764,"Expenses",2
"COS - Labor Burden","COGS",2016-05-01 00:00:00.000,14119.116818471211,"Expenses",2
"COS - Labor Burden","COGS",2016-06-01 00:00:00.000,13695.543313917076,"Expenses",2
"COS - Labor Burden","COGS",2016-07-01 00:00:00.000,13421.632447638733,"Expenses",2
"COS - Labor Burden","COGS",2016-08-01 00:00:00.000,13824.281421067895,"Expenses",2
"COS - Labor Burden","COGS",2016-09-01 00:00:00.000,14377.252677910612,"Expenses",2
"COS - Labor Burden","COGS",2016-10-01 00:00:00.000,14521.025204689717,"Expenses",2
"COS - Labor Burden","COGS",2016-11-01 00:00:00.000,14230.604700595923,"Expenses",2
"COS - Labor Burden","COGS",2016-12-01 00:00:00.000,13661.380512572085,"Expenses",2
"COS - Labor Burden","COGS",2017-01-01 00:00:00.000,14344.449538200692,"Expenses",2
"COS - Labor Burden","COGS",2017-02-01 00:00:00.000,14631.338528964705,"Expenses",2
"COS - Labor Burden","COGS",2017-03-01 00:00:00.000,14046.084987806116,"Expenses",2
"COS - Labor Burden","COGS",2017-04-01 00:00:00.000,14327.00668756224,"Expenses",2
"COS - Labor Burden","COGS",2017-05-01 00:00:00.000,14756.816888189107,"Expenses",2
"COS - Labor Burden","COGS",2017-06-01 00:00:00.000,14609.248719307216,"Expenses",2
