ProductKey,DateKey,variable,value
412,20120510,MovementDate,2012-05-10 00:00:00.000
19,20110617,MovementDate,2011-06-17 00:00:00.000
224,20110724,MovementDate,2011-07-24 00:00:00.000
208,20130723,MovementDate,2013-07-23 00:00:00.000
376,20130314,MovementDate,2013-03-14 00:00:00.000
131,20121230,MovementDate,2012-12-30 00:00:00.000
469,20130420,MovementDate,2013-04-20 00:00:00.000
73,20120708,MovementDate,2012-07-08 00:00:00.000
523,20120421,MovementDate,2012-04-21 00:00:00.000
371,20120318,MovementDate,2012-03-18 00:00:00.000
512,20120603,MovementDate,2012-06-03 00:00:00.000
601,20140305,MovementDate,2014-03-05 00:00:00.000
242,20130712,MovementDate,2013-07-12 00:00:00.000
212,20130713,MovementDate,2013-07-13 00:00:00.000
122,20110131,MovementDate,2011-01-31 00:00:00.000
388,20110415,MovementDate,2011-04-15 00:00:00.000
417,20121214,MovementDate,2012-12-14 00:00:00.000
416,20130330,MovementDate,2013-03-30 00:00:00.000
557,20140101,MovementDate,2014-01-01 00:00:00.000
345,20111116,MovementDate,2011-11-16 00:00:00.000
366,20111223,MovementDate,2011-12-23 00:00:00.000
173,20121228,MovementDate,2012-12-28 00:00:00.000
125,20140208,MovementDate,2014-02-08 00:00:00.000
231,20110421,MovementDate,2011-04-21 00:00:00.000
433,20131202,MovementDate,2013-12-02 00:00:00.000
283,20131013,MovementDate,2013-10-13 00:00:00.000
3,20140629,MovementDate,2014-06-29 00:00:00.000
546,20130131,MovementDate,2013-01-31 00:00:00.000
544,20110111,MovementDate,2011-01-11 00:00:00.000
267,20110320,MovementDate,2011-03-20 00:00:00.000
340,20130525,MovementDate,2013-05-25 00:00:00.000
239,20120529,MovementDate,2012-05-29 00:00:00.000
98,20110813,MovementDate,2011-08-13 00:00:00.000
563,20130417,MovementDate,2013-04-17 00:00:00.000
296,20130706,MovementDate,2013-07-06 00:00:00.000
248,20120222,MovementDate,2012-02-22 00:00:00.000
103,20120419,MovementDate,2012-04-19 00:00:00.000
8,20110427,MovementDate,2011-04-27 00:00:00.000
12,20140413,MovementDate,2014-04-13 00:00:00.000
580,20120212,MovementDate,2012-02-12 00:00:00.000
