ProductKey,OrderDateKey,DueDateKey,ShipDateKey,ResellerKey,EmployeeKey,PromotionKey,CurrencyKey,SalesTerritoryKey,SalesOrderNumber,SalesOrderLineNumber,RevisionNumber,OrderQuantity,UnitPrice,ExtendedAmount,UnitPriceDiscountPct,DiscountAmount,ProductStandardCost,TotalProductCost,SalesAmount,TaxAmt,Freight,CarrierTrackingNumber,CustomerPONumber,OrderDate,DueDate,ShipDate
317,20110129,20110210,20110205,403,282,1,100,4,"SO43912",1,1,1,874.794,874.794,0,0,884.7083,884.7083,874.794,69.9835,21.8699,"69B6-46F8-A4","PO7656175368",2011-01-29 00:00:00.000,2011-02-10 00:00:00.000,2011-02-05 00:00:00.000
322,20110129,20110210,20110205,403,282,1,100,4,"SO43912",4,1,1,419.4589,419.4589,0,0,413.1463,413.1463,419.4589,33.5567,10.4865,"69B6-46F8-A4","PO7656175368",2011-01-29 00:00:00.000,2011-02-10 00:00:00.000,2011-02-05 00:00:00.000
316,20110129,20110210,20110205,403,282,1,100,4,"SO43912",8,1,1,874.794,874.794,0,0,884.7083,884.7083,874.794,69.9835,21.8699,"69B6-46F8-A4","PO7656175368",2011-01-29 00:00:00.000,2011-02-10 00:00:00.000,2011-02-05 00:00:00.000
270,20110129,20110210,20110205,403,282,1,100,4,"SO43912",10,1,1,183.9382,183.9382,0,0,181.4857,181.4857,183.9382,14.7151,4.5985,"69B6-46F8-A4","PO7656175368",2011-01-29 00:00:00.000,2011-02-10 00:00:00.000,2011-02-05 00:00:00.000
314,20110129,20110210,20110205,403,282,1,100,4,"SO43912",13,1,1,2146.962,2146.962,0,0,2171.2942,2171.2942,2146.962,171.757,53.6741,"69B6-46F8-A4","PO7656175368",2011-01-29 00:00:00.000,2011-02-10 00:00:00.000,2011-02-05 00:00:00.000
215,20110129,20110210,20110205,403,282,1,100,4,"SO43912",14,1,1,20.1865,20.1865,0,0,12.0278,12.0278,20.1865,1.6149,0.5047,"69B6-46F8-A4","PO7656175368",2011-01-29 00:00:00.000,2011-02-10 00:00:00.000,2011-02-05 00:00:00.000
285,20110129,20110210,20110205,403,282,1,100,4,"SO43912",15,1,1,178.5808,178.5808,0,0,176.1997,176.1997,178.5808,14.2865,4.4645,"69B6-46F8-A4","PO7656175368",2011-01-29 00:00:00.000,2011-02-10 00:00:00.000,2011-02-05 00:00:00.000
272,20110501,20110513,20110508,403,282,1,100,4,"SO44564",2,1,1,183.9382,183.9382,0,0,181.4857,181.4857,183.9382,14.7151,4.5985,"142F-443C-90","PO7656157194",2011-05-01 00:00:00.000,2011-05-13 00:00:00.000,2011-05-08 00:00:00.000
326,20110501,20110513,20110508,403,282,1,100,4,"SO44564",4,1,1,419.4589,419.4589,0,0,413.1463,413.1463,419.4589,33.5567,10.4865,"142F-443C-90","PO7656157194",2011-05-01 00:00:00.000,2011-05-13 00:00:00.000,2011-05-08 00:00:00.000
229,20110501,20110513,20110508,403,282,1,100,4,"SO44564",5,1,1,28.8404,28.8404,0,0,31.7244,31.7244,28.8404,2.3072,0.721,"142F-443C-90","PO7656157194",2011-05-01 00:00:00.000,2011-05-13 00:00:00.000,2011-05-08 00:00:00.000
336,20110501,20110513,20110508,403,282,1,100,4,"SO44564",6,1,1,419.4589,419.4589,0,0,413.1463,413.1463,419.4589,33.5567,10.4865,"142F-443C-90","PO7656157194",2011-05-01 00:00:00.000,2011-05-13 00:00:00.000,2011-05-08 00:00:00.000
334,20110501,20110513,20110508,403,282,1,100,4,"SO44564",7,1,1,419.4589,419.4589,0,0,413.1463,413.1463,419.4589,33.5567,10.4865,"142F-443C-90","PO7656157194",2011-05-01 00:00:00.000,2011-05-13 00:00:00.000,2011-05-08 00:00:00.000
