Season,Match_Key,match_date,Ground,Winner,match_result,Toss_Winner,Toss_Decision,Teams,Name,is_winner
"2009","20090427DC",2009-04-27 00:00:00.000,"Durban","Deccan Chargers","won by 6 Wickets","Deccan Chargers","field","Team 1","Chennai Super Kings",0
"2009","20090427DC",2009-04-27 00:00:00.000,"Durban","Deccan Chargers","won by 6 Wickets","Deccan Chargers","field","Team 2","Deccan Chargers",1
"2009","20090430DC",2009-04-30 00:00:00.000,"Centurion","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 1","Deccan Chargers",0
"2009","20090430DC",2009-04-30 00:00:00.000,"Centurion","Delhi Capitals","won by 6 Wickets","Delhi Capitals","field","Team 2","Delhi Capitals",1
"2009","20090512RCB",2009-05-12 00:00:00.000,"Centurion","Royal Challengers Bangalore","won by 6 Wickets","Royal Challengers Bangalore","field","Team 1","Royal Challengers Bangalore",1
"2009","20090512RCB",2009-05-12 00:00:00.000,"Centurion","Royal Challengers Bangalore","won by 6 Wickets","Royal Challengers Bangalore","field","Team 2","Kolkata Knight Riders",0
"2009","20090515KXP",2009-05-15 00:00:00.000,"Bloemfontein","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Delhi Capitals",0
"2009","20090515KXP",2009-05-15 00:00:00.000,"Bloemfontein","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Kings XI Punjab",1
"2009","20090516DC",2009-05-16 00:00:00.000,"Johannesburg","Deccan Chargers","won by 6 Wickets","Deccan Chargers","field","Team 1","Deccan Chargers",1
"2009","20090516DC",2009-05-16 00:00:00.000,"Johannesburg","Deccan Chargers","won by 6 Wickets","Deccan Chargers","field","Team 2","Kolkata Knight Riders",0
"2009","20090522DC",2009-05-22 00:00:00.000,"Centurion","Deccan Chargers","won by 6 Wickets","Deccan Chargers","field","Team 1","Delhi Capitals",0
"2009","20090522DC",2009-05-22 00:00:00.000,"Centurion","Deccan Chargers","won by 6 Wickets","Deccan Chargers","field","Team 2","Deccan Chargers",1
"2009","20090523RCB",2009-05-23 00:00:00.000,"Johannesburg","Royal Challengers Bangalore","won by 6 Wickets","Royal Challengers Bangalore","field","Team 1","Royal Challengers Bangalore",1
"2009","20090523RCB",2009-05-23 00:00:00.000,"Johannesburg","Royal Challengers Bangalore","won by 6 Wickets","Royal Challengers Bangalore","field","Team 2","Chennai Super Kings",0
"2011","20110413KXP",2011-04-13 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kings XI Punjab",1
"2011","20110413KXP",2011-04-13 00:00:00.000,"Mohali","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Chennai Super Kings",0
"2011","20110501RR",2011-05-01 00:00:00.000,"Jaipur","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 1","Rajasthan Royals",1
"2011","20110501RR",2011-05-01 00:00:00.000,"Jaipur","Rajasthan Royals","won by 6 Wickets","Rajasthan Royals","field","Team 2","Pune Warriors",0
"2011","20110513KXP",2011-05-13 00:00:00.000,"Indore","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 1","Kochi Tuskers Kerala",0
"2011","20110513KXP",2011-05-13 00:00:00.000,"Indore","Kings XI Punjab","won by 6 Wickets","Kings XI Punjab","field","Team 2","Kings XI Punjab",1
"2011","20110516DC",2011-05-16 00:00:00.000,"Mumbai","Deccan Chargers","won by 6 Wickets","Deccan Chargers","field","Team 1","Pune Warriors",0
"2011","20110516DC",2011-05-16 00:00:00.000,"Mumbai","Deccan Chargers","won by 6 Wickets","Deccan Chargers","field","Team 2","Deccan Chargers",1
"2011","20110524CSK",2011-05-24 00:00:00.000,"Mumbai","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 1","Royal Challengers Bangalore",0
"2011","20110524CSK",2011-05-24 00:00:00.000,"Mumbai","Chennai Super Kings","won by 6 Wickets","Chennai Super Kings","field","Team 2","Chennai Super Kings",1
