season,match_key,match_date,team,innings,overs_played,runs_made,allocated_overs,rr,date_abr
"2008","20080418KKR",2008-04-18 00:00:00.000,"Kolkata Knight Riders",1,19.6,222,20,11.1,"18 Apr 2008"
"2008","20080419CSK",2008-04-19 00:00:00.000,"Chennai Super Kings",1,19.6,240,20,12,"19 Apr 2008"
"2008","20080419DD",2008-04-19 00:00:00.000,"Rajasthan Royals",1,19.6,129,20,6.45,"19 Apr 2008"
"2008","20080420RCB",2008-04-20 00:00:00.000,"Mumbai Indians",1,19.6,165,20,8.25,"20 Apr 2008"
"2008","20080423CSK",2008-04-23 00:00:00.000,"Chennai Super Kings",1,19.6,208,20,10.4,"23 Apr 2008"
"2008","20080425KXP",2008-04-25 00:00:00.000,"Kings XI Punjab",1,19.6,182,20,9.1,"25 Apr 2008"
"2008","20080427DC",2008-04-27 00:00:00.000,"Mumbai Indians",1,19.6,154,20,7.7,"27 Apr 2008"
"2008","20080427KXP",2008-04-27 00:00:00.000,"Delhi Daredevils",1,19.6,158,20,7.9,"27 Apr 2008"
"2008","20080428CSK",2008-04-28 00:00:00.000,"Chennai Super Kings",1,19.6,178,20,8.9,"28 Apr 2008"
"2008","20080430DD",2008-04-30 00:00:00.000,"Delhi Daredevils",1,19.6,191,20,9.55,"30 Apr 2008"
"2008","20080501KXP",2008-05-01 00:00:00.000,"Deccan Chargers",1,19.6,164,20,8.2,"1 May 2008"
"2008","20080502DD",2008-05-02 00:00:00.000,"Chennai Super Kings",1,19.6,169,20,8.45,"2 May 2008"
"2008","20080503KXP",2008-05-03 00:00:00.000,"Kings XI Punjab",1,19.6,178,20,8.9,"3 May 2008"
"2008","20080503RCB",2008-05-03 00:00:00.000,"Royal Challengers Bangalore",1,19.6,156,20,7.8,"3 May 2008"
"2008","20080504MI",2008-05-04 00:00:00.000,"Mumbai Indians",1,19.6,162,20,8.1,"4 May 2008"
"2008","20080506DC",2008-05-06 00:00:00.000,"Chennai Super Kings",1,19.6,144,20,7.2,"6 May 2008"
"2008","20080508CSK",2008-05-08 00:00:00.000,"Delhi Daredevils",1,19.6,187,20,9.35,"8 May 2008"
"2008","20080510CSK",2008-05-10 00:00:00.000,"Chennai Super Kings",1,19.6,181,20,9.05,"10 May 2008"
"2008","20080511KKR",2008-05-11 00:00:00.000,"Kolkata Knight Riders",1,19.6,204,20,10.2,"11 May 2008"
"2008","20080511RR",2008-05-11 00:00:00.000,"Delhi Daredevils",1,19.6,156,20,7.8,"11 May 2008"
"2008","20080513KKR",2008-05-13 00:00:00.000,"Kolkata Knight Riders",1,19.6,133,20,6.65,"13 May 2008"
"2008","20080515DD",2008-05-15 00:00:00.000,"Delhi Daredevils",1,19.6,194,20,9.7,"15 May 2008"
"2008","20080517RR",2008-05-17 00:00:00.000,"Rajasthan Royals",1,19.6,197,20,9.85,"17 May 2008"
"2008","20080518CSK",2008-05-18 00:00:00.000,"Kolkata Knight Riders",1,19.6,149,20,7.45,"18 May 2008"
"2008","20080518MI",2008-05-18 00:00:00.000,"Mumbai Indians",1,19.6,178,20,8.9,"18 May 2008"
"2008","20080519DD",2008-05-19 00:00:00.000,"Royal Challengers Bangalore",1,19.6,154,20,7.7,"19 May 2008"
"2008","20080520RR",2008-05-20 00:00:00.000,"Kolkata Knight Riders",1,19.6,147,20,7.35,"20 May 2008"
"2008","20080521RCB",2008-05-21 00:00:00.000,"Royal Challengers Bangalore",1,19.6,126,20,6.3,"21 May 2008"
"2008","20080523KXP",2008-05-23 00:00:00.000,"Deccan Chargers",1,19.6,175,20,8.75,"23 May 2008"
"2008","20080524DD",2008-05-24 00:00:00.000,"Mumbai Indians",1,19.6,176,20,8.8,"24 May 2008"
"2008","20080524RR",2008-05-24 00:00:00.000,"Rajasthan Royals",1,19.6,211,20,10.55,"24 May 2008"
"2008","20080525KKR",2008-05-25 00:00:00.000,"Kings XI Punjab",1,19.6,174,20,8.7,"25 May 2008"
"2008","20080525RCB",2008-05-25 00:00:00.000,"Deccan Chargers",1,19.6,165,20,8.25,"25 May 2008"
"2008","20080527CSK",2008-05-27 00:00:00.000,"Deccan Chargers",1,19.6,147,20,7.35,"27 May 2008"
