match_key,innings,team,batsman,player_key,batting_position,Season
"20080419CSK",2,"Kings XI Punjab","K Goel",1041,1,"2008"
"20080419CSK",2,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080419CSK",2,"Kings XI Punjab","KC Sangakkara",1043,3,"2008"
"20080419CSK",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2008"
"20080419CSK",2,"Kings XI Punjab","SM Katich",1113,5,"2008"
"20080419CSK",2,"Kings XI Punjab","IK Pathan",1045,6,"2008"
"20080425KXP",1,"Kings XI Punjab","K Goel",1041,1,"2008"
"20080425KXP",1,"Kings XI Punjab","IK Pathan",1045,2,"2008"
"20080425KXP",1,"Kings XI Punjab","KC Sangakkara",1043,3,"2008"
"20080425KXP",1,"Kings XI Punjab","Yuvraj Singh",1042,4,"2008"
"20080425KXP",1,"Kings XI Punjab","RR Sarwan",1490,5,"2008"
"20080425KXP",1,"Kings XI Punjab","DPMD Jayawardene",1044,6,"2008"
"20080425KXP",1,"Kings XI Punjab","S Sohal",1124,7,"2008"
"20080425KXP",1,"Kings XI Punjab","B Lee",1134,8,"2008"
"20080425KXP",1,"Kings XI Punjab","PP Chawla",1046,9,"2008"
"20080425KXP",1,"Kings XI Punjab","S Sreesanth",1127,10,"2008"
"20080425KXP",1,"Kings XI Punjab","VRV Singh",1491,11,"2008"
"20080427KXP",2,"Kings XI Punjab","K Goel",1041,1,"2008"
"20080427KXP",2,"Kings XI Punjab","SM Katich",1113,2,"2008"
"20080427KXP",2,"Kings XI Punjab","KC Sangakkara",1043,3,"2008"
"20080427KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,4,"2008"
"20080427KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,5,"2008"
"20080427KXP",2,"Kings XI Punjab","TM Srivastava",1114,6,"2008"
"20080427KXP",2,"Kings XI Punjab","IK Pathan",1045,7,"2008"
"20080427KXP",2,"Kings XI Punjab","B Lee",1134,8,"2008"
"20080501KXP",2,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080501KXP",2,"Kings XI Punjab","RR Sarwan",1490,2,"2008"
"20080501KXP",2,"Kings XI Punjab","KC Sangakkara",1043,3,"2008"
"20080501KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2008"
"20080501KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2008"
"20080503KXP",1,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080503KXP",1,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080503KXP",1,"Kings XI Punjab","KC Sangakkara",1043,3,"2008"
"20080503KXP",1,"Kings XI Punjab","Yuvraj Singh",1042,4,"2008"
"20080503KXP",1,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2008"
"20080503KXP",1,"Kings XI Punjab","K Goel",1041,6,"2008"
"20080503KXP",1,"Kings XI Punjab","IK Pathan",1045,7,"2008"
"20080503KXP",1,"Kings XI Punjab","PP Chawla",1046,8,"2008"
"20080505KXP",2,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080505KXP",2,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080505KXP",2,"Kings XI Punjab","RR Sarwan",1490,3,"2008"
"20080505KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,4,"2008"
"20080505KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2008"
"20080505KXP",2,"Kings XI Punjab","IK Pathan",1045,6,"2008"
"20080510CSK",2,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080510CSK",2,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080510CSK",2,"Kings XI Punjab","K Goel",1041,3,"2008"
"20080510CSK",2,"Kings XI Punjab","RR Sarwan",1490,4,"2008"
"20080510CSK",2,"Kings XI Punjab","Yuvraj Singh",1042,5,"2008"
"20080510CSK",2,"Kings XI Punjab","IK Pathan",1045,6,"2008"
"20080510CSK",2,"Kings XI Punjab","DPMD Jayawardene",1044,7,"2008"
"20080510CSK",2,"Kings XI Punjab","PP Chawla",1046,8,"2008"
"20080510CSK",2,"Kings XI Punjab","VRV Singh",1491,9,"2008"
"20080510CSK",2,"Kings XI Punjab","U Kaul",1509,10,"2008"
"20080512KXP",2,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080512KXP",2,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080512KXP",2,"Kings XI Punjab","LA Pomersbach",1139,3,"2008"
"20080517KXP",2,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080517KXP",2,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080517KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,3,"2008"
"20080517KXP",2,"Kings XI Punjab","LA Pomersbach",1139,4,"2008"
"20080517KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2008"
"20080521KXP",1,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080521KXP",1,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080521KXP",1,"Kings XI Punjab","LA Pomersbach",1139,3,"2008"
"20080521KXP",1,"Kings XI Punjab","Yuvraj Singh",1042,4,"2008"
"20080521KXP",1,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2008"
"20080521KXP",1,"Kings XI Punjab","IK Pathan",1045,6,"2008"
"20080523KXP",2,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080523KXP",2,"Kings XI Punjab","KC Sangakkara",1043,2,"2008"
"20080523KXP",2,"Kings XI Punjab","Yuvraj Singh",1042,3,"2008"
"20080523KXP",2,"Kings XI Punjab","LA Pomersbach",1139,4,"2008"
"20080523KXP",2,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2008"
"20080523KXP",2,"Kings XI Punjab","PP Chawla",1046,6,"2008"
"20080525KKR",1,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080525KKR",1,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080525KKR",1,"Kings XI Punjab","KC Sangakkara",1043,3,"2008"
"20080525KKR",1,"Kings XI Punjab","Yuvraj Singh",1042,4,"2008"
"20080525KKR",1,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2008"
"20080525KKR",1,"Kings XI Punjab","IK Pathan",1045,6,"2008"
"20080525KKR",1,"Kings XI Punjab","PP Chawla",1046,7,"2008"
"20080525KKR",1,"Kings XI Punjab","TM Srivastava",1114,8,"2008"
"20080528KXP",1,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080528KXP",1,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080528KXP",1,"Kings XI Punjab","Yuvraj Singh",1042,3,"2008"
"20080528KXP",1,"Kings XI Punjab","LA Pomersbach",1139,4,"2008"
"20080531CSK",1,"Kings XI Punjab","SE Marsh",1170,1,"2008"
"20080531CSK",1,"Kings XI Punjab","JR Hopes",1186,2,"2008"
"20080531CSK",1,"Kings XI Punjab","KC Sangakkara",1043,3,"2008"
"20080531CSK",1,"Kings XI Punjab","Yuvraj Singh",1042,4,"2008"
"20080531CSK",1,"Kings XI Punjab","DPMD Jayawardene",1044,5,"2008"
"20080531CSK",1,"Kings XI Punjab","IK Pathan",1045,6,"2008"
"20080531CSK",1,"Kings XI Punjab","WA Mota",1093,7,"2008"
"20080531CSK",1,"Kings XI Punjab","PP Chawla",1046,8,"2008"
"20080531CSK",1,"Kings XI Punjab","RR Powar",1106,9,"2008"
"20080531CSK",1,"Kings XI Punjab","S Sreesanth",1127,10,"2008"
"20090421KKR",1,"Kings XI Punjab","RS Bopara",1040,1,"2009"
"20090421KKR",1,"Kings XI Punjab","K Goel",1041,2,"2009"
"20090421KKR",1,"Kings XI Punjab","IK Pathan",1045,3,"2009"
"20090421KKR",1,"Kings XI Punjab","KC Sangakkara",1043,4,"2009"
