Season,match_key,innings,team,batsman,player_key,batting_position,R,B,fours,sixes,special_role
"2008","20080418KKR",2,"Royal Challengers Bangalore","B Akhil",1025,7,0,2,0,0,"normal player"
"2008","20080420KKR",1,"Deccan Chargers","VVS Laxman",1063,3,0,6,0,0,"captain"
"2008","20080420KKR",1,"Deccan Chargers","RG Sharma",1064,5,0,3,0,0,"normal player"
"2008","20080420KKR",1,"Deccan Chargers","WPUJC Vaas",1135,9,0,1,0,0,"normal player"
"2008","20080420KKR",2,"Kolkata Knight Riders","RT Ponting",1280,3,0,1,0,0,"normal player"
"2008","20080420RCB",1,"Mumbai Indians","DJ Thornely",1484,3,0,5,0,0,"normal player"
"2008","20080425KXP",1,"Kings XI Punjab","S Sohal",1124,7,0,4,0,0,"normal player"
"2008","20080425KXP",1,"Kings XI Punjab","PP Chawla",1046,9,0,1,0,0,"normal player"
"2008","20080425KXP",1,"Kings XI Punjab","S Sreesanth",1127,10,0,1,0,0,"normal player"
"2008","20080425KXP",2,"Mumbai Indians","Harbhajan Singh",1007,8,0,1,0,0,"captain"
"2008","20080426CSK",1,"Kolkata Knight Riders","RT Ponting",1280,3,0,1,0,0,"normal player"
"2008","20080426CSK",1,"Kolkata Knight Riders","DJ Hussey",1137,5,0,2,0,0,"normal player"
"2008","20080428CSK",2,"Royal Challengers Bangalore","R Dravid",1023,7,0,1,0,0,"captain"
"2009","20090418RCB",2,"Rajasthan Royals","RA Jadeja",1035,7,0,1,0,0,"normal player"
"2009","20090501RCB",2,"Kings XI Punjab","PP Chawla",1046,7,0,2,0,0,"normal player"
"2009","20090503KXP",1,"Kolkata Knight Riders","SC Ganguly",1052,4,0,1,0,0,"normal player"
"2009","20090504CSK",2,"Deccan Chargers","Y Venugopal Rao",1070,7,0,0,0,0,"normal player"
"2009","20090518KKR",1,"Chennai Super Kings","PA Patel",1010,1,0,1,0,0,"normal player"
"2009","20090520CSK",2,"Kings XI Punjab","B Lee",1134,8,0,5,0,0,"normal player"
"2009","20090520KKR",1,"Rajasthan Royals","A Singh",1147,11,0,1,0,0,"normal player"
"2010","20100314KKR",2,"Kolkata Knight Riders","MK Tiwary",1077,2,0,1,0,0,"normal player"
"2010","20100314KKR",2,"Kolkata Knight Riders","SC Ganguly",1052,3,0,3,0,0,"captain"
"2010","20100316RCB",2,"Royal Challengers Bangalore","MK Pandey",1105,1,0,7,0,0,"normal player"
"2010","20100318RCB",1,"Rajasthan Royals","YK Pathan",1033,5,0,5,0,0,"normal player"
"2010","20100320RCB",1,"Mumbai Indians","R Sathish",1200,7,0,0,0,0,"normal player"
"2010","20100401KKR",1,"Kolkata Knight Riders","MK Tiwary",1077,4,0,3,0,0,"normal player"
"2010","20100403CSK",2,"Rajasthan Royals","MJ Lumb",1227,1,0,2,0,0,"normal player"
"2010","20100403CSK",2,"Rajasthan Royals","FY Fazal",1188,5,0,2,0,0,"normal player"
"2010","20100413CSK",1,"Kolkata Knight Riders","MK Tiwary",1077,5,0,2,0,0,"normal player"
"2010","20100414RCB",1,"Rajasthan Royals","NV Ojha",1116,2,0,5,0,0,"wicket keeper"
"2010","20100417KKR",2,"Kolkata Knight Riders","BB McCullum",1050,2,0,4,0,0,"normal player"
