show_id,Value
"a21",""
"a26",""
"a34",""
"a35",""
"a71",""
"a73",""
"a75",""
"a77",""
"a78",""
"a79",""
"a92",""
"a99",""
"a101",""
"a104",""
"a107",""
"a109",""
"a111",""
"a119",""
"a120",""
"a121",""
"a122",""
"a129",""
"a135",""
"a139",""
"a148",""
"a149",""
"a150",""
"a151",""
"a171",""
"a172",""
"a177",""
"a178",""
"a187",""
"a195",""
"a196",""
"a198",""
"a209",""
"a210",""
"a211",""
"a212",""
"a218",""
"a245",""
"a248",""
"a260",""
"a261",""
"a268",""
"a278",""
"a299",""
"a307",""
"a311",""
"a316",""
"a324",""
"a327",""
"a329",""
"a330",""
"a338",""
"a343",""
"a345",""
"a346",""
"a356",""
"a360",""
"a362",""
"a372",""
"a379",""
"a380",""
"a381",""
"a382",""
"a383",""
"a394",""
"a410",""
"a412",""
"a418",""
"a422",""
"a424",""
"a435",""
"a451",""
"a462",""
"a463",""
"a466",""
"a471",""
"a474",""
"a478",""
"a481",""
"a484",""
"a487",""
"a489",""
"a497",""
"a502",""
"a503",""
"a507",""
"a508",""
"a513",""
"a521",""
"a528",""
"a536",""
"a538",""
"a540",""
"a541",""
"a546",""
"a551",""
"a559",""
"a563",""
"a568",""
"a594",""
"a621",""
"a627",""
"a630",""
"a636",""
"a654",""
"a656",""
"a658",""
"a663",""
"a678",""
"a682",""
"a700",""
"a719",""
"a722",""
"a733",""
"a739",""
"a740",""
"a745",""
"a746",""
"a760",""
"a761",""
"a768",""
"a769",""
"a770",""
"a776",""
"a777",""
"a786",""
"a796",""
"a803",""
"a804",""
"a806",""
"a807",""
"a808",""
"a809",""
"a814",""
"a819",""
"a829",""
"a834",""
"a836",""
"a837",""
"a839",""
"a844",""
"a852",""
"a853",""
"a854",""
"a855",""
"a856",""
"a858",""
"a859",""
"a862",""
"a864",""
"a887",""
"a905",""
"a915",""
"a916",""
"a923",""
"a926",""
"a928",""
"a934",""
"a935",""
"a936",""
"a950",""
"a959",""
"a965",""
"a973",""
"a975",""
"a989",""
"a991",""
"a993",""
"a995",""
"a997",""
"a1001",""
"a1002",""
"a1006",""
"a1015",""
"a1017",""
"a1019",""
"a1023",""
"a1024",""
"a1025",""
"a1033",""
"a1036",""
"a1037",""
"a1052",""
"a1064",""
"a1074",""
"a1078",""
"a1079",""
"a1080",""
"a1086",""
"a1089",""
"a1094",""
"a1098",""
"a1104",""
"a1110",""
"a1115",""
"a1124",""
"a1150",""
"a1151",""
"a1172",""
"a1174",""
"a1176",""
"a1185",""
"a1186",""
"a1198",""
"a1199",""
"a1201",""
"a1202",""
"a1203",""
"a1214",""
"a1218",""
"a1220",""
"a1233",""
"a1243",""
"a1246",""
"a1249",""
"a1257",""
"a1258",""
"a1259",""
"a1260",""
"a1262",""
"a1274",""
"a1276",""
"a1279",""
"a1280",""
"a1290",""
"a1293",""
"a1294",""
"a1297",""
"a1299",""
"a1301",""
"a1302",""
"a1303",""
"a1304",""
"a1305",""
"a1306",""
"a1307",""
"a1308",""
"a1309",""
"a1310",""
"a1311",""
"a1312",""
"a1313",""
"a1314",""
"a1315",""
"a1316",""
"a1317",""
"a1318",""
"a1319",""
"a1320",""
"a1321",""
"a1322",""
"a1323",""
"a1324",""
"a1325",""
"a1326",""
"a1327",""
"a1328",""
"a1329",""
"a1330",""
"a1335",""
"a1337",""
"a1351",""
"a1353",""
"a1354",""
"a1358",""
"a1359",""
"a1361",""
"a1362",""
"a1363",""
"a1375",""
"a1387",""
"a1395",""
"a1400",""
"a1418",""
"a1423",""
"a1424",""
"a1429",""
"a1435",""
"a1443",""
"a1448",""
"a1449",""
"a1450",""
"a1451",""
"a1453",""
"a1459",""
"a1461",""
"a1467",""
"a1468",""
"a1470",""
"a1478",""
"a1502",""
"a1507",""
"a1513",""
"a1514",""
"a1518",""
"a1524",""
"a1525",""
"a1529",""
"a1540",""
"a1545",""
"a1549",""
"a1555",""
"a1562",""
"a1563",""
"a1565",""
"a1570",""
"a1585",""
"a1588",""
"a1590",""
"a1601",""
"a1602",""
"a1603",""
"a1605",""
"a1606",""
"a1607",""
"a1608",""
"a1610",""
"a1611",""
"a1621",""
"a1625",""
"a1628",""
"a1629",""
"a1630",""
"a1631",""
"a1632",""
"a1633",""
"a1634",""
"a1635",""
"a1636",""
"a1637",""
"a1638",""
"a1639",""
"a1641",""
"a1642",""
"a1644",""
"a1667",""
"a1668",""
"a1669",""
"a1673",""
"a1674",""
"a1676",""
"a1682",""
"a1689",""
"a1691",""
"a1696",""
"a1705",""
"a1709",""
"a1710",""
"a1711",""
"a1712",""
"a1724",""
"a1728",""
"a1733",""
"a1734",""
"a1735",""
"a1744",""
"a1760",""
"a1765",""
"a1771",""
"a1774",""
"a1776",""
"a1806",""
"a1815",""
"a1816",""
"a1818",""
"a1846",""
"a1847",""
"a1850",""
"a1856",""
"a1860",""
"a1863",""
"a1864",""
"a1865",""
"a1875",""
"a1877",""
"a1881",""
"a1888",""
"a1889",""
"a1890",""
"a1891",""
"a1892",""
"a1894",""
"a1895",""
"a1896",""
"a1897",""
"a1903",""
"a1906",""
"a1920",""
"a1925",""
"a1930",""
"a1941",""
"a1943",""
"a1944",""
"a1945",""
"a1946",""
"a1959",""
"a1963",""
"a1969",""
"a1973",""
"a1975",""
"a1976",""
"a1994",""
"a1996",""
"a2000",""
"a2004",""
"a2012",""
"a2014",""
"a2018",""
"a2031",""
"a2032",""
"a2039",""
"a2073",""
"a2077",""
"a2078",""
"a2102",""
"a2104",""
"a2108",""
"a2111",""
"a2117",""
"a2123",""
"a2131",""
"a2132",""
"a2142",""
"a2143",""
"a2145",""
"a2154",""
"a2162",""
"a2167",""
"a2169",""
"a2173",""
"a2176",""
"a2181",""
"a2184",""
