ID,ModelID,Name,IsActive,Type,CrossFilteringBehavior,JoinOnDateBehavior,RelyOnReferentialIntegrity,FromTableID,FromColumnID,FromCardinality,ToTableID,ToColumnID,ToCardinality,State,RelationshipStorageID,RelationshipStorage2ID,ModifiedTime,RefreshedTime,SecurityFilteringBehavior
1097,1,"a063202d-aafd-4cde-bf96-db4a76a953ce",True,1,1,2,False,1091,1100,2,1094,1101,1,1,1261,,2020-10-10 09:27:45.183,2020-10-10 13:13:52.643,1
4268,1,"1ab144db-72cf-4a1d-9849-58dafccfcbe7",True,1,1,2,False,4262,4271,2,4265,4272,1,1,4440,,2020-10-10 18:00:43.353,2020-10-10 18:18:34.836,1
6542,1,"82d4d226-3e01-4eaf-913a-a372fd76bf22",True,1,1,1,False,4262,4285,2,6464,6467,1,1,6543,,2020-10-10 18:00:43.343,2020-10-10 18:18:34.826,1
6576,1,"b7ea1873-1ccb-40ab-bc5d-53802907f074",True,1,1,1,False,1091,1108,2,6464,6467,1,1,6577,,2020-10-10 17:37:23.230,2020-10-10 17:37:23.230,1
6593,1,"e9e7a181-fed5-404b-bcea-cc032cec9bbf",True,1,1,1,False,4262,4269,2,6441,6444,1,1,6594,,2020-10-10 18:00:43.343,2020-10-10 18:18:34.826,1
6610,1,"06c63ef4-6699-4adb-a4ef-ec96406f256b",True,1,1,1,False,12,2099,2,6441,6444,1,1,6611,,2020-10-10 17:37:32.386,2020-10-10 17:37:32.386,1
6627,1,"1e50f7ff-77b2-41dd-8ceb-ffccd7f3c17a",True,1,1,1,False,1091,1098,2,6441,6444,1,1,6628,,2020-10-10 17:37:35.680,2020-10-10 17:37:35.680,1
6652,1,"430d0ce4-afb8-47c0-ad83-cb6f7197dca9",True,1,1,2,False,6646,6655,2,6649,6656,1,1,6832,,2020-10-10 18:00:43.863,2020-10-10 18:18:36.833,1
10102,1,"e35ed58d-789c-41ad-86dc-a64d5b6b201d",True,1,1,1,False,9588,9591,2,6441,6444,1,1,10103,,2020-10-10 18:35:59.286,2020-10-10 18:35:59.286,1
10593,1,"110f8f2d-adcd-4314-925b-9d52ea8acd92",True,1,1,1,False,12,115,2,6464,6467,1,1,10594,,2020-10-10 18:49:29.076,2020-10-10 18:49:29.076,1
10610,1,"4335a859-6e51-47c7-85f6-86a197fb1669",True,1,1,1,False,10125,10128,2,6441,6444,1,1,10611,,2020-10-10 18:50:46.963,2020-10-10 18:50:46.963,1
10627,1,"cdde6ba7-b674-4da4-8a99-b0932e188310",True,1,1,1,False,10125,10131,2,6464,6467,1,1,10628,,2020-10-10 18:50:55.616,2020-10-10 18:50:55.616,1
10746,1,"22986708-6660-4ef6-bf81-b482e55a94bb",True,1,1,2,False,9588,9604,2,10743,10747,1,1,10827,,2020-10-13 08:05:35.746,2020-10-13 08:05:35.746,1
11669,1,"1c60cbc6-e97a-4dad-95ac-e4d0c4431d18",True,1,1,1,False,6646,6653,2,6441,6444,1,1,11670,,2020-10-30 01:00:27.180,2020-10-30 01:00:27.180,1
11686,1,"14528d45-3e36-4db5-8b61-94d958533cbb",True,1,1,1,False,6646,6663,2,6464,6467,1,1,11687,,2020-10-30 01:00:33.680,2020-10-30 01:00:33.680,1
