Productgroup,variable,value
Altus,2021-01-01 00:00:00.000,10.0
Argos,2021-01-01 00:00:00.000,2.0
Coronus,2021-01-01 00:00:00.000,3.0
Depo_Upgrade,2021-01-01 00:00:00.000,1.0
Etch_Upgrade,2021-01-01 00:00:00.000,0.0
Flex,2021-01-01 00:00:00.000,5.0
Handler,2021-01-01 00:00:00.000,2.0
SSM,2021-01-01 00:00:00.000,2.0
Altus,2021-02-01 00:00:00.000,11.0
Argos,2021-02-01 00:00:00.000,2.0
Coronus,2021-02-01 00:00:00.000,3.0
Depo_Upgrade,2021-02-01 00:00:00.000,4.0
Etch_Upgrade,2021-02-01 00:00:00.000,0.0
Flex,2021-02-01 00:00:00.000,5.0
Handler,2021-02-01 00:00:00.000,2.0
SSM,2021-02-01 00:00:00.000,2.0
Altus,2021-03-01 00:00:00.000,12.0
Argos,2021-03-01 00:00:00.000,2.0
Coronus,2021-03-01 00:00:00.000,3.0
Depo_Upgrade,2021-03-01 00:00:00.000,4.0
Etch_Upgrade,2021-03-01 00:00:00.000,8.0
Flex,2021-03-01 00:00:00.000,5.0
Handler,2021-03-01 00:00:00.000,2.0
SSM,2021-03-01 00:00:00.000,1.0
Altus,2021-04-01 00:00:00.000,9.0
Argos,2021-04-01 00:00:00.000,1.0
Coronus,2021-04-01 00:00:00.000,3.0
Depo_Upgrade,2021-04-01 00:00:00.000,4.0
Etch_Upgrade,2021-04-01 00:00:00.000,8.0
Flex,2021-04-01 00:00:00.000,5.0
Handler,2021-04-01 00:00:00.000,2.0
SSM,2021-04-01 00:00:00.000,2.0
Altus,2021-05-01 00:00:00.000,11.0
Argos,2021-05-01 00:00:00.000,
Coronus,2021-05-01 00:00:00.000,3.0
Depo_Upgrade,2021-05-01 00:00:00.000,0.0
Etch_Upgrade,2021-05-01 00:00:00.000,8.0
Flex,2021-05-01 00:00:00.000,5.0
Handler,2021-05-01 00:00:00.000,2.0
SSM,2021-05-01 00:00:00.000,2.0
Altus,2021-06-01 00:00:00.000,6.0
Argos,2021-06-01 00:00:00.000,3.0
Coronus,2021-06-01 00:00:00.000,4.0
Depo_Upgrade,2021-06-01 00:00:00.000,0.0
Etch_Upgrade,2021-06-01 00:00:00.000,7.0
Flex,2021-06-01 00:00:00.000,5.0
Handler,2021-06-01 00:00:00.000,2.0
SSM,2021-06-01 00:00:00.000,2.0
Altus,2021-07-01 00:00:00.000,14.0
Argos,2021-07-01 00:00:00.000,2.0
Coronus,2021-07-01 00:00:00.000,5.0
Depo_Upgrade,2021-07-01 00:00:00.000,0.0
Etch_Upgrade,2021-07-01 00:00:00.000,5.0
Flex,2021-07-01 00:00:00.000,6.0
Handler,2021-07-01 00:00:00.000,
SSM,2021-07-01 00:00:00.000,2.0
