ID,School Name,URL Address,Address,Postal Code,Telephone Number,FAX Number,Email Address,MRT,BUS,Principal Name,Region,Zone,Type Of schools,Nature Of schools,Sessions,Level Of Schools,SAP,Autonomous,Gifted Education Programme,Integrated Programme,Mother Tongue Chinese,Mother Tongue Malay,Mother Tongue Tamil
3,"AHMAD IBRAHIM PRIMARY SCHOOL","http://www.ahmadibrahimpri.moe.edu.sg","10   YISHUN STREET 11",768643,67592906,67592927,"aips@moe.edu.sg","Yishun","Yishun Ring Road - 812 (white plate); Yishun Ave 2 - 169, 804, 965, 117, 883","MISS ONG LEE CHOO","YISHUN","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
6,"ALEXANDRA PRIMARY SCHOOL","http://alexandrapri.moe.edu.sg","2A   Prince Charles Crescent",159016,62485400,62485409,"alexandra_ps@moe.edu.sg","Redhill Station  Tiong Bahru Station","51, 122, 139, 186, 970.","MDM TEO CHING LING","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
7,"ANCHOR GREEN PRIMARY SCHOOL","http://www.anchorgreenpri.moe.edu.sg","31   Anchorvale Drive",544969,68861356,63159825,"anchorgreen_ps@moe.edu.sg","MRT : NE16-Sengkang LRT : SW7-TongKang","Bus 372, 110, 50","MDM NORLIZA BTE A RAHIM","SENG KANG","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
8,"ANDERSON PRIMARY SCHOOL","http://www.andersonpri.moe.edu.sg","19   ANG MO KIO AVE 9",569785,64560340,65522310,"anderson_ps@moe.edu.sg","Yio Chu Kang MRT Station","Ang Mo Kio Ave 9 - Bus 76, 265, 268","MDM DELIA HOO","ANG MO KIO","NORTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
11,"ANG MO KIO PRIMARY SCHOOL","http://www.angmokiopri.moe.edu.sg","20   ANG MO KIO AVENUE 3",569920,64520794,64588121,"AMKPS@MOE.EDU.SG","Ang Mo Kio MRT Station","","MRS LIM BEE LAY","ANG MO KIO","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
19,"ANGSANA PRIMARY SCHOOL","www.angsanapri.moe.edu.sg","3    Tampines Street 22",529366,67830427,67845293,"angsana_pri@moe.edu.sg","Tampines and Simei Stations","Bus Service 8, 17, 18, 20, 28, 34, 39, 59, 518, Feeder Bus Service 292","MISS FOONG YIN WEI","TAMPINES","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
23,"BEACON PRIMARY SCHOOL","https://beaconpri.moe.edu.sg/","36   Bukit Panjang Ring Road",679944,67697255,67697244,"beaconprisch@moe.edu.sg","Bangkit LRT, Fajar LRT Station","920, 922, 971, 972, 972A, 972M, 976","MISS PANG WEE MIAN","BUKIT PANJANG","WEST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
25,"BEDOK GREEN PRIMARY SCHOOL","http://www.bedokgreenpri.moe.edu.sg","1    BEDOK SOUTH AVE 2",469317,64425416,64491491,"bgps@moe.edu.sg","Bedok MRT Station, Tanah Merah MRT Station","Bus No. 2, 9, 12, 24, 31, 34 & 38","MR YONG YIK YEN BENJAMIN","BEDOK","EAST","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
29,"BENDEMEER PRIMARY SCHOOL","http://www.bendemeerpri.moe.edu.sg/","91   BENDEMEER ROAD",339948,62982911,62995735,"BENDEMEER_PS@MOE.EDU.SG","Boon Keng, Kallang","13 23 31 61 64 65 65M 66 125, 125X ,133,140,147,853,857,985","MDM LIM KIM GEK","KALLANG","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
31,"BLANGAH RISE PRIMARY SCHOOL","http://www.blangahrisepri.moe.edu.sg/","91   TELOK BLANGAH HEIGHTS",109100,62717387,62763037,"BRPS@MOE.EDU.SG","Telok Blangah, Tiong Bahru & Redhill","SBS 273 & 124","MR FRANCIS FOO","BUKIT MERAH","SOUTH","GOVERNMENT SCHOOL","CO-ED SCHOOL","SINGLE SESSION","PRIMARY","No","No","No","No","Chinese","Malay","Tamil"
