Row ID,variable,value
594,Order ID,OrdID-2019-0005941
307,Order ID,OrdID-2018-0003071
657,Order ID,OrdID-2019-0006571
97,Order ID,OrdID-2018-0000971
293,Order ID,OrdID-2018-0002931
655,Order ID,OrdID-2019-0006551
113,Order ID,OrdID-2018-0001131
91,Order ID,OrdID-2018-0000911
510,Order ID,OrdID-2019-0005101
467,Order ID,OrdID-2019-0004671
424,Order ID,OrdID-2019-0004241
346,Order ID,OrdID-2019-0003461
480,Order ID,OrdID-2019-0004801
50,Order ID,OrdID-2018-0000501
227,Order ID,OrdID-2018-0002271
308,Order ID,OrdID-2018-0003081
272,Order ID,OrdID-2018-0002721
602,Order ID,OrdID-2019-0006021
634,Order ID,OrdID-2019-0006341
53,Order ID,OrdID-2018-0000531
533,Order ID,OrdID-2019-0005331
207,Order ID,OrdID-2018-0002071
318,Order ID,OrdID-2018-0003181
415,Order ID,OrdID-2019-0004151
219,Order ID,OrdID-2018-0002191
192,Order ID,OrdID-2018-0001921
637,Order ID,OrdID-2019-0006371
28,Order ID,OrdID-2018-0000281
438,Order ID,OrdID-2019-0004381
403,Order ID,OrdID-2019-0004031
188,Order ID,OrdID-2018-0001881
221,Order ID,OrdID-2018-0002211
613,Order ID,OrdID-2019-0006131
13,Order ID,OrdID-2018-0000131
64,Order ID,OrdID-2018-0000641
503,Order ID,OrdID-2019-0005031
366,Order ID,OrdID-2019-0003661
493,Order ID,OrdID-2019-0004931
62,Order ID,OrdID-2018-0000621
600,Order ID,OrdID-2019-0006001
288,Order ID,OrdID-2018-0002881
156,Order ID,OrdID-2018-0001561
164,Order ID,OrdID-2018-0001641
465,Order ID,OrdID-2019-0004651
397,Order ID,OrdID-2019-0003971
592,Order ID,OrdID-2019-0005921
126,Order ID,OrdID-2018-0001261
604,Order ID,OrdID-2019-0006041
273,Order ID,OrdID-2018-0002731
225,Order ID,OrdID-2018-0002251
411,Order ID,OrdID-2019-0004111
337,Order ID,OrdID-2019-0003371
405,Order ID,OrdID-2019-0004051
524,Order ID,OrdID-2019-0005241
406,Order ID,OrdID-2019-0004061
539,Order ID,OrdID-2019-0005391
442,Order ID,OrdID-2019-0004421
31,Order ID,OrdID-2018-0000311
383,Order ID,OrdID-2019-0003831
371,Order ID,OrdID-2019-0003711
340,Order ID,OrdID-2019-0003401
608,Order ID,OrdID-2019-0006081
18,Order ID,OrdID-2018-0000181
105,Order ID,OrdID-2018-0001051
280,Order ID,OrdID-2018-0002801
636,Order ID,OrdID-2019-0006361
70,Order ID,OrdID-2018-0000701
376,Order ID,OrdID-2019-0003761
285,Order ID,OrdID-2018-0002851
660,Order ID,OrdID-2019-0006601
161,Order ID,OrdID-2018-0001611
357,Order ID,OrdID-2019-0003571
398,Order ID,OrdID-2019-0003981
588,Order ID,OrdID-2019-0005881
211,Order ID,OrdID-2018-0002111
362,Order ID,OrdID-2019-0003621
641,Order ID,OrdID-2019-0006411
233,Order ID,OrdID-2018-0002331
408,Order ID,OrdID-2019-0004081
157,Order ID,OrdID-2018-0001571
483,Order ID,OrdID-2019-0004831
543,Order ID,OrdID-2019-0005431
353,Order ID,OrdID-2019-0003531
324,Order ID,OrdID-2019-0003241
98,Order ID,OrdID-2018-0000981
255,Order ID,OrdID-2018-0002551
220,Order ID,OrdID-2018-0002201
568,Order ID,OrdID-2019-0005681
203,Order ID,OrdID-2018-0002031
509,Order ID,OrdID-2019-0005091
388,Order ID,OrdID-2019-0003881
43,Order ID,OrdID-2018-0000431
628,Order ID,OrdID-2019-0006281
642,Order ID,OrdID-2019-0006421
487,Order ID,OrdID-2019-0004871
342,Order ID,OrdID-2019-0003421
650,Order ID,OrdID-2019-0006501
601,Order ID,OrdID-2019-0006011
328,Order ID,OrdID-2019-0003281
