OrderDate,StockDate,OrderNumber,ProductKey,CustomerKey,TerritoryKey,OrderLineItem,OrderQuantity,OrderType
2016-08-14 00:00:00.000,2003-06-08 00:00:00.000,SO52525,535,13668,9,1,2,Multiple Items
2015-04-15 00:00:00.000,2002-03-19 00:00:00.000,SO45909,349,11947,9,1,1,Single Item
2017-03-25 00:00:00.000,2003-12-16 00:00:00.000,SO66884,604,12621,7,1,1,Single Item
2017-01-19 00:00:00.000,2003-11-27 00:00:00.000,SO62385,477,26066,4,3,2,Multiple Items
2017-04-12 00:00:00.000,2004-02-07 00:00:00.000,SO68144,529,18562,4,3,2,Multiple Items
2017-06-11 00:00:00.000,2004-04-06 00:00:00.000,SO72643,490,18745,9,2,1,Single Item
2016-08-27 00:00:00.000,2003-08-08 00:00:00.000,SO53186,480,20234,9,2,2,Multiple Items
2016-09-12 00:00:00.000,2003-06-10 00:00:00.000,SO54225,215,13490,4,2,1,Single Item
2016-09-04 00:00:00.000,2003-06-11 00:00:00.000,SO53780,477,28939,9,2,2,Multiple Items
2016-10-15 00:00:00.000,2003-07-13 00:00:00.000,SO56148,535,24928,4,1,2,Multiple Items
2016-11-14 00:00:00.000,2003-10-07 00:00:00.000,SO57918,476,19238,1,1,1,Single Item
2016-12-08 00:00:00.000,2003-11-17 00:00:00.000,SO59607,538,25300,8,1,2,Multiple Items
2017-04-29 00:00:00.000,2004-02-16 00:00:00.000,SO69287,474,14868,4,2,1,Single Item
2017-01-30 00:00:00.000,2003-12-16 00:00:00.000,SO63053,563,24653,1,1,1,Single Item
2015-06-08 00:00:00.000,2002-03-18 00:00:00.000,SO46443,314,15662,10,1,1,Single Item
2017-06-07 00:00:00.000,2004-03-24 00:00:00.000,SO72429,381,22137,4,1,1,Single Item
2016-07-22 00:00:00.000,2003-06-17 00:00:00.000,SO51520,485,11015,4,2,2,Multiple Items
2017-03-23 00:00:00.000,2004-03-04 00:00:00.000,SO66710,536,17829,10,2,1,Single Item
2017-02-24 00:00:00.000,2003-11-10 00:00:00.000,SO64835,476,14647,4,2,1,Single Item
2017-04-22 00:00:00.000,2004-04-02 00:00:00.000,SO68756,478,20535,4,2,2,Multiple Items
2016-10-06 00:00:00.000,2003-07-04 00:00:00.000,SO55623,490,11241,7,5,1,Single Item
2017-05-20 00:00:00.000,2004-03-05 00:00:00.000,SO70958,480,16497,6,1,1,Single Item
2017-04-24 00:00:00.000,2004-01-24 00:00:00.000,SO68948,385,24138,10,1,1,Single Item
2016-12-06 00:00:00.000,2003-09-04 00:00:00.000,SO59455,566,26964,7,1,1,Single Item
2016-08-12 00:00:00.000,2003-05-31 00:00:00.000,SO52437,536,21111,10,1,2,Multiple Items
2016-11-08 00:00:00.000,2003-09-27 00:00:00.000,SO57627,358,13075,9,1,1,Single Item
2017-02-12 00:00:00.000,2003-12-20 00:00:00.000,SO63996,487,20622,9,2,1,Single Item
2017-01-01 00:00:00.000,2003-12-05 00:00:00.000,SO61299,528,12411,4,2,2,Multiple Items
2017-05-05 00:00:00.000,2004-01-07 00:00:00.000,SO69888,477,22021,1,1,2,Multiple Items
2017-06-10 00:00:00.000,2004-04-17 00:00:00.000,SO72592,537,22800,7,2,1,Single Item
2016-01-06 00:00:00.000,2002-11-19 00:00:00.000,SO48837,371,23311,9,1,1,Single Item
2015-12-16 00:00:00.000,2002-10-19 00:00:00.000,SO48572,362,28756,7,1,1,Single Item
2016-10-20 00:00:00.000,2003-07-24 00:00:00.000,SO56414,529,25768,8,1,2,Multiple Items
2016-09-27 00:00:00.000,2003-06-24 00:00:00.000,SO55037,477,15426,9,4,3,Multiple Items
2016-10-23 00:00:00.000,2003-08-17 00:00:00.000,SO56543,215,11785,1,1,1,Single Item
2016-06-10 00:00:00.000,2003-03-15 00:00:00.000,SO50869,381,25225,9,1,1,Single Item
2017-05-16 00:00:00.000,2004-04-06 00:00:00.000,SO70683,477,14831,10,3,2,Multiple Items
2016-08-21 00:00:00.000,2003-06-24 00:00:00.000,SO52887,482,21565,9,3,3,Multiple Items
2016-11-13 00:00:00.000,2003-09-20 00:00:00.000,SO57861,530,11176,6,2,2,Multiple Items
2016-09-10 00:00:00.000,2003-07-25 00:00:00.000,SO54127,529,24863,7,2,2,Multiple Items
2016-11-10 00:00:00.000,2003-09-03 00:00:00.000,SO57710,220,23205,4,3,1,Single Item
2017-04-04 00:00:00.000,2004-02-29 00:00:00.000,SO67627,606,24266,9,1,1,Single Item
2016-08-28 00:00:00.000,2003-07-02 00:00:00.000,SO53242,352,11482,10,1,1,Single Item
2017-03-05 00:00:00.000,2003-12-30 00:00:00.000,SO65566,537,26769,9,1,1,Single Item
2017-04-29 00:00:00.000,2004-02-08 00:00:00.000,SO69263,540,24620,4,1,1,Single Item
2017-04-12 00:00:00.000,2003-12-20 00:00:00.000,SO68128,485,13244,1,1,2,Multiple Items
2017-02-08 00:00:00.000,2003-10-28 00:00:00.000,SO63791,480,15483,4,4,2,Multiple Items
2017-01-30 00:00:00.000,2003-11-12 00:00:00.000,SO63041,232,12260,10,2,1,Single Item
2016-11-18 00:00:00.000,2003-11-02 00:00:00.000,SO58167,214,13501,8,2,1,Single Item
