DATE,GP
2021-01-31 00:00:00.000,1586.5
2021-02-28 00:00:00.000,2354.6
2021-06-30 00:00:00.000,6250.0
2020-03-31 00:00:00.000,2000.0
2020-02-28 00:00:00.000,5000.0
2021-12-31 00:00:00.000,1400.0
2021-09-30 00:00:00.000,3700.0
2021-10-31 00:00:00.000,4500.0
2021-03-31 00:00:00.000,1514.8
2020-04-30 00:00:00.000,-1500.0
2021-05-31 00:00:00.000,-4000.0
2021-08-31 00:00:00.000,-3000.0
2021-11-30 00:00:00.000,3200.0
2020-01-31 00:00:00.000,1500.0
2021-04-30 00:00:00.000,-5148.6
2021-07-31 00:00:00.000,-1500.0
