Date,KBWD,VNQ,RBNK.TO,SMH,SOXX,AAPL,RY.TO,Daily Price,Gain
2021-03-05 00:00:00.000,10,30,25,2,1,3,3,4913.56,0
2021-03-06 00:00:00.000,10,30,25,2,1,3,3,,0
2021-03-07 00:00:00.000,10,30,25,2,1,3,3,,0
2021-03-08 00:00:00.000,10,30,25,2,1,3,3,4891.05,-22.510000000000218
2021-03-09 00:00:00.000,10,30,25,2,1,3,3,4969.7,56.139999999999418
2021-03-10 00:00:00.000,10,30,25,2,1,3,3,4991.32,77.759999999999309
2021-03-11 00:00:00.000,10,30,25,2,1,3,3,5063.62,150.05999999999949
2021-03-12 00:00:00.000,10,30,25,2,1,3,3,5099.98,186.41999999999916
2021-03-13 00:00:00.000,10,30,25,2,1,3,3,,0
2021-03-14 00:00:00.000,10,30,25,2,1,3,3,,0
2021-03-15 00:00:00.000,10,30,25,2,1,3,3,5168.13,254.56999999999971
2021-03-16 00:00:00.000,10,30,25,2,1,3,3,5172.06,258.5
2021-03-17 00:00:00.000,10,30,25,2,1,3,3,5187.02,273.46000000000004
2021-03-18 00:00:00.000,10,30,25,2,1,3,3,5112.32,198.75999999999931
2021-03-19 00:00:00.000,10,30,25,2,1,3,3,5081.61,168.04999999999927
2021-03-20 00:00:00.000,10,30,25,2,1,3,3,,0
2021-03-21 00:00:00.000,10,30,25,2,1,3,3,,0
2021-03-22 00:00:00.000,10,30,25,2,1,3,3,5124.24,210.67999999999938
2021-03-23 00:00:00.000,10,30,25,2,1,3,3,5084.54,170.97999999999956
2021-03-24 00:00:00.000,10,30,25,2,1,3,3,5049.91,136.34999999999945
2021-03-25 00:00:00.000,10,30,25,2,1,3,3,5073.45,159.88999999999942
