OrderNumber,SO - 0006667,SO - 0002848,SO - 0004954,SO - 0004401,SO - 0002623,SO - 0002663,SO - 0006808,SO - 0001802,SO - 000325,SO - 0002942,SO - 0001001,SO - 000182,SO - 0006106,SO - 0007674,SO - 0003867,SO - 0004307,SO - 0005505,SO - 0004893,SO - 0001941,SO - 0001144,SO - 0004442,SO - 0003268,SO - 0005751,SO - 0005204,SO - 0002500,SO - 0003088,SO - 0007308,SO - 000531,SO - 0008077,SO - 0006032,SO - 0006245,SO - 0006499,SO - 0007081,SO - 0004049,SO - 0003308,SO - 0004037,SO - 0005127,SO - 0003366,SO - 0006323,SO - 0001682,SO - 0005773,SO - 0005800,SO - 0007320,SO - 000174,SO - 0001326,SO - 0007529,SO - 0003836,SO - 0004891,SO - 0005927,SO - 0002005,SO - 0003367,SO - 0001668,SO - 0006767,SO - 0005537,SO - 000761,SO - 0003035,SO - 0002787,SO - 0005968,SO - 0003921,SO - 0001111,SO - 0007052,SO - 0002067,SO - 0002000,SO - 000842,SO - 0005310,SO - 0001361,SO - 0005179,SO - 0006713,SO - 0004210,SO - 0005865,SO - 0003989,SO - 0001570,SO - 0001473,SO - 000408,SO - 000905,SO - 0005885,SO - 0005754,SO - 0004477,SO - 0001355,SO - 0006197,SO - 0005742,SO - 0004743,SO - 0004881,SO - 0002290,SO - 0003489,SO - 0004374,SO - 0008028,SO - 0004358,SO - 0005064,SO - 0005266,SO - 0003404,SO - 0001586,SO - 0005335,SO - 000735,SO - 0007542,SO - 0005091,SO - 0003775,SO - 0002908,SO - 0006001,SO - 0004172
OrderDate,2016-07-18 00:00:00.000,2015-04-21 00:00:00.000,2015-12-31 00:00:00.000,2015-10-25 00:00:00.000,2015-03-25 00:00:00.000,2015-03-31 00:00:00.000,2016-08-03 00:00:00.000,2014-12-21 00:00:00.000,2014-06-28 00:00:00.000,2015-05-01 00:00:00.000,2014-09-14 00:00:00.000,2014-06-11 00:00:00.000,2016-05-15 00:00:00.000,2016-11-12 00:00:00.000,2015-08-18 00:00:00.000,2015-10-13 00:00:00.000,2016-03-01 00:00:00.000,2015-12-24 00:00:00.000,2015-01-02 00:00:00.000,2014-09-30 00:00:00.000,2015-10-31 00:00:00.000,2015-06-05 00:00:00.000,2016-04-02 00:00:00.000,2016-01-27 00:00:00.000,2015-03-09 00:00:00.000,2015-05-17 00:00:00.000,2016-10-02 00:00:00.000,2014-07-22 00:00:00.000,2016-12-29 00:00:00.000,2016-05-05 00:00:00.000,2016-05-30 00:00:00.000,2016-06-29 00:00:00.000,2016-09-05 00:00:00.000,2015-09-11 00:00:00.000,2015-06-11 00:00:00.000,2015-09-10 00:00:00.000,2016-01-18 00:00:00.000,2015-06-18 00:00:00.000,2016-06-06 00:00:00.000,2014-12-07 00:00:00.000,2016-04-04 00:00:00.000,2016-04-07 00:00:00.000,2016-10-03 00:00:00.000,2014-06-09 00:00:00.000,2014-10-26 00:00:00.000,2016-10-27 00:00:00.000,2015-08-15 00:00:00.000,2015-12-24 00:00:00.000,2016-04-23 00:00:00.000,2015-01-07 00:00:00.000,2015-06-19 00:00:00.000,2014-12-05 00:00:00.000,2016-07-28 00:00:00.000,2016-03-05 00:00:00.000,2014-08-17 00:00:00.000,2015-05-11 00:00:00.000,2015-04-14 00:00:00.000,2016-04-27 00:00:00.000,2015-08-25 00:00:00.000,2014-09-27 00:00:00.000,2016-09-02 00:00:00.000,2015-01-13 00:00:00.000,2015-01-07 00:00:00.000,2014-08-25 00:00:00.000,2016-02-10 00:00:00.000,2014-10-30 00:00:00.000,2016-01-24 00:00:00.000,2016-07-22 00:00:00.000,2015-09-30 00:00:00.000,2016-04-15 00:00:00.000,2015-09-02 00:00:00.000,2014-11-23 00:00:00.000,2014-11-12 00:00:00.000,2014-07-08 00:00:00.000,2014-09-02 00:00:00.000,2016-04-17 00:00:00.000,2016-04-02 00:00:00.000,2015-11-05 00:00:00.000,2014-10-30 00:00:00.000,2016-05-25 00:00:00.000,2016-04-01 00:00:00.000,2015-12-05 00:00:00.000,2015-12-22 00:00:00.000,2015-02-09 00:00:00.000,2015-07-03 00:00:00.000,2015-10-22 00:00:00.000,2016-12-24 00:00:00.000,2015-10-20 00:00:00.000,2016-01-12 00:00:00.000,2016-02-04 00:00:00.000,2015-06-23 00:00:00.000,2014-11-24 00:00:00.000,2016-02-13 00:00:00.000,2014-08-14 00:00:00.000,2016-10-28 00:00:00.000,2016-01-14 00:00:00.000,2015-08-07 00:00:00.000,2015-04-27 00:00:00.000,2016-04-30 00:00:00.000,2015-09-26 00:00:00.000
Ship Date,2016-10-13 00:00:00.000,2015-07-17 00:00:00.000,2016-03-24 00:00:00.000,2015-12-02 00:00:00.000,2015-05-24 00:00:00.000,2015-06-24 00:00:00.000,2016-09-28 00:00:00.000,2015-02-06 00:00:00.000,2014-09-11 00:00:00.000,2015-07-20 00:00:00.000,2014-12-12 00:00:00.000,2014-07-26 00:00:00.000,2016-07-07 00:00:00.000,2017-01-17 00:00:00.000,2015-10-21 00:00:00.000,2016-01-08 00:00:00.000,2016-05-06 00:00:00.000,2016-02-09 00:00:00.000,2015-02-25 00:00:00.000,2014-10-30 00:00:00.000,2016-01-12 00:00:00.000,2015-08-26 00:00:00.000,2016-06-10 00:00:00.000,2016-03-09 00:00:00.000,2015-05-14 00:00:00.000,2015-07-16 00:00:00.000,2016-12-22 00:00:00.000,2014-09-01 00:00:00.000,2017-03-19 00:00:00.000,2016-07-09 00:00:00.000,2016-08-08 00:00:00.000,2016-09-17 00:00:00.000,2016-10-07 00:00:00.000,2015-10-30 00:00:00.000,2015-07-11 00:00:00.000,2015-11-28 00:00:00.000,2016-03-15 00:00:00.000,2015-08-25 00:00:00.000,2016-07-09 00:00:00.000,2015-01-27 00:00:00.000,2016-06-17 00:00:00.000,2016-06-13 00:00:00.000,2016-11-23 00:00:00.000,2014-08-20 00:00:00.000,2015-01-17 00:00:00.000,2016-11-28 00:00:00.000,2015-10-10 00:00:00.000,2016-01-30 00:00:00.000,2016-07-09 00:00:00.000,2015-03-30 00:00:00.000,2015-07-20 00:00:00.000,2015-01-10 00:00:00.000,2016-10-17 00:00:00.000,2016-04-25 00:00:00.000,2014-10-28 00:00:00.000,2015-06-29 00:00:00.000,2015-05-21 00:00:00.000,2016-06-18 00:00:00.000,2015-11-15 00:00:00.000,2014-11-02 00:00:00.000,2016-10-02 00:00:00.000,2015-02-20 00:00:00.000,2015-02-15 00:00:00.000,2014-11-09 00:00:00.000,2016-04-06 00:00:00.000,2015-01-16 00:00:00.000,2016-03-04 00:00:00.000,2016-09-28 00:00:00.000,2015-12-27 00:00:00.000,2016-06-19 00:00:00.000,2015-10-23 00:00:00.000,2015-01-17 00:00:00.000,2015-02-01 00:00:00.000,2014-09-02 00:00:00.000,2014-11-21 00:00:00.000,2016-05-18 00:00:00.000,2016-06-29 00:00:00.000,2016-01-04 00:00:00.000,2014-11-30 00:00:00.000,2016-06-29 00:00:00.000,2016-05-09 00:00:00.000,2016-01-19 00:00:00.000,2016-02-18 00:00:00.000,2015-04-06 00:00:00.000,2015-09-01 00:00:00.000,2016-01-05 00:00:00.000,2017-02-28 00:00:00.000,2015-12-26 00:00:00.000,2016-02-23 00:00:00.000,2016-03-31 00:00:00.000,2015-07-23 00:00:00.000,2015-02-10 00:00:00.000,2016-03-22 00:00:00.000,2014-10-04 00:00:00.000,2017-01-18 00:00:00.000,2016-04-10 00:00:00.000,2015-10-14 00:00:00.000,2015-07-20 00:00:00.000,2016-07-12 00:00:00.000,2015-11-04 00:00:00.000
Customer Name Index,42,22,3,24,20,13,20,9,4,17,46,34,24,28,20,15,46,11,34,38,50,14,29,3,25,42,24,33,39,15,18,44,45,34,19,48,14,45,39,22,33,3,16,7,3,3,12,36,19,2,35,42,14,25,24,42,4,10,46,40,37,12,23,49,39,34,35,48,6,5,12,6,31,22,33,49,35,50,44,7,27,3,33,7,17,25,40,2,31,31,10,43,17,19,45,45,5,20,38,49
Channel,Distributor,Wholesale,Distributor,Wholesale,Export,Wholesale,Wholesale,Distributor,Wholesale,Distributor,Export,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Wholesale,Distributor,Wholesale,Distributor,Distributor,Wholesale,Wholesale,Distributor,Distributor,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Distributor,Distributor,Distributor,Export,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Wholesale,Distributor,Wholesale,Distributor,Distributor,Distributor,Distributor,Distributor,Distributor,Wholesale,Wholesale,Wholesale,Wholesale,Export,Wholesale,Wholesale,Distributor,Distributor,Wholesale,Wholesale,Distributor,Distributor,Distributor,Wholesale,Distributor,Distributor,Export,Export,Wholesale,Export,Distributor,Export,Distributor,Wholesale
Currency Code,AUD,AUD,AUD,EUR,NZD,USD,NZD,USD,USD,NZD,USD,USD,NZD,GBP,USD,NZD,NZD,AUD,NZD,NZD,NZD,USD,NZD,GBP,NZD,USD,NZD,EUR,USD,NZD,AUD,NZD,NZD,NZD,AUD,NZD,NZD,NZD,NZD,NZD,NZD,NZD,NZD,EUR,NZD,GBP,NZD,NZD,GBP,USD,NZD,EUR,USD,NZD,NZD,NZD,USD,USD,GBP,USD,USD,USD,AUD,EUR,EUR,NZD,NZD,USD,USD,NZD,USD,NZD,GBP,NZD,AUD,GBP,NZD,AUD,NZD,AUD,USD,AUD,NZD,NZD,GBP,GBP,NZD,NZD,USD,NZD,AUD,USD,USD,NZD,USD,USD,GBP,USD,EUR,USD
Warehouse Code,GUT930,AXW291,AXW291,NXH382,AXW291,AXW291,GUT930,AXW291,GUT930,NXH382,AXW291,GUT930,AXW291,AXW291,GUT930,GUT930,GUT930,NXH382,GUT930,GUT930,GUT930,GUT930,AXW291,AXW291,FLR025,GUT930,NXH382,AXW291,AXW291,AXW291,AXW291,NXH382,AXW291,NXH382,AXW291,GUT930,FLR025,AXW291,GUT930,AXW291,GUT930,AXW291,AXW291,AXW291,AXW291,AXW291,AXW291,AXW291,GUT930,GUT930,AXW291,AXW291,GUT930,GUT930,NXH382,AXW291,AXW291,GUT930,AXW291,NXH382,AXW291,NXH382,GUT930,GUT930,AXW291,NXH382,FLR025,NXH382,AXW291,AXW291,FLR025,AXW291,GUT930,NXH382,AXW291,GUT930,GUT930,AXW291,FLR025,AXW291,GUT930,AXW291,AXW291,GUT930,GUT930,NXH382,GUT930,AXW291,AXW291,AXW291,GUT930,AXW291,AXW291,AXW291,AXW291,NXH382,AXW291,NXH382,NXH382,AXW291
Delivery Region Index,28,3,38,17,52,85,5,72,79,19,65,5,22,21,10,10,44,24,49,51,17,64,1,52,29,9,86,13,63,41,4,79,57,21,4,70,16,81,11,5,33,22,5,10,22,61,55,20,12,8,15,33,10,59,25,20,39,83,74,17,42,55,15,2,81,40,31,15,55,9,23,32,83,8,35,3,15,34,61,64,17,82,69,5,25,20,14,40,78,59,11,19,1,14,3,20,12,18,82,27
Product Description Index,12,11,11,1,7,4,7,13,11,11,13,11,10,2,5,9,2,5,11,11,11,2,2,5,3,1,11,4,1,11,13,1,12,2,2,2,2,1,7,11,1,11,2,11,11,11,13,2,8,7,1,10,11,10,7,5,13,1,7,2,11,2,2,2,1,2,5,11,5,2,2,10,5,5,2,11,9,2,5,2,4,1,5,7,11,7,1,2,11,1,5,12,4,2,9,2,2,1,3,1
Order Quantity,10,5,12,9,9,5,8,9,9,9,8,5,9,6,11,6,6,8,12,8,7,10,5,7,6,12,9,6,11,5,9,5,7,7,6,11,5,8,8,5,12,9,5,10,12,5,7,5,9,10,5,8,10,5,10,12,12,9,9,5,7,12,5,12,12,8,11,11,10,8,10,8,7,6,12,11,6,8,6,7,6,11,7,6,12,5,9,5,8,6,7,11,9,8,9,9,12,10,10,10
Unit Price,1996.6,5078.6,2552.7,1025.1,1869.3,1031.8,3819.0,1159.1,1078.7,1788.9,174.2,167.5,3886.0,1728.6,5313.1,5360.0,1802.3,3376.8,1038.5,2579.5,1132.3,221.1,1943.0,5427.0,1018.4,6445.4,1085.4,1172.5,227.8,777.2,998.3,3450.5,911.2,3048.5,167.5,2298.1,227.8,2539.3,2525.9,1118.9,3939.6,4006.6,1118.9,2659.9,201.0,5165.7,207.7,194.3,221.1,1922.9,2968.1,5621.3,1983.2,3953.0,234.5,4006.6,1005.0,194.3,1118.9,5252.8,227.8,703.5,3872.6,2251.2,1165.8,3276.3,1989.9,2492.4,3510.8,5601.2,3169.1,3912.8,2747.0,5051.8,844.2,1132.3,1058.6,2338.3,3946.3,911.2,1996.6,984.9,2680.0,6298.0,1159.1,1098.8,984.9,830.8,2626.4,2539.3,6351.6,3912.8,1065.3,1809.0,3899.4,1018.4,891.1,1072.0,1889.4,1125.6
