member ID,Date registered,Active original,Gender,Year of Birth,State original,Post Code,Country,Fundraising Target,Updated Fundraising Target original,Amount Raised,Distance Target,Distance (km),Fitness App original,Activity,Profile Picture original,Blog Post original,Shared Page original,Why they are walking,Walking for,Solidarity wall original,Previous One Foot Forward member original,Team Captain,Team Name,Number of team members,Team Amount Raised,Team Distance,Org Captain,Organisation Name,Org Amount Raised,Org Distance,UTM Campaign,UTM Source,UTM Medium,UTM Content,UTM Term,Browser,Is 2021 original,Postcode Clean,State,Date only,Device,In Team original,In Org original,Why They Walked,Elevate original,Postcode,Metro,Updated Fundraising Target,Active,Fitness App,Profile Picture,Blog Post,Shared Page,Solidarity Wall,Previous One Foot Forward member,Team Captain YN,Org Captain YN,Is 2021,In Team,In Organisation,Elevate,Distance (km) (bins),Year of Birth (bins),Fundraisers,Distance Recorded,Distance Target (km) (bins),Distance Met,Funding Met
267,2020-08-26 14:09:00.000,0,"Female",1993,"VIC",3033,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_5_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone10,1;FBMD/iPhone;FBSN/iOS;FBSV/13.5.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3033,"VIC",2020-08-26 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3033","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,37,"No",50,"",""
391,2020-08-26 16:26:00.000,0,"Female",2004,"VIC",3150,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 Instagram 156.0.0.26.109 (iPhone8,1; iOS 13_6; en_AU; en-AU; scale=2.00; 750x1334; 240132115)",0,3150,"VIC",2020-08-26 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3150","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,2000,159,"No",50,"",""
977,2020-08-27 10:33:00.000,0,"Female",1975,"VIC",3851,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone11,8;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3851,"VIC",2020-08-27 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3851","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1970,737,"No",50,"",""
1157,2020-08-27 21:16:00.000,0,"Female",1991,"VIC",3828,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/13.3.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3828,"VIC",2020-08-27 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3828","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,913,"No",50,"",""
1160,2020-08-27 21:37:00.000,0,"Female",1971,"VIC",3854,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3854,"VIC",2020-08-27 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3854","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1970,916,"No",50,"",""
1345,2020-08-28 21:37:00.000,0,"Female",2000,"VIC",3749,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone12,1;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3749,"VIC",2020-08-28 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3749","Non-Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,2000,1099,"No",50,"",""
1743,2020-09-01 12:01:00.000,0,"Female",1958,"VIC",3136,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone9,3;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3136,"VIC",2020-01-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3136","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1950,1491,"No",50,"",""
1754,2020-09-01 12:29:00.000,0,"Female",1991,"VIC",3033,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone11,6;FBMD/iPhone;FBSN/iOS;FBSV/13.6.1;FBSS/3;FBID/phone;FBLC/en_GB;FBOP/5]",0,3033,"VIC",2020-01-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3033","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,1502,"No",50,"",""
1756,2020-09-01 12:45:00.000,0,"Female",1987,"VIC",3087,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_6 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) GSA/122.1.328371734 Mobile/15E148 Safari/604.1",0,3087,"VIC",2020-01-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3087","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1980,1504,"No",50,"",""
1793,2020-09-01 14:26:00.000,0,"Female",1991,"VIC",3083,"Australia",500,0,0,60,,0,"walking",0,0,0,"","",0,0,0,"",,,,0,"",,,"off20_fb_acquisition","cpc","faceboook","elevate","","Mozilla/5.0 (iPhone; CPU iPhone OS 13_3_1 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Mobile/15E148 [FBAN/FBIOS;FBDV/iPhone8,1;FBMD/iPhone;FBSN/iOS;FBSV/13.3.1;FBSS/2;FBID/phone;FBLC/en_GB;FBOP/5]",0,3083,"VIC",2020-01-09 00:00:00.000,"iPhone",0,0,"(No reason given)",0,"3083","Metro","No","No","No","No","No","No","No","No","No","No","No","No","No","No",,1990,1541,"No",50,"",""
