Product Name,Brand,Subcategory,Category,Weight (kg),Color,Manufacturer,Weight Category
"Smart Watch Type 1, Dell","Dell","Smart Watch","Mobile Devices",0.42185,"Red","China","light"
"Smart Watch Type 3, Dell","Dell","Smart Watch","Mobile Devices",0.6317,"Blue","China","light"
"Tablet Type 1, Dell","Dell","Tablet","Mobile Devices",0.609,"Green","China","light"
"Tablet Type 2, Dell","Dell","Tablet","Mobile Devices",0.147,"Navy","China","light"
"Tablet Type 3, Dell","Dell","Tablet","Mobile Devices",0.55299999999999994,"Blue","USA","light"
"Tablet Type 4, Dell","Dell","Tablet","Mobile Devices",0.39899999999999997,"Green","China","light"
"Tablet Type 5, Dell","Dell","Tablet","Mobile Devices",0.413,"Red","USA","light"
"Tablet Type 6, Dell","Dell","Tablet","Mobile Devices",0.46199999999999997,"Purple","USA","light"
"Tablet Type 7, Dell","Dell","Tablet","Mobile Devices",0.385,"Navy","USA","light"
"Phone Type 1, Dell","Dell","Phone","Mobile Devices",0.152,"Navy","China","light"
"Phone Type 2, Dell","Dell","Phone","Mobile Devices",0.086,"Red","USA","light"
"Phone Type 3, Dell","Dell","Phone","Mobile Devices",0.055999999999999994,"Purple","China","light"
"Phone Type 4, Dell","Dell","Phone","Mobile Devices",0.174,"Purple","China","light"
"Phone Type 5, Dell","Dell","Phone","Mobile Devices",0.077999999999999986,"Purple","USA","light"
"Phone Type 6, Dell","Dell","Phone","Mobile Devices",0.11599999999999999,"Blue","China","light"
"Phone Type 7, Dell","Dell","Phone","Mobile Devices",0.15599999999999997,"Blue","China","light"
"Phone Type 8, Dell","Dell","Phone","Mobile Devices",0.083999999999999991,"Yellow","USA","light"
"Phone Type 9, Dell","Dell","Phone","Mobile Devices",0.092,"Orange","China","light"
"Phone Type 10, Dell","Dell","Phone","Mobile Devices",0.12999999999999998,"Green","China","light"
"Phone Type 11, Dell","Dell","Phone","Mobile Devices",0.17799999999999996,"Yellow","USA","light"
"Phone Type 12, Dell","Dell","Phone","Mobile Devices",0.18,"Yellow","USA","light"
"Smart Watch Type 1, HP","HP","Smart Watch","Mobile Devices",0.026600000000000002,"Red","USA","light"
"Smart Watch Type 2, HP","HP","Smart Watch","Mobile Devices",0.0114,"Red","China","light"
"Smart Watch Type 3, HP","HP","Smart Watch","Mobile Devices",0.01045,"Orange","USA","light"
"Tablet Type 1, HP","HP","Tablet","Mobile Devices",0.301,"Purple","China","light"
"Tablet Type 2, HP","HP","Tablet","Mobile Devices",0.47599999999999992,"Green","China","light"
"Tablet Type 3, HP","HP","Tablet","Mobile Devices",0.413,"Green","USA","light"
"Tablet Type 4, HP","HP","Tablet","Mobile Devices",0.64399999999999991,"Red","China","light"
"Tablet Type 5, HP","HP","Tablet","Mobile Devices",0.23799999999999996,"Red","China","light"
"Tablet Type 6, HP","HP","Tablet","Mobile Devices",0.68599999999999994,"Orange","China","light"
"Tablet Type 7, HP","HP","Tablet","Mobile Devices",0.39199999999999996,"Navy","China","light"
"Phone Type 1, HP","HP","Phone","Mobile Devices",0.11399999999999999,"Purple","USA","light"
"Phone Type 2, HP","HP","Phone","Mobile Devices",0.004,"Red","USA","light"
"Phone Type 3, HP","HP","Phone","Mobile Devices",0.13999999999999999,"Red","USA","light"
"Phone Type 4, HP","HP","Phone","Mobile Devices",0.18799999999999997,"Blue","China","light"
"Phone Type 5, HP","HP","Phone","Mobile Devices",0.13799999999999998,"Green","China","light"
"Phone Type 6, HP","HP","Phone","Mobile Devices",0.10799999999999998,"Red","China","light"
"Phone Type 7, HP","HP","Phone","Mobile Devices",0.044,"Purple","China","light"
"Phone Type 8, HP","HP","Phone","Mobile Devices",0.09799999999999999,"Red","China","light"
"Phone Type 9, HP","HP","Phone","Mobile Devices",0.077999999999999986,"Navy","China","light"
"Phone Type 10, HP","HP","Phone","Mobile Devices",0.064,"Orange","China","light"
"Phone Type 11, HP","HP","Phone","Mobile Devices",0.102,"Blue","China","light"
"Phone Type 12, HP","HP","Phone","Mobile Devices",0.136,"Navy","USA","light"
"Smart Watch Type 1, Samsung","Samsung","Smart Watch","Mobile Devices",0.0608,"Orange","China","light"
"Smart Watch Type 2, Samsung","Samsung","Smart Watch","Mobile Devices",0.057,"Yellow","USA","light"
"Smart Watch Type 3, Samsung","Samsung","Smart Watch","Mobile Devices",0.0019,"Red","USA","light"
"Tablet Type 1, Samsung","Samsung","Tablet","Mobile Devices",0.525,"Navy","USA","light"
"Tablet Type 2, Samsung","Samsung","Tablet","Mobile Devices",0.041999999999999996,"Navy","China","light"
"Tablet Type 3, Samsung","Samsung","Tablet","Mobile Devices",0.20299999999999996,"Orange","USA","light"
"Tablet Type 4, Samsung","Samsung","Tablet","Mobile Devices",0.055999999999999994,"Yellow","China","light"
"Tablet Type 5, Samsung","Samsung","Tablet","Mobile Devices",0.041999999999999996,"Green","China","light"
"Tablet Type 6, Samsung","Samsung","Tablet","Mobile Devices",0.16099999999999998,"Red","China","light"
"Tablet Type 7, Samsung","Samsung","Tablet","Mobile Devices",0.44799999999999995,"Green","USA","light"
"Phone Type 1, Samsung","Samsung","Phone","Mobile Devices",0.1,"Yellow","China","light"
"Phone Type 2, Samsung","Samsung","Phone","Mobile Devices",0.074,"Red","China","light"
"Phone Type 3, Samsung","Samsung","Phone","Mobile Devices",0.2,"Blue","USA","light"
"Phone Type 4, Samsung","Samsung","Phone","Mobile Devices",0.0099999999999999985,"Red","USA","light"
"Phone Type 5, Samsung","Samsung","Phone","Mobile Devices",0.136,"Purple","China","light"
"Phone Type 6, Samsung","Samsung","Phone","Mobile Devices",0.162,"Orange","China","light"
"Phone Type 7, Samsung","Samsung","Phone","Mobile Devices",0.15,"Yellow","China","light"
"Phone Type 8, Samsung","Samsung","Phone","Mobile Devices",0.17,"Navy","China","light"
"Phone Type 9, Samsung","Samsung","Phone","Mobile Devices",0.1,"Purple","USA","light"
"Phone Type 10, Samsung","Samsung","Phone","Mobile Devices",0.057999999999999996,"Green","USA","light"
"Phone Type 11, Samsung","Samsung","Phone","Mobile Devices",0.15599999999999997,"Yellow","USA","light"
"Phone Type 12, Samsung","Samsung","Phone","Mobile Devices",0.076,"Red","USA","light"
"Smart Watch Type 1, Huawei","Huawei","Smart Watch","Mobile Devices",0.0703,"Yellow","China","light"
"Smart Watch Type 2, Huawei","Huawei","Smart Watch","Mobile Devices",0.0836,"Navy","USA","light"
"Smart Watch Type 3, Huawei","Huawei","Smart Watch","Mobile Devices",0.027549999999999998,"Red","China","light"
"Tablet Type 1, Huawei","Huawei","Tablet","Mobile Devices",0.693,"Red","USA","light"
"Tablet Type 2, Huawei","Huawei","Tablet","Mobile Devices",0.56,"Blue","China","light"
"Tablet Type 3, Huawei","Huawei","Tablet","Mobile Devices",0.525,"Yellow","USA","light"
"Tablet Type 4, Huawei","Huawei","Tablet","Mobile Devices",0.32199999999999995,"Purple","USA","light"
"Tablet Type 5, Huawei","Huawei","Tablet","Mobile Devices",0.34299999999999997,"Purple","China","light"
"Tablet Type 6, Huawei","Huawei","Tablet","Mobile Devices",0.041999999999999996,"Orange","China","light"
"Tablet Type 7, Huawei","Huawei","Tablet","Mobile Devices",0.623,"Navy","China","light"
"Phone Type 1, Huawei","Huawei","Phone","Mobile Devices",0.068,"Navy","USA","light"
"Phone Type 2, Huawei","Huawei","Phone","Mobile Devices",0.077999999999999986,"Navy","China","light"
"Phone Type 3, Huawei","Huawei","Phone","Mobile Devices",0.039999999999999994,"Navy","USA","light"
"Phone Type 4, Huawei","Huawei","Phone","Mobile Devices",0.17799999999999996,"Navy","China","light"
"Phone Type 5, Huawei","Huawei","Phone","Mobile Devices",0.13999999999999999,"Green","China","light"
"Phone Type 6, Huawei","Huawei","Phone","Mobile Devices",0.072,"Green","USA","light"
"Phone Type 7, Huawei","Huawei","Phone","Mobile Devices",0.13399999999999998,"Red","China","light"
"Phone Type 8, Huawei","Huawei","Phone","Mobile Devices",0.2,"Purple","China","light"
"Phone Type 9, Huawei","Huawei","Phone","Mobile Devices",0.16599999999999998,"Yellow","USA","light"
"Phone Type 10, Huawei","Huawei","Phone","Mobile Devices",0.034,"Blue","China","light"
"Phone Type 11, Huawei","Huawei","Phone","Mobile Devices",0.148,"Purple","USA","light"
"Phone Type 12, Huawei","Huawei","Phone","Mobile Devices",0.136,"Orange","China","light"
"Headphones Type 1, Dell","Dell","Headphones","Audio",0.26849999999999996,"Blue","USA","light"
"Headphones Type 2, Dell","Dell","Headphones","Audio",0.487,"Green","China","light"
"Headphones Type 3, Dell","Dell","Headphones","Audio",0.40349999999999997,"Green","China","light"
"Headphones Type 4, Dell","Dell","Headphones","Audio",0.62,"Yellow","China","light"
"Headphones Type 5, Dell","Dell","Headphones","Audio",0.39299999999999996,"Yellow","USA","light"
"Headphones Type 6, Dell","Dell","Headphones","Audio",0.22399999999999998,"Red","China","light"
"Monitor Type 2, Dell","Dell","Monitor","Accessories",0.98799999999999966,"Green","USA","light"
"Monitor Type 3, Dell","Dell","Monitor","Accessories",0.43699999999999989,"Red","USA","light"
"Monitor Type 4, Dell","Dell","Monitor","Accessories",0.056999999999999981,"Yellow","China","light"
"Memory Type 1, Dell","Dell","Memory","Components",0.023999999999999994,"Purple","USA","light"
"Memory Type 2, Dell","Dell","Memory","Components",0.022249999999999995,"Navy","USA","light"
"Memory Type 3, Dell","Dell","Memory","Components",0.016749999999999998,"Yellow","USA","light"
"Memory Type 4, Dell","Dell","Memory","Components",0.013499999999999996,"Green","USA","light"
"Charger Type 1, Dell","Dell","Charger","Accessories",0.69300000000000006,"Blue","China","light"
"Charger Type 2, Dell","Dell","Charger","Accessories",0.42700000000000005,"Navy","USA","light"
"Hard Drive Type 1, Dell","Dell","Hard Drive","Components",0,"Blue","China","light"
"Hard Drive Type 2, Dell","Dell","Hard Drive","Components",0.16194999999999996,"Navy","USA","light"
"Hard Drive Type 3, Dell","Dell","Hard Drive","Components",0.073799999999999991,"Purple","USA","light"
"Hard Drive Type 4, Dell","Dell","Hard Drive","Components",0.15784999999999996,"Red","USA","light"
"Hard Drive Type 5, Dell","Dell","Hard Drive","Components",0.10044999999999998,"Navy","China","light"
"Hard Drive Type 6, Dell","Dell","Hard Drive","Components",0.067649999999999988,"Green","USA","light"
"Hard Drive Type 7, Dell","Dell","Hard Drive","Components",0.11274999999999999,"Orange","USA","light"
"Hard Drive Type 8, Dell","Dell","Hard Drive","Components",0.13939999999999997,"Blue","USA","light"
"Microphone Type 1, Dell","Dell","Microphone","Audio",0.16815000000000002,"Orange","China","light"
"Microphone Type 2, Dell","Dell","Microphone","Audio",0.10260000000000001,"Yellow","USA","light"
"Microphone Type 3, Dell","Dell","Microphone","Audio",0.2565,"Red","USA","light"
"Mouse Type 1, Dell","Dell","Mouse","Accessories",0.063,"Yellow","USA","light"
"Mouse Type 2, Dell","Dell","Mouse","Accessories",0.021,"Orange","China","light"
"Mouse Type 3, Dell","Dell","Mouse","Accessories",0.028000000000000004,"Purple","China","light"
"Mouse Type 4, Dell","Dell","Mouse","Accessories",0.097000000000000017,"Purple","USA","light"
"Mouse Type 5, Dell","Dell","Mouse","Accessories",0.096000000000000016,"Navy","China","light"
"Mouse Type 6, Dell","Dell","Mouse","Accessories",0.004,"Navy","USA","light"
"Mouse Type 7, Dell","Dell","Mouse","Accessories",0.091,"Navy","China","light"
"Keyboard Type 1, Dell","Dell","Keyboard","Accessories",0.29700000000000004,"Purple","China","light"
"Keyboard Type 2, Dell","Dell","Keyboard","Accessories",0.25500000000000006,"Navy","USA","light"
"Keyboard Type 3, Dell","Dell","Keyboard","Accessories",0.276,"Red","USA","light"
"Keyboard Type 4, Dell","Dell","Keyboard","Accessories",0.12000000000000002,"Orange","China","light"
"Speakers Type 1, Dell","Dell","Speakers","Audio",0.01075,"Orange","China","light"
"Speakers Type 2, Dell","Dell","Speakers","Audio",0.11825,"Navy","China","light"
