Store,Month,SalesPlan
6,2019-05-01 00:00:00.000,404234
5,2020-03-01 00:00:00.000,16800000
1,2020-07-01 00:00:00.000,17409600
4,2017-07-01 00:00:00.000,26205280
8,2018-10-01 00:00:00.000,355940
2,2016-06-01 00:00:00.000,17325000
2,2016-04-01 00:00:00.000,17748000
3,2018-02-01 00:00:00.000,25504000
5,2020-05-01 00:00:00.000,22516760
7,2018-07-01 00:00:00.000,556320
12,2019-11-01 00:00:00.000,757624
8,2018-05-01 00:00:00.000,531620
1,2019-04-01 00:00:00.000,1849310
2,2019-06-01 00:00:00.000,33877000
8,2016-11-01 00:00:00.000,180420
6,2018-05-01 00:00:00.000,201480
2,2018-03-01 00:00:00.000,31289000
11,2018-04-01 00:00:00.000,314000
5,2017-08-01 00:00:00.000,24806530
4,2018-10-01 00:00:00.000,43100000
8,2018-03-01 00:00:00.000,582970
7,2016-08-01 00:00:00.000,125240
1,2018-10-01 00:00:00.000,358710
12,2018-03-01 00:00:00.000,196710
8,2020-11-01 00:00:00.000,712199
6,2017-12-01 00:00:00.000,1053970
5,2017-03-01 00:00:00.000,30720000
4,2018-07-01 00:00:00.000,35288000
3,2016-01-01 00:00:00.000,12288000
3,2017-02-01 00:00:00.000,62635840
7,2020-10-01 00:00:00.000,9804600
7,2016-04-01 00:00:00.000,143640
6,2019-01-01 00:00:00.000,592699
7,2017-04-01 00:00:00.000,827398
10,2018-08-01 00:00:00.000,182700
11,2019-01-01 00:00:00.000,323832
12,2020-09-01 00:00:00.000,6189207
10,2018-06-01 00:00:00.000,285120
10,2019-08-01 00:00:00.000,1075100
9,2017-02-01 00:00:00.000,917646
6,2016-01-01 00:00:00.000,232170
3,2017-04-01 00:00:00.000,66307200
1,2020-02-01 00:00:00.000,15040800
12,2020-05-01 00:00:00.000,6178347
7,2020-09-01 00:00:00.000,10712917
2,2017-01-01 00:00:00.000,10057360
6,2019-07-01 00:00:00.000,384416
10,2020-10-01 00:00:00.000,6251283
11,2020-04-01 00:00:00.000,6243004
2,2017-06-01 00:00:00.000,25268500
9,2019-07-01 00:00:00.000,536361
12,2017-01-01 00:00:00.000,803550
8,2017-06-01 00:00:00.000,787164
10,2020-04-01 00:00:00.000,6213150
3,2016-12-01 00:00:00.000,10441000
6,2020-05-01 00:00:00.000,60712981
4,2018-08-01 00:00:00.000,39631000
4,2018-12-01 00:00:00.000,42248000
2,2018-01-01 00:00:00.000,21624000
6,2018-06-01 00:00:00.000,126500
9,2020-05-01 00:00:00.000,711575
1,2016-11-01 00:00:00.000,177480
2,2017-07-01 00:00:00.000,23362560
7,2018-10-01 00:00:00.000,677100
5,2016-11-01 00:00:00.000,13886000
2,2019-02-01 00:00:00.000,3046000
11,2020-07-01 00:00:00.000,6310147
3,2018-12-01 00:00:00.000,43485000
9,2019-12-01 00:00:00.000,935300
10,2020-09-01 00:00:00.000,6193200
12,2016-09-01 00:00:00.000,264000
7,2020-01-01 00:00:00.000,20710309
2,2017-10-01 00:00:00.000,35428760
7,2017-11-01 00:00:00.000,1057945
3,2018-05-01 00:00:00.000,32644000
9,2020-09-01 00:00:00.000,711564
10,2019-06-01 00:00:00.000,986572
6,2019-09-01 00:00:00.000,621440
12,2020-07-01 00:00:00.000,6255909
5,2016-09-01 00:00:00.000,16965000
9,2020-06-01 00:00:00.000,711767
6,2016-07-01 00:00:00.000,277870
4,2017-01-01 00:00:00.000,22717100
5,2020-12-01 00:00:00.000,18809760
1,2018-08-01 00:00:00.000,325660
9,2017-12-01 00:00:00.000,1043485
10,2016-10-01 00:00:00.000,128040
4,2020-04-01 00:00:00.000,17861580
8,2019-02-01 00:00:00.000,3025720
12,2016-01-01 00:00:00.000,206500
4,2020-07-01 00:00:00.000,15593760
1,2020-08-01 00:00:00.000,13068600
4,2018-06-01 00:00:00.000,32285000
6,2019-03-01 00:00:00.000,443440
3,2020-07-01 00:00:00.000,8225280
6,2020-03-01 00:00:00.000,20711882
2,2017-05-01 00:00:00.000,21084500
1,2016-03-01 00:00:00.000,152800
10,2016-09-01 00:00:00.000,181560
2,2020-02-01 00:00:00.000,36388800
