RheologyParameters,Value,Depth meter,FormationName,Lithology,HoleSize inch,WellName
"FluidLoss cc/30min",0,0,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,0,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,0,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,0,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,0,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,0,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,35,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,35,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,35,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,35,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,35,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,35,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,89,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,89,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,89,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,89,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,89,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,89,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,107,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,107,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,107,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,107,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,107,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,107,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,107,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,107,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,107,"Mishan","GrayMarl",36,"WellB"
"OilVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"MBT ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"GlycolVolume %",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration %wt.",0,107,"Mishan","GrayMarl",36,"WellB"
"KClConcentration ppb",0,107,"Mishan","GrayMarl",36,"WellB"
"FluidLoss cc/30min",0,119,"Mishan","GrayMarl",26,"WellB"
"OilVolume %",0,119,"Mishan","GrayMarl",26,"WellB"
"MBT ppb",0,119,"Mishan","GrayMarl",26,"WellB"
"GlycolVolume %",0,119,"Mishan","GrayMarl",26,"WellB"
"KClConcentration %wt.",0,119,"Mishan","GrayMarl",26,"WellB"
"KClConcentration ppb",0,119,"Mishan","GrayMarl",26,"WellB"
"FluidLoss cc/30min",0,152,"Mishan","GrayMarl",26,"WellB"
"OilVolume %",0,152,"Mishan","GrayMarl",26,"WellB"
"MBT ppb",0,152,"Mishan","GrayMarl",26,"WellB"
"GlycolVolume %",0,152,"Mishan","GrayMarl",26,"WellB"
"KClConcentration %wt.",0,152,"Mishan","GrayMarl",26,"WellB"
"KClConcentration ppb",0,152,"Mishan","GrayMarl",26,"WellB"
"OilVolume %",0,203,"Mishan","GrayMarl",26,"WellB"
"GlycolVolume %",0,203,"Mishan","GrayMarl",26,"WellB"
"KClConcentration %wt.",0,203,"Mishan","GrayMarl",26,"WellB"
"KClConcentration ppb",0,203,"Mishan","GrayMarl",26,"WellB"
"OilVolume %",0,260,"Gachsaran7","GrayMarl",26,"WellB"
"GlycolVolume %",0,260,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration %wt.",0,260,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration ppb",0,260,"Gachsaran7","GrayMarl",26,"WellB"
"OilVolume %",0,280,"Gachsaran7","GrayMarl",26,"WellB"
"GlycolVolume %",0,280,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration %wt.",0,280,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration ppb",0,280,"Gachsaran7","GrayMarl",26,"WellB"
"OilVolume %",0,290,"Gachsaran7","GrayMarl",26,"WellB"
"GlycolVolume %",0,290,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration %wt.",0,290,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration ppb",0,290,"Gachsaran7","GrayMarl",26,"WellB"
"OilVolume %",0,333,"Gachsaran7","GrayMarl",26,"WellB"
"GlycolVolume %",0,333,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration %wt.",0,333,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration ppb",0,333,"Gachsaran7","GrayMarl",26,"WellB"
"OilVolume %",0,368,"Gachsaran7","GrayMarl",26,"WellB"
"GlycolVolume %",0,368,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration %wt.",0,368,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration ppb",0,368,"Gachsaran7","GrayMarl",26,"WellB"
"OilVolume %",0,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"GlycolVolume %",0,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration %wt.",0,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"KClConcentration ppb",0,379.5,"Gachsaran7","GrayMarl",26,"WellB"
"OilVolume %",0,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"GlycolVolume %",0,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration %wt.",0,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"KClConcentration ppb",0,758,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
"OilVolume %",0,805,"Gachsaran6","MARL/SALT/ANHY",17.5,"WellB"
