SubCategory,Oil and Gas Field data Analysis and Visualization
"Rheology Analysis","Drilling Fluid"
"Volume Analysis","Drilling Fluid"
"Material Consumption Analysis","Drilling Fluid"
"Bottom Hole Assembly Analysis","Drilling Engineering"
"Progress Chart Analysis","Drilling Engineering"
"Rate of Penetration Analysis","Drilling Engineering"
"Drilling Parameters Analysis","Drilling Engineering"
"Time Break Down Analysis","Drilling Engineering"
"Word Clouds Analysis","Drilling Engineering"
"Non-Productive and Productive time Analysis","Drilling Engineering"
