WellName,DepthIn,DepthOut,Discription,Remarks,HoleSize inch
"WellA",13.7,107," 26"" BIT + 9-1/2"" BIT SUB+2 JTS 11"" D.C+26"" STB+2 JTS 11"" D.C+2 JTS 9-1/2"" DC + XOS","Drilling",36
"WellA",107,107," 26"" BIT+36"" Hole Opener + 9-1/2"" BIT SUB+4 JTS 11"" D.C +2 JTS 9-1/2"" DC + XOS","Enlarement",36
"WellA",107,107," 26"" BIT+ 9-1/2"" BIT SUB+4 JTS 11"" D.C +2 JTS 9-1/2"" DC + XOS","Drill Out",36
"WellA",107,135," 26"" BIT+ 9-1/2"" BIT SUB+4 JTS 11"" D.C +2 JTS 9-1/2"" DC + XOS","Drilling",26
"WellA",135,296," 26"" BIT+ 9-3/4"" BIT SUB+1 JT 11"" D.C+26"" STAB (1/16 U.G)+1 JT 11"" D.C+26"" STAB (1/8 U.G) +2 JTS 11"" D.C+ 5 JTS 9-3/4"" DC + XOS","Drilling",26
"WellA",296,529," 26"" BIT+ 9-3/4"" BIT SUB+2 JT 11"" D.C+26"" STAB (1/16 U.G)+1 JT 11"" D.C+26"" STAB (1/8 U.G) +1 JTS 11"" D.C+5 JTS 9-3/4"" DC+XOS+3 JTS 8-1/2"" D.C+XOS+9 JTS 5"" HWDP","Drilling",26
"WellA",529,608," 26"" BIT+ 9-3/4"" BIT SUB+2 JT 11"" D.C+26"" STAB (1/8 U.G)+1 JT 11"" D.C+1 JTS 11"" D.C+6 JTS 9-3/4"" DC+XOS+3 JTS 8-1/2"" D.C+XOS+9 JTS 5"" HWDP","Drilling",26
"WellA",608,642," 26"" BIT+ 9-3/4"" BIT SUB+2 JT 11"" D.C+26"" STAB (1/16 U.G)+1 JT 11"" D.C+26"" STAB (1/8 U.G) +1 JTS 11"" D.C+5 JTS 9-3/4"" DC+XOS+3 JTS 8-1/2"" D.C+XOS+9 JTS 5"" HWDP","Drilling",26
"WellA",642,746,"26"" BIT + 9-3/4"" BIT SUB+ 2 JT 11"" DC + 26"" NEW S.STAB (1/16"" U.GAUGE) + 1 JT 11"" DC + 26"" S.STAB (1/18"" U.GAUGE) + 2 STD 9-3/4"" DC +  XOS + 1 STD 8-1/2"" DC + XOS + 5 STD 5"" HWDP","Drilling",26
"WellA",746,998,"26"" PDC BIT+ 9-3/4"" BIT SUB+ 2 JT 11"" DC + 26"" NEW S.STAB (1/16"" U.GAUGE) + 1 JT 11"" DC + 26"" S.STAB (1/18"" U.GAUGE) + 2 STD 9-3/4"" DC +  XOS + 1 STD 8-1/2"" DC + XOS + 5 STD 5"" HWDP","Drilling",26
