WellName,RunNo,BitNo,BitType,Manufacturer,IADCCode,SNo,Nozzle,PreviousDrlgTime,TripInDepth,TripOutDepth,Formation,ActualDrlgTime,TotalDOCMTFootage,TotalDOCMTTime,MinWoB,MaxWoB,MinRPM,MaxRPM,MinPumpRate,MaxPumpRate,MinPumpPressure,MaxPumpPressure,MinMW,MaxMW,Vis,MudType,Drilled Interval (m),BitSize inch,ROP (M/H),Iinner Raws,Outter Raws,Dull Character,Location,Bearing Seal,Guage,Other Dull,Reason Pulled
"WellA",1,"1","Tricone","KING DREAM","115","2224","3*18+1*16 CJ","NEW",13.7,107,"GS",37.5,0,0,2,25,80,110,200,450,150,350,65,69,60,"WBM",93.3,26,2.488,"0","0","NO","A","E","I","BU","TD"
"WellA",2,"2","Tricone","TSK","115","80808-T","3*18+1*16 CJ","NEW",107,296,"GS",65,0,0,10,32,60,110,500,850,300,900,69,75,60,"WBM",189,26,2.9076923076923076,"1","1","WT","A","E","I","BU","BHA"
"WellA",3,"3","PDC","BESTE","1973","226845","8*12+2*14","USED",296,529,"GS",69,0,0,10,20,120,160,800,850,950,1140,75,80,40,"WBM",233,26,3.3768115942028984,"1","1","WT","A","X","I","NO","HP"
"WellA",4,"3R2","PDC","BESTE","1973","226845","8*12+2*14","USED",529,642,"GS",41,0,0,16,18,160,160,840,840,1290,1320,82,82,42,"WBM",113,26,2.7560975609756095,"1","2","WT","N/T","X","1/16","BT","BHA"
"WellA",5,"4","PDC","BESTE","1973","227012","10*12","USED",642,746,"GS",46.5,0,0,10,25,160,175,850,850,1650,1720,82,84,43,"WBM",104,26,2.236559139784946,"1","1","WT","A","X","1/16","PN","DSF"
"WellA",6,"4R2","PDC","BESTE","1973","227012","10*12","USED",746,866,"GS",52,0,0,15,35,160,170,800,850,1750,2150,84,86,45,"WBM",120,26,2.3076923076923075,"1","1","BT","C","X","I","PN/BU","DSF"
"WellA",7,"4R3","PDC","BESTE","1973","227012","10*12","USED",866,916,"GS",23.5,0,0,25,30,170,170,850,850,2150,2150,87,88,45,"WBM",50,26,2.1276595744680851,"1","1","BT","C","X","I","WT/PN","DSF"
"WellA",8,"4R4","PDC","BESTE","1973","227012","10*12","USED",916,998,"GS",28.5,0,0,25,30,170,170,800,850,1620,1800,88,90,47,"WBM",82,26,2.8771929824561404,"1","1","BT","C","X","I","WT","TD"
"WellA",9,"5","Tricone","BESTE","437","80841-T","3*20+C.T 18","NEW",998,1023,"GS",29,0,0,10,30,70,120,600,700,1090,1450,100,100,52,"WBM",25,17.5,0.86206896551724133,"0","1","WT","A","E","I","NO","BHA"
"WellA",10,"6","PDC","BESTE","1665","234352","4*14+4*13","NEW",1023,1358,"GS",126.5,0,0,20,30,170,170,720,720,2150,2150,106,106,57,"WBM",335,17.5,2.6482213438735176,"1","1","WT","A","X","I","RO","RIG"
"WellA",11,"7","PDC","BESTE","1665","234351","4*14+4*13","NEW",1358,1668,"GS",115.5,0,0,20,30,170,170,720,720,2150,2150,111,111,65,"WBM",310,17.5,2.6839826839826841,"1","0","WT","A","X","I","WO","BHA/BU"
"WellA",12,"8","PDC","BESTE","1665","228062","4*14+5*13","NEW",1668,1832,"GS",100.5,0,0,20,30,170,170,720,720,2150,2150,111,111,65,"WBM",164,17.5,1.6318407960199004,"1","1","WT","A","X","I","BU","BHA"
"WellA",13,"9","Tricone","TSK","445","80836","3*20+18","NEW",1832,1877,"GS (CAP ROCK)",81.5,0,0,20,25,80,100,710,710,2600,2600,111,111,65,"WBM",45,17.5,0.55214723926380371,"1","1","WT","A","F","I","NO","TD"
"WellA",14,"10","Tricone","KING DREAM","217","1512894","3*18","NEW",1877,1885,"D/OUT CMT&R.Hole",9,87,27.5,15,25,60,60,480,480,1700,1700,117,117,77,"WBM",8,12.25,0.88888888888888884,"1","1","WT","A","E","I","NO","BHA"
"WellA",15,"11","PDC","KING DREAM","1363","15050770Y","8*15","NEW",1885,2155,"AS/PD/SV",119.5,0,0,15,25,85,85,600,650,750,950,63,72,45,"WBM",270,12.25,2.2594142259414225,"1","1","WT","A","X","I","NO","RIG"
"WellA",16,"11R2","PDC","KING DREAM","1363","15050770Y","8*15","USED",2155,2412,"AS/PD/SV",113.5,0,0,15,25,85,85,600,650,750,950,63,74,47,"WBM",257,12.25,2.26431718061674,"1","2","WT","A","X","I","CT","TD"
"WellA",17,"12","Tricone","KING DREAM","517","1512743JH","3*18","NEW",2412,2427,"SV",16.5,0,0,10,20,50,70,400,470,480,850,64,64,40,"WBM",15,8.5,0.90909090909090906,"1","1","WT","A","E","I","NO","BHA"
"WellA",18,"13","PDC","KING DREAM","MK1363","18010155","6*15","NEW",2427,2657,"SV",141.5,0,0,10,20,90,90,400,500,700,1000,68,70,42,"WBM",230,8.5,1.6254416961130742,"3","4","BT","A","X","I","PN","PR"
"WellA",19,"14","PDC","KING DREAM","KM 1662","17121808","6*15","NEW",2657,2911,"",147.5,0,0,3,10,90,90,600,650,1400,1800,70,70,42,"WBM",254,8.5,1.7220338983050847,"4","3","BT","A","X","I","LT","BHA"
"WellA",20,"12R3","Tricone","KING DREAM","517","1512743JH","OPEN","USED",2911,2919.5,"DARIAN",15,0,0,15,20,80,90,500,550,1400,1750,86,86,42,"WBM",8.5,8.5,0.56666666666666665,"1","1","WT","A","E","I","NO","BHA"
