Date AD,Date,HoleSize inch,Depth meter,FormationName,Lithology,MudWeight pcf,FunnelViscosity spq,PV cp,YP lbs/100 sq.ft,Gel 10sec,Gel 10min,TotalHardness ppm,Salinity*1000 ppm,FluidLoss cc/30min,pH,WaterVolume %,OilVolume %,SolidVolume %,MBT ppb,GlycolVolume %,KClConcentration %wt.,KClConcentration ppb,WellName,WellPhase,Category,PhaseSection
2020-05-02 00:00:00.000,"1399/02/13",36,0,"Mishan","GrayMarl",65,45,7,18,3,5,600,3.3,,10.5,98,0,2,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-03 00:00:00.000,"1399/02/13",36,35,"Mishan","GrayMarl",65,75,9,27,22,24,600,3.3,,10.5,98,0,2,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-04 00:00:00.000,"1399/02/15",36,89,"Mishan","GrayMarl",66,70,9,23,22,24,600,3.3,,10.5,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-05 00:00:00.000,"1399/02/16",36,107,"Mishan","GrayMarl",66,70,8,22,20,22,600,3.3,,10.5,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-06 00:00:00.000,"1399/02/17",36,107,"Mishan","GrayMarl",66,70,8,23,20,22,600,3.3,,10.6,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-07 00:00:00.000,"1399/02/18",36,107,"Mishan","GrayMarl",66,55,7,20,20,22,600,3.3,,10.6,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-08 00:00:00.000,"1399/02/19",36,107,"Mishan","GrayMarl",66,55,7,18,16,18,600,3.3,,10.7,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-09 00:00:00.000,"1399/02/20",36,107,"Mishan","GrayMarl",66,55,7,20,16,18,600,3.3,,11,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-10 00:00:00.000,"1399/02/21",36,107,"Mishan","GrayMarl",67,55,7,20,16,18,600,3.3,,11,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-11 00:00:00.000,"1399/02/22",36,107,"Mishan","GrayMarl",67,55,7,20,16,18,600,3.3,,11,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-12 00:00:00.000,"1399/02/23",36,107,"Mishan","GrayMarl",67,55,7,20,16,18,600,3.3,,11,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-13 00:00:00.000,"1399/02/24",36,107,"Mishan","GrayMarl",67,55,7,20,16,18,600,3.3,,11,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-14 00:00:00.000,"1399/02/25",26,119,"Mishan","GrayMarl",67,55,7,20,16,18,800,3.3,,11,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-15 00:00:00.000,"1399/02/26",26,152,"Mishan","GrayMarl",67,57,8,22,16,18,800,3.3,,11,96,0,4,,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-16 00:00:00.000,"1399/02/27",26,203,"Mishan","GrayMarl",70,40,7,10,2,3,600,200,15,9.7,92,0,8,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-17 00:00:00.000,"1399/02/28",26,260,"Gachsaran7","GrayMarl",71,42,8,10,2,3,600,200,15,9.8,92,0,8,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-18 00:00:00.000,"1399/02/29",26,280,"Gachsaran7","GrayMarl",71,42,8,10,2,3,720,200,12,9.8,92,0,8,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-19 00:00:00.000,"1399/02/30",26,290,"Gachsaran7","GrayMarl",71,42,8,14,2,3,720,200,12,9.8,92,0,8,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-20 00:00:00.000,"1399/02/31",26,333,"Gachsaran7","GrayMarl",71,43,12,15,3,5,840,206,13,9.8,92,0,8,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-21 00:00:00.000,"1399/03/01",26,368,"Gachsaran7","GrayMarl",71,42,11,14,3,5,840,206,13,9.8,92,0,8,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-22 00:00:00.000,"1399/03/02",26,379.5,"Gachsaran7","GrayMarl",71,43,12,15,3,5,960,206,13,9.8,92,0,8,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-23 00:00:00.000,"1399/03/03",26,430,"Gachsaran7","LST/MRL/ANHY",71,42,11,14,3,5,1120,206,13,9.8,92,0,8,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-24 00:00:00.000,"1399/03/04",26,467,"Gachsaran7","LST/MRL/ANHY",73,43,11,15,3,5,1280,240,13,9.6,92,0,8,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-25 00:00:00.000,"1399/03/05",26,495,"Gachsaran7","ANHY",75,43,11,14,3,5,1200,267,13,9.6,90,0,10,7.5,"","","","WellB","Drilling","Mud","FluidSection"
2020-05-26 00:00:00.000,"1399/03/06",26,531,"Gachsaran7","ANHY/MARL",75,43,11,14,3,5,1200,267,13,9.8,90,0,10,7.5,"","","","WellB","Drilling","Mud","FluidSection"
