Date AD,HoleSize inch,Depth meter,FormationName,Lithology,MudMade bbl,Gain bbl,Evaporate bbl,PitCleaning bbl,Dump bbl,Contamitate bbl,Refine bbl,Surf. Loss bbl,FormationLoss bbl,WellName,WellPhase,PhaseSection,Category,MudWeight pcf
2020-05-02 00:00:00.000,36,0,"Mishan","GrayMarl",450,0,0,0,0,0,0,0,0,"WellB","Drilling","FluidSection","Mud","65"
2020-05-03 00:00:00.000,36,35,"Mishan","GrayMarl",100,0,0,0,0,0,15,0,0,"WellB","Drilling","FluidSection","Mud","65"
2020-05-04 00:00:00.000,36,89,"Mishan","GrayMarl",70,0,0,0,0,0,15,0,0,"WellB","Drilling","FluidSection","Mud","66"
2020-05-05 00:00:00.000,36,107,"Mishan","GrayMarl",150,0,0,0,0,0,10,0,0,"WellB","Drilling","FluidSection","Mud","66"
2020-05-06 00:00:00.000,36,107,"Mishan","GrayMarl",0,0,0,0,0,0,15,0,0,"WellB","Drilling","FluidSection","Mud","66"
2020-05-07 00:00:00.000,36,107,"Mishan","GrayMarl",300,0,0,0,0,0,10,0,0,"WellB","Drilling","FluidSection","Mud","66"
2020-05-08 00:00:00.000,36,107,"Mishan","GrayMarl",0,0,0,0,0,0,10,0,0,"WellB","Drilling","FluidSection","Mud","66"
2020-05-09 00:00:00.000,36,107,"Mishan","GrayMarl",0,0,0,0,0,0,10,0,0,"WellB","Drilling","FluidSection","Mud","66"
2020-05-10 00:00:00.000,36,107,"Mishan","GrayMarl",90,0,0,20,5,75,10,0,0,"WellB","Drilling","FluidSection","Mud","67"
2020-05-11 00:00:00.000,36,107,"Mishan","GrayMarl",125,0,0,0,17,47,0,0,0,"WellB","Drilling","FluidSection","Mud","67"
2020-05-12 00:00:00.000,36,107,"Mishan","GrayMarl",0,0,0,0,0,0,0,0,0,"WellB","Drilling","FluidSection","Mud","67"
2020-05-13 00:00:00.000,36,107,"Mishan","GrayMarl",0,0,0,0,0,0,0,0,0,"WellB","Drilling","FluidSection","Mud","67"
2020-05-14 00:00:00.000,26,119,"Mishan","GrayMarl",150,0,0,0,120,0,11,0,0,"WellB","Drilling","FluidSection","Mud","67"
2020-05-15 00:00:00.000,26,152,"Mishan","GrayMarl",640,0,0,0,0,0,8,0,0,"WellB","Drilling","FluidSection","Mud","67"
2020-05-16 00:00:00.000,26,203,"Mishan","GrayMarl",750,0,0,0,1035,10,46,0,0,"WellB","Drilling","FluidSection","Mud","70"
2020-05-17 00:00:00.000,26,260,"Gachsaran7","GrayMarl",340,0,0,0,60,0,72,0,0,"WellB","Drilling","FluidSection","Mud","71"
2020-05-18 00:00:00.000,26,280,"Gachsaran7","GrayMarl",300,0,0,0,70,0,40,0,0,"WellB","Drilling","FluidSection","Mud","71"
2020-05-19 00:00:00.000,26,290,"Gachsaran7","GrayMarl",120,0,0,0,0,0,50,0,0,"WellB","Drilling","FluidSection","Mud","71"
2020-05-20 00:00:00.000,26,333,"Gachsaran7","GrayMarl",280,0,0,0,100,0,92,0,0,"WellB","Drilling","FluidSection","Mud","71"
2020-05-21 00:00:00.000,26,368,"Gachsaran7","GrayMarl",100,0,0,0,0,0,94,0,0,"WellB","Drilling","FluidSection","Mud","71"
2020-05-22 00:00:00.000,26,379.5,"Gachsaran7","GrayMarl",100,0,0,0,0,0,60,0,0,"WellB","Drilling","FluidSection","Mud","71"
2020-05-23 00:00:00.000,26,430,"Gachsaran7","LST/MRL/ANHY",250,0,0,0,150,0,96,0,0,"WellB","Drilling","FluidSection","Mud","71"
2020-05-24 00:00:00.000,26,467,"Gachsaran7","LST/MRL/ANHY",25,0,0,0,0,0,100,0,0,"WellB","Drilling","FluidSection","Mud","73"
2020-05-25 00:00:00.000,26,495,"Gachsaran7","ANHY",110,0,0,0,0,0,100,0,0,"WellB","Drilling","FluidSection","Mud","75"
2020-05-26 00:00:00.000,26,531,"Gachsaran7","ANHY/MARL",300,0,0,0,0,0,100,0,0,"WellB","Drilling","FluidSection","Mud","75"
2020-05-27 00:00:00.000,26,545,"Gachsaran7","ANHY/MARL",40,0,0,15,0,0,45,0,0,"WellB","Drilling","FluidSection","Mud","78"
2020-05-28 00:00:00.000,26,545,"Gachsaran7","ANHY/MARL",25,0,0,80,0,0,0,0,0,"WellB","Drilling","FluidSection","Mud","80"
2020-05-29 00:00:00.000,26,545,"Gachsaran7","ANHY/MARL",0,0,0,110,0,0,0,0,0,"WellB","Drilling","FluidSection","Mud","80"
2020-05-30 00:00:00.000,17.5,545,"Gachsaran7","ANHY/MARL",20,0,0,0,0,0,0,0,0,"WellB","Drilling","FluidSection","Mud","80"
2020-05-31 00:00:00.000,17.5,545,"Gachsaran7","ANHY/MARL",360,0,0,60,0,0,20,0,0,"WellB","Drilling","FluidSection","Mud","80"
2020-06-01 00:00:00.000,17.5,546,"Gachsaran7","ANHY",100,0,0,20,320,0,5,0,0,"WellB","Drilling","FluidSection","Mud","80"
