WellName,HoleSize inch,BitType,Manufacturer,IADCCode,TFA,EVENT,Formation," depth "," clockdate ",ROP MPH,WOB KLBS,Hookload KLBS,RPM,TQ IBF.FT,PumpPressure PSI,GPM,MW
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1049,2019-10-11 17:35:49.000,4.7109,23.276626078940733,156,156,4985,2093,709,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1050,2019-10-11 17:43:09.000,8.9152,28.388043622250997,151,160,6338,2087,706,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1068,2019-10-11 20:35:30.000,6.7447,19.463731258515846,161,167,4638,2042,701,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1069,2019-10-11 20:43:13.000,7.7957,21.057232487890293,159,172,4704,2038,700,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1078,2019-10-11 22:30:58.000,5.4622,13.85627362581813,166,172,3799,2036,706,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1107,2019-10-12 09:59:13.000,7.4406,8.3603698976671037,169,167,3970,1240,535,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1108,2019-10-12 10:04:47.000,11.1229,15.030455632963719,168,171,4442,1522,599,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1110,2019-10-12 10:15:55.000,9.5769,15.01281865200772,168,171,5019,1517,599,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1111,2019-10-12 10:23:20.000,8.0991,15.600571042366363,167,171,5213,1514,600,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1112,2019-10-12 10:30:13.000,8.6965,16.096831594015768,167,170,5001,1511,600,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1113,2019-10-12 10:38:24.000,7.4546,15.937878303149832,167,170,3732,1506,600,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1114,2019-10-12 10:51:51.000,7.5687,15.271420885275045,168,168,4501,1504,600,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1115,2019-10-12 10:59:02.000,8.3457,16.277610648814751,167,170,4330,1501,600,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1116,2019-10-12 14:59:17.000,6.2453,12.464936290651812,171,165,3538,1521,603,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1117,2019-10-12 15:08:09.000,6.8042,13.800717135806735,169,168,4335,1524,603,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1118,2019-10-12 15:17:39.000,6.3042,13.148148840434796,170,167,3548,1527,603,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1119,2019-10-12 15:35:48.000,7.9102,14.046312095619012,169,165,4413,1522,601,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1120,2019-10-12 15:43:58.000,8.4251,14.636489570859107,168,168,3785,1515,600,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1122,2019-10-12 15:58:42.000,6.069,13.184745575918495,170,168,3903,1513,600,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1123,2019-10-12 16:13:28.000,6.3349,12.173926104877841,171,169,3523,1509,601,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1124,2019-10-12 16:21:05.000,7.9432,13.136684802813399,170,169,3814,1509,601,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1125,2019-10-12 16:27:31.000,9.3246,13.815267645095433,169,169,4322,1509,601,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1126,2019-10-12 16:34:35.000,8.4932,13.580695798380656,169,169,4283,1510,601,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1127,2019-10-12 16:42:07.000,7.9731,13.009698539930209,170,169,3796,1510,601,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1131,2019-10-12 17:07:50.000,8.8104,14.536179241671865,168,169,4562,1760,652,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1135,2019-10-12 18:18:07.000,3.1188,19.281408967883216,164,168,2157,1749,652,106
"WellA",17.5,"PDC","BESTE","1665",1.119,"","Gachsaran5-2",1137,2019-10-12 21:09:20.000,1.8808,14.80183626732159,162,171,2247,1750,654,106
