Date AD,Date,WellName,WellPhase,PhaseSection,Category,HoleSize inch,Depth meter,FormationName,Lithology,Unit, XanthanGum,Barite,Bentonite,CausticSoda,Lime,LimestonePowder,PHPA,PotasiumChloride,Salt,SodaAsh,StarchGreen,StarchHT
2020-05-02 00:00:00.000,1399/02/13,WellB,Drilling,FluidSection,Mud,36,0,Mishan,GrayMarl,25kg,0,,,4,0,,0,,,4,0,0
2020-05-02 00:00:00.000,1399/02/13,WellB,Drilling,FluidSection,Mud,36,0,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-02 00:00:00.000,1399/02/13,WellB,Drilling,FluidSection,Mud,36,0,Mishan,GrayMarl,Ton,,0,7,,,0,,0,0,,,
2020-05-03 00:00:00.000,1399/02/13,WellB,Drilling,FluidSection,Mud,36,35,Mishan,GrayMarl,25kg,0,,,2,0,,0,,,1,0,0
2020-05-03 00:00:00.000,1399/02/13,WellB,Drilling,FluidSection,Mud,36,35,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-03 00:00:00.000,1399/02/13,WellB,Drilling,FluidSection,Mud,36,35,Mishan,GrayMarl,Ton,,0,2,,,0,,0,0,,,
2020-05-04 00:00:00.000,1399/02/15,WellB,Drilling,FluidSection,Mud,36,89,Mishan,GrayMarl,25kg,0,,,1,6,,0,,,0,0,0
2020-05-04 00:00:00.000,1399/02/15,WellB,Drilling,FluidSection,Mud,36,89,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-04 00:00:00.000,1399/02/15,WellB,Drilling,FluidSection,Mud,36,89,Mishan,GrayMarl,Ton,,0,0,,,0,,0,0,,,
2020-05-05 00:00:00.000,1399/02/16,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,25kg,0,,,1,7,,0,,,1,0,0
2020-05-05 00:00:00.000,1399/02/16,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-05 00:00:00.000,1399/02/16,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,Ton,,0,2,,,0,,0,0,,,
2020-05-06 00:00:00.000,1399/02/17,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,25kg,0,,,1,8,,0,,,0,0,0
2020-05-06 00:00:00.000,1399/02/17,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-06 00:00:00.000,1399/02/17,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,Ton,,0,0,,,0,,0,0,,,
2020-05-07 00:00:00.000,1399/02/18,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,25kg,0,,,1,2,,0,,,1,0,0
2020-05-07 00:00:00.000,1399/02/18,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-07 00:00:00.000,1399/02/18,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,Ton,,0,3,,,0,,0,0,,,
2020-05-08 00:00:00.000,1399/02/19,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,25kg,0,,,0,8,,0,,,0,0,0
2020-05-08 00:00:00.000,1399/02/19,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-08 00:00:00.000,1399/02/19,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,Ton,,0,0,,,0,,0,0,,,
2020-05-09 00:00:00.000,1399/02/20,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,25kg,0,,,0,2,,0,,,0,0,0
2020-05-09 00:00:00.000,1399/02/20,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-09 00:00:00.000,1399/02/20,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,Ton,,0,0,,,0,,0,0,,,
2020-05-10 00:00:00.000,1399/02/21,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,25kg,0,,,0,0,,0,,,0,0,0
2020-05-10 00:00:00.000,1399/02/21,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-10 00:00:00.000,1399/02/21,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,Ton,,0,0,,,0,,0,0,,,
2020-05-11 00:00:00.000,1399/02/22,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,25kg,0,,,0,0,,0,,,0,0,0
2020-05-11 00:00:00.000,1399/02/22,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-11 00:00:00.000,1399/02/22,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,Ton,,0,0,,,0,,0,0,,,
2020-05-12 00:00:00.000,1399/02/23,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,25kg,0,,,0,0,,0,,,0,0,0
2020-05-12 00:00:00.000,1399/02/23,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-12 00:00:00.000,1399/02/23,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,Ton,,0,0,,,0,,0,0,,,
2020-05-13 00:00:00.000,1399/02/24,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,25kg,0,,,0,0,,0,,,0,0,0
2020-05-13 00:00:00.000,1399/02/24,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-13 00:00:00.000,1399/02/24,WellB,Drilling,FluidSection,Mud,36,107,Mishan,GrayMarl,Ton,,0,0,,,0,,0,0,,,
2020-05-14 00:00:00.000,1399/02/25,WellB,Drilling,FluidSection,Mud,26,119,Mishan,GrayMarl,25kg,0,,,0,2,,0,,,1,0,0
2020-05-14 00:00:00.000,1399/02/25,WellB,Drilling,FluidSection,Mud,26,119,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-14 00:00:00.000,1399/02/25,WellB,Drilling,FluidSection,Mud,26,119,Mishan,GrayMarl,Ton,,0,2,,,0,,0,0,,,
2020-05-15 00:00:00.000,1399/02/26,WellB,Drilling,FluidSection,Mud,26,152,Mishan,GrayMarl,25kg,4,,,0,0,,0,,,11,70,0
2020-05-15 00:00:00.000,1399/02/26,WellB,Drilling,FluidSection,Mud,26,152,Mishan,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-15 00:00:00.000,1399/02/26,WellB,Drilling,FluidSection,Mud,26,152,Mishan,GrayMarl,Ton,,0,0,,,0,,0,25,,,
2020-05-16 00:00:00.000,1399/02/27,WellB,Drilling,FluidSection,Mud,26,203,Mishan,GrayMarl,25kg,10,,,0,0,,0,,,7,10,0
2020-05-16 00:00:00.000,1399/02/27,WellB,Drilling,FluidSection,Mud,26,203,Mishan,GrayMarl,50kg,,,,,,,,,,2,,
2020-05-16 00:00:00.000,1399/02/27,WellB,Drilling,FluidSection,Mud,26,203,Mishan,GrayMarl,Ton,,0,0,,,0,,0,24,,,
2020-05-17 00:00:00.000,1399/02/28,WellB,Drilling,FluidSection,Mud,26,260,Gachsaran7,GrayMarl,25kg,8,,,10,0,,5,,,0,0,0
2020-05-17 00:00:00.000,1399/02/28,WellB,Drilling,FluidSection,Mud,26,260,Gachsaran7,GrayMarl,50kg,,,,,,,,,,2,,
2020-05-17 00:00:00.000,1399/02/28,WellB,Drilling,FluidSection,Mud,26,260,Gachsaran7,GrayMarl,Ton,,0,0,,,0,,0,10,,,
2020-05-18 00:00:00.000,1399/02/29,WellB,Drilling,FluidSection,Mud,26,280,Gachsaran7,GrayMarl,25kg,2,,,8,0,,5,,,0,20,0
2020-05-18 00:00:00.000,1399/02/29,WellB,Drilling,FluidSection,Mud,26,280,Gachsaran7,GrayMarl,50kg,,,,,,,,,,2,,
2020-05-18 00:00:00.000,1399/02/29,WellB,Drilling,FluidSection,Mud,26,280,Gachsaran7,GrayMarl,Ton,,0,0,,,0,,0,8,,,
2020-05-19 00:00:00.000,1399/02/30,WellB,Drilling,FluidSection,Mud,26,290,Gachsaran7,GrayMarl,25kg,2,,,0,7,,0,,,0,20,0
2020-05-19 00:00:00.000,1399/02/30,WellB,Drilling,FluidSection,Mud,26,290,Gachsaran7,GrayMarl,50kg,,,,,,,,,,1,,
2020-05-19 00:00:00.000,1399/02/30,WellB,Drilling,FluidSection,Mud,26,290,Gachsaran7,GrayMarl,Ton,,0,0,,,0,,0,4,,,
2020-05-20 00:00:00.000,1399/02/31,WellB,Drilling,FluidSection,Mud,26,333,Gachsaran7,GrayMarl,25kg,6,,,0,4,,0,,,4,20,0
2020-05-20 00:00:00.000,1399/02/31,WellB,Drilling,FluidSection,Mud,26,333,Gachsaran7,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-20 00:00:00.000,1399/02/31,WellB,Drilling,FluidSection,Mud,26,333,Gachsaran7,GrayMarl,Ton,,0,0,,,0,,0,12,,,
2020-05-21 00:00:00.000,1399/03/01,WellB,Drilling,FluidSection,Mud,26,368,Gachsaran7,GrayMarl,25kg,0,,,0,8,,0,,,6,0,0
2020-05-21 00:00:00.000,1399/03/01,WellB,Drilling,FluidSection,Mud,26,368,Gachsaran7,GrayMarl,50kg,,,,,,,,,,0,,
2020-05-21 00:00:00.000,1399/03/01,WellB,Drilling,FluidSection,Mud,26,368,Gachsaran7,GrayMarl,Ton,,0,0,,,0,,0,5,,,
