WellName,Days,Date_Shamsi,Date_Miladi,Total Time,DEPTH (m),HoleSize inch,Air Wrench,Air hoist,BOP Test/Drill,CSG PRSS. TEST,CSG/LNR Running,Cementing,Client Waiting,Cut & Slips drilling line,Draw works,Drill Out,Equipments,Fishing,Force Majeure,Generator,Hole Conditioning,IBOP,LOT / FIT,Mud Conditioning,Mud material,Mud pump,NIDC Cement Service Waiting,NIDC Mud Logging Service Waiting,NIDC Surface facilities Service Waiting,Nipple Up/Down,Others Contingency,Others Drilling Fluid Service Waiting,Others Rig Equipments,Others Rig operation waiting,Plug Back / Side Tracking,Plugging Bit/String/ CSG,Round Trip,Stand pipe,Stuck Pipe/Casing,Surveying,TDS,TOTCO Machine,Un-suitable mud properties,Vertical Drilling,Wait on Cement (WOC),Wash pipe,Well Logging,Well control system
WellA,1,98/06/05,2019-08-27 00:00:00.000,8,19,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,
WellA,10,98/06/14,2019-09-05 00:00:00.000,24,161,26,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,7,,,,7,,,9,,,,
WellA,100,98/09/13,2019-12-04 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,101,98/09/14,2019-12-05 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,102,98/09/15,2019-12-06 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,103,98/09/16,2019-12-07 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,104,98/09/17,2019-12-08 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,105,98/09/18,2019-12-09 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,106,98/09/19,2019-12-10 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,107,98/09/20,2019-12-11 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,108,98/09/21,2019-12-12 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,109,98/09/22,2019-12-13 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,11,98/06/15,2019-09-06 00:00:00.000,24,210,26,,,,,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,2,1,,,16,,,,
WellA,110,98/09/23,2019-12-14 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,111,98/09/24,2019-12-15 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,112,98/09/25,2019-12-16 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,113,98/09/26,2019-12-17 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,114,98/09/27,2019-12-18 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,115,98/09/28,2019-12-19 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,116,98/09/29,2019-12-20 00:00:00.000,24,1877,17.5,,,,,,,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WellA,117,98/09/30,2019-12-21 00:00:00.000,24,1877,17.5,,,,1,,,17,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
