WellName," Date ",Depth(m),Hole Size(in),Days," Summery ",Event,Z (m)
"WellA",2019-08-28 00:00:00.000,87,36,2," CONT. DRLG FORM. W/ 26"" R.BIT#1 & 26"" S.STAB @20 M F/ 19 TO 86 M W/ NL-NG WHILE RUN TOTCO-MACHINE @ 52 M, INC.: 0.1 DEG TILL M.N.","",-87
"WellA",2019-08-30 00:00:00.000,107,36,4," CONT. ENLARGING THE WELL F/ 28 TO 48 M W/ NL-NG, POOH TO SURF. TO CHECK BIT & HOLE OPENER, OK. RIH TO 48 M,  CONT. ENLARGING THE WELL F/ 48 TO 64 M W/ NL-NG TILL M.N.","",-107
"WellA",2019-08-31 00:00:00.000,107,36,5," CONT. ENLARGING THE WELL F/ 64 TO 100 M W/ NL-NG TILL M.N.","",-107
"WellA",2019-09-03 00:00:00.000,107,36,8," ROUGH CUT 42"" C. PIPE & 30"" CSG,  N/UP 30"" D.SPOOL & 30"" HI-DRILL (1 K), RIH W/ 26"" R.BIT#1RR2 & BHA#3 TO 88 M, TEST 30"" HI-DRILL, OK. WORK ON TDS TILL M.N.","",-107
"WellA",2019-09-04 00:00:00.000,135,26,9," CONT. D/O CMT TO 107M, POOH TO SURF., CHANGE BIT, RIH W/ 24"" R.BIT#2 NEW TO 107 M, CONT. DRLG FORM. F/ 107 TO 135 M W/ NL-NG TILL M.N.","",-135
"WellA",2019-09-06 00:00:00.000,210,26,11," CONT. DRLG FORM. W/2 NO. 24"" S.STAB @ 10M, 20M F/ 161 TO 200 M W/ NL-NG, PUMP PILL & CLEAN THE WELL, DIS. BENTONITE MUD ( IN HOLE) W/ S.SATURATED MUD, CONT. DRLG FORM. F/ 200 TO 210 M W/ NL-NG TILL M.N","",-210
"WellA",2019-09-07 00:00:00.000,282,26,12," CONT. DRLG FORM. W/2 NO. 24"" S.STAB @ 10M, 20M F/ 210 TO 282 M W/ VIBRATION & NL-NG WHILE INC. MW F/ 73 TO 75 PCF & PUMP HI-VIS PILL PERIODICALLY TILL M.N","",-282
"WellA",2019-09-08 00:00:00.000,296,26,13," CONT. DRLG FORM. W/2 NO. 24"" S.STAB @ 10M, 20M F/ 282 TO 296 M W/ VIBRATION & NL-NG, RUN TOTCO @ 287 M, INC. 1.25 DEG. POOH TO SURF. CHANGE BIT & BHA. RIH W/ 24"" PDC BIT#3 USED & 2 NO. 24"" S.STAB @ 20M, 30M TO 136 M TILL M.N","",-296
"WellA",2019-09-09 00:00:00.000,350,26,14," CONT. RIH W/ 24"" PDC BIT#3 USED & 2 NO. 24"" S.STAB @ 20M, 30M TO 296 M, CONT DRLG FORM. F/ 296 TO 350 M W/ NL-NG WHILE PUMP HI-VIS PILL PERIODICALLY TILL M.N","",-350
"WellA",2019-09-10 00:00:00.000,425,26,15," CONT DRLG FORM. F/ 350 TO 425 M W/ NL-NG WHILE PUMP HI-VIS PILL PERIODICALLY & RUN TOTCO @ 398 M, INC.: 1 DEG. TILL M.N","",-425
"WellA",2019-09-11 00:00:00.000,475,26,16," CONT DRLG FORM. F/425 TO 473 M, NL-NG, STOP DRLG DUE TO NO CONTROL MW, POOH TO 260 M, RUN BACK TO BTM, CONT. DRLG FM TO 475 M, STOP DRLG DUE TO FAILURE TDS, WORK ON TDS, NL-NG TILL MN.","",-475
"WellA",2019-09-12 00:00:00.000,529,26,17," WORK ON TDS, RESUME DRLG FM F/475 TO 524 M WHILE WORK ON MW, PUMP HI-VIS PILL & CLEAN HOLE, RUN TOTCO, INC: 1 DEG, CONT. DRLG TO 529 M, OBS DEC. SPP 100 PSI, STOP DRLG, CHECK SURF. EQUIP TILL MN.","",-529
"WellA",2019-09-14 00:00:00.000,551,26,19," L/D FISHING BHA & PDC BIT, P/U & M/U 24"" USED PDC BIT # 3 RR1 & NEW BHA JT BY JT FOLLOWED 5"" DP TO 500 M, WASH DOWN TO 529 M, START DRLG FM F/529 TO 551M, NL-NG.","",-551
"WellA",2019-09-15 00:00:00.000,603,26,20," CONT. DRLG FM F/551 TO 603 M WHILE INC. MW F/80 TO 82 PCF, NL-NG.","",-603
"WellA",2019-09-16 00:00:00.000,642,26,21," CHANGE WASH PIPE, CONT. DRLG F/603 TO 608M, RUN TOTCO, INC: 2 DEG, CONT. DRLG FM TO 642M, NL-NG, STOP DRLG, DUE TO CHANGE BHA, PUMP & CIRC. OUT 30 BBL HI-VIS PILL, DROP TOTCO, POOH TO 345M, NL-NG.","",-642
