WellName,NPT&PT,OperationType,TBDCoding,ForecastHrs,HoleSize inch
"WellA","Non-Productive Time","Project Waiting","Bit Shortage",0,36
"WellA","Non-Productive Time","Project Waiting","Shortage Completion Eq.",0,36
"WellA","Non-Productive Time","Project Waiting","CSG/LNR/TBG Shortage",0,36
"WellA","Non-Productive Time","Project Waiting","Completion Fluid Shortage",0,36
"WellA","Non-Productive Time","Project Waiting","Well head Shortage",0,36
"WellA","Non-Productive Time","Project Waiting","Explosive Material",0,36
"WellA","Non-Productive Time","Project Waiting","CSG Acc. Shortage",0,36
"WellA","Non-Productive Time","Project Waiting","Other Procurements Shortage",0,36
"WellA","Non-Productive Time","Project Waiting","Drilling Water Storage",0,36
"WellA","Non-Productive Time","Project Waiting","Bit Shortage",0,26
"WellA","Non-Productive Time","Project Waiting","Shortage Completion Eq.",0,26
"WellA","Non-Productive Time","Project Waiting","CSG/LNR/TBG Shortage",0,26
"WellA","Non-Productive Time","Project Waiting","Completion Fluid Shortage",0,26
"WellA","Non-Productive Time","Project Waiting","Well head Shortage",0,26
"WellA","Non-Productive Time","Project Waiting","Explosive Material",0,26
"WellA","Non-Productive Time","Project Waiting","CSG Acc. Shortage",0,26
"WellA","Non-Productive Time","Project Waiting","Other Procurements Shortage",0,26
"WellA","Non-Productive Time","Project Waiting","Drilling Water Storage",0,26
"WellA","Non-Productive Time","Project Waiting","Bit Shortage",0,17.5
"WellA","Non-Productive Time","Project Waiting","Shortage Completion Eq.",0,17.5
"WellA","Non-Productive Time","Project Waiting","CSG/LNR/TBG Shortage",0,17.5
"WellA","Non-Productive Time","Project Waiting","Completion Fluid Shortage",0,17.5
"WellA","Non-Productive Time","Project Waiting","Well head Shortage",0,17.5
"WellA","Non-Productive Time","Project Waiting","Explosive Material",0,17.5
"WellA","Non-Productive Time","Project Waiting","CSG Acc. Shortage",0,17.5
"WellA","Non-Productive Time","Project Waiting","Other Procurements Shortage",0,17.5
"WellA","Non-Productive Time","Project Waiting","Drilling Water Storage",0,17.5
"WellA","Non-Productive Time","Project Waiting","Bit Shortage",0,12.25
"WellA","Non-Productive Time","Project Waiting","Shortage Completion Eq.",0,12.25
"WellA","Non-Productive Time","Project Waiting","CSG/LNR/TBG Shortage",0,12.25
"WellA","Non-Productive Time","Project Waiting","Completion Fluid Shortage",0,12.25
"WellA","Non-Productive Time","Project Waiting","Well head Shortage",0,12.25
"WellA","Non-Productive Time","Project Waiting","Explosive Material",0,12.25
"WellA","Non-Productive Time","Project Waiting","CSG Acc. Shortage",0,12.25
"WellA","Non-Productive Time","Project Waiting","Other Procurements Shortage",0,12.25
"WellA","Non-Productive Time","Project Waiting","Drilling Water Storage",0,12.25
"WellA","Non-Productive Time","Project Waiting","Bit Shortage",0,8.5
"WellA","Non-Productive Time","Project Waiting","Shortage Completion Eq.",0,8.5
"WellA","Non-Productive Time","Project Waiting","CSG/LNR/TBG Shortage",0,8.5
"WellA","Non-Productive Time","Project Waiting","Completion Fluid Shortage",0,8.5
"WellA","Non-Productive Time","Project Waiting","Well head Shortage",0,8.5
"WellA","Non-Productive Time","Project Waiting","Explosive Material",0,8.5
"WellA","Non-Productive Time","Project Waiting","CSG Acc. Shortage",0,8.5
"WellA","Non-Productive Time","Project Waiting","Other Procurements Shortage",0,8.5
"WellA","Non-Productive Time","Project Waiting","Drilling Water Storage",0,8.5
"WellA","Non-Productive Time","Project Waiting","Bit Shortage",0,6.125
"WellA","Non-Productive Time","Project Waiting","Shortage Completion Eq.",0,6.125
"WellA","Non-Productive Time","Project Waiting","CSG/LNR/TBG Shortage",0,6.125
"WellA","Non-Productive Time","Project Waiting","Completion Fluid Shortage",0,6.125
"WellA","Non-Productive Time","Project Waiting","Well head Shortage",0,6.125
"WellA","Non-Productive Time","Project Waiting","Explosive Material",0,6.125
"WellA","Non-Productive Time","Project Waiting","CSG Acc. Shortage",0,6.125
"WellA","Non-Productive Time","Project Waiting","Other Procurements Shortage",0,6.125
"WellA","Non-Productive Time","Project Waiting","Drilling Water Storage",0,6.125
"WellB","Non-Productive Time","Project Waiting","Bit Shortage",0,36
"WellB","Non-Productive Time","Project Waiting","Shortage Completion Eq.",0,36
"WellB","Non-Productive Time","Project Waiting","CSG/LNR/TBG Shortage",0,36
"WellB","Non-Productive Time","Project Waiting","Completion Fluid Shortage",0,36
"WellB","Non-Productive Time","Project Waiting","Well head Shortage",0,36
"WellB","Non-Productive Time","Project Waiting","Explosive Material",0,36
"WellB","Non-Productive Time","Project Waiting","CSG Acc. Shortage",0,36
"WellB","Non-Productive Time","Project Waiting","Other Procurements Shortage",0,36
"WellB","Non-Productive Time","Project Waiting","Drilling Water Storage",0,36
"WellB","Non-Productive Time","Project Waiting","Bit Shortage",0,26
"WellB","Non-Productive Time","Project Waiting","Shortage Completion Eq.",0,26
"WellB","Non-Productive Time","Project Waiting","CSG/LNR/TBG Shortage",0,26
"WellB","Non-Productive Time","Project Waiting","Completion Fluid Shortage",0,26
"WellB","Non-Productive Time","Project Waiting","Well head Shortage",0,26
"WellB","Non-Productive Time","Project Waiting","Explosive Material",0,26
"WellB","Non-Productive Time","Project Waiting","CSG Acc. Shortage",0,26
"WellB","Non-Productive Time","Project Waiting","Other Procurements Shortage",0,26
"WellB","Non-Productive Time","Project Waiting","Drilling Water Storage",0,26
"WellB","Non-Productive Time","Rig operation waiting","Moveable Department",0,36
"WellB","Non-Productive Time","Rig operation waiting","Wait on Rig Decision",0,36
"WellB","Non-Productive Time","Rig operation waiting","Delay on Rig Operation",0,36
"WellB","Non-Productive Time","Rig operation waiting","Others Rig operation waiting",0,36
"WellB","Non-Productive Time","Logging Service Company Waiting","NIDC Logging Service  Waiting",0,36
"WellB","Non-Productive Time","Logging Service Company Waiting","OTS Logging Service Waiting",0,36
"WellB","Non-Productive Time","Logging Service Company Waiting","WSI Logging Service Waiting",0,36
"WellB","Non-Productive Time","Logging Service Company Waiting","RENE Logging Service Waiting",0,36
"WellB","Non-Productive Time","Logging Service Company Waiting","Persia Logging Service Waiting",0,36
"WellB","Non-Productive Time","Logging Service Company Waiting","Other Logging Service Waiting",0,36
"WellB","Non-Productive Time","Perforation Service Company Waiting","NIDC Perforation Service Waiting",0,36
"WellB","Non-Productive Time","Perforation Service Company Waiting","OTS Perforation Service Waiting",0,36
"WellB","Non-Productive Time","Perforation Service Company Waiting","Others Perforation Service Waiting",0,36
"WellB","Non-Productive Time","Completion Running Service Company Waiting","BEP Completion Service Waiting",0,36
"WellB","Non-Productive Time","Completion Running Service Company Waiting","Nasr Mob. Completion Service Waiting",0,36
"WellB","Non-Productive Time","Completion Running Service Company Waiting","Others Completion Service Waiting",0,36
"WellB","Non-Productive Time","Casing Running Service Company Waiting","NIDC Casing Running Service Waiting",0,36
"WellB","Non-Productive Time","Casing Running Service Company Waiting","Others Casing Running Service Waiting",0,36
"WellB","Non-Productive Time","Liner Hanger Service Company Waiting","HPOGC Liner Hanger Service Waiting",0,36
"WellB","Non-Productive Time","Liner Hanger Service Company Waiting","IDC Liner Hanger Service Waiting",0,36
"WellB","Non-Productive Time","Liner Hanger Service Company Waiting","PPAC Liner Hanger Service Waiting",0,36
"WellB","Non-Productive Time","Liner Hanger Service Company Waiting","Others Liner Hanger Service Waiting",0,36
"WellB","Non-Productive Time","Wellhead Service Company Waiting","MSA Wellhead Service Waiting",0,36
"WellB","Non-Productive Time","Wellhead Service Company Waiting","NIDC Wellhead Service Waiting",0,36
"WellB","Non-Productive Time","Wellhead Service Company Waiting","Others Wellhead Service Waiting",0,36
"WellB","Non-Productive Time","Waste Management Service Company Waiting","NIDC Waste Management Service Waiting",0,36
"WellB","Non-Productive Time","Waste Management Service Company Waiting","Others Waste Management Service Waiting",0,36
"WellB","Non-Productive Time","Mud Logging Service Company Waiting","NIDC Mud Logging Service Waiting",0,36
"WellB","Non-Productive Time","Mud Logging Service Company Waiting","Others Mud Logging Service Waiting",0,36
"WellB","Non-Productive Time","H2S Service Company Waiting","NIDC H2S Service Waiting",0,36
"WellB","Non-Productive Time","H2S Service Company Waiting","Others Service Company Waiting",0,36
"WellB","Non-Productive Time"," Dry test / RTTS / RBP Service Company Waiting"," NIDC Dry test / RTTS / RBP Service Waiting",0,36
"WellB","Non-Productive Time"," Dry test / RTTS / RBP Service Company Waiting","Persia Dry test / RTTS / RBP Service Waiting",0,36
"WellB","Non-Productive Time"," Dry test / RTTS / RBP Service Company Waiting","OTS Dry test / RTTS / RBP Service Waiting",0,36
"WellB","Non-Productive Time"," Dry test / RTTS / RBP Service Company Waiting","Others Dry test / RTTS / RBP Service Waiting",0,36
"WellB","Non-Productive Time","Directional Drilling Service Company Waiting","NIDC Directional Drilling Service Waiting",0,36
"WellB","Non-Productive Time","Directional Drilling Service Company Waiting","PGO Directional Drilling Service Waiting",0,36
"WellB","Non-Productive Time","Directional Drilling Service Company Waiting","Others Directional Drilling Service Waiting",0,36
"WellB","Non-Productive Time","Cement Service Company Waiting","NIDC Cement Service Waiting",0,36
"WellB","Non-Productive Time","Cement Service Company Waiting","Others Cement Service Waiting",0,36
"WellB","Non-Productive Time","Drilling Fluid Service Company Waiting","Special fluid Additive",0,36
"WellB","Non-Productive Time","Drilling Fluid Service Company Waiting","Mud material",0,36
"WellB","Non-Productive Time","Drilling Fluid Service Company Waiting","Un-suitable mud properties",0,36
"WellB","Non-Productive Time","Drilling Fluid Service Company Waiting","Equipments",0,36
"WellB","Non-Productive Time","Drilling Fluid Service Company Waiting","Others Drilling Fluid Service Waiting",0,36
"WellB","Non-Productive Time","Surface facilities Service Company Waiting","NIDC Surface facilities Service Waiting",0,36
"WellB","Non-Productive Time","Surface facilities Service Company Waiting","Others Surface facilities Service Waiting",0,36
"WellB","Non-Productive Time","Acidizing Service Company Waiting","NIDC Acidizing Service Waiting",0,36
"WellB","Non-Productive Time","Acidizing Service Company Waiting","Others Acidizing Service Waiting",0,36
"WellB","Non-Productive Time","Decision Waiting","Client Waiting",0,36
"WellB","Non-Productive Time","Rig operation waiting","Moveable Department",0,26
"WellB","Non-Productive Time","Rig operation waiting","Wait on Rig Decision",0,26
"WellB","Non-Productive Time","Rig operation waiting","Delay on Rig Operation",0,26
"WellB","Non-Productive Time","Rig operation waiting","Others Rig operation waiting",0,26
"WellB","Non-Productive Time","Logging Service Company Waiting","NIDC Logging Service  Waiting",0,26
"WellB","Non-Productive Time","Logging Service Company Waiting","OTS Logging Service Waiting",0,26
"WellB","Non-Productive Time","Logging Service Company Waiting","WSI Logging Service Waiting",0,26
"WellB","Non-Productive Time","Logging Service Company Waiting","RENE Logging Service Waiting",0,26
"WellB","Non-Productive Time","Logging Service Company Waiting","Persia Logging Service Waiting",0,26
"WellB","Non-Productive Time","Logging Service Company Waiting","Other Logging Service Waiting",0,26
"WellB","Non-Productive Time","Perforation Service Company Waiting","NIDC Perforation Service Waiting",0,26
