Identificador,Latitud,Longitud,Tipo
"DC001",-11.67114585,-83.22489278,"DCs"
"DC002",-81.95947549,72.9162695,"DCs"
"DC003",-14.22731698,64.43633751,"DCs"
"DC004",43.58105746,89.86685836,"DCs"
"DC005",84.11115264,-34.58885675,"DCs"
"Plant001",67.95458019,30.95143418,"Planta"
"Plant002",18.38170216,-23.86330645,"Planta"
"Plant003",61.77910668,-29.66737339,"Planta"
"Plant004",78.66031164,81.44016527,"Planta"
"Plant005",53.05397278,-95.24078678,"Planta"
"Customer001",-69.7415041,5.7217254,"Cliente"
"Customer002",-17.74631895,7.71807615,"Cliente"
"Customer003",67.41158818,79.0660602,"Cliente"
"Customer004",-71.91233417,-25.39319369,"Cliente"
"Customer005",68.44101913,-62.49004925,"Cliente"
"Customer006",-58.8784902,-22.07052049,"Cliente"
"Customer007",27.39095208,-49.38065519,"Cliente"
