PlayerId,NameFirst,NameLast,CurrentHandle,CountryCode,TotalUSDPrize,Game,Genre,Continent,Country,Age
17887,Pavel,Beltiukov,Pavel,ru,347798.0,Hearthstone,Card Game,Europe,Russia,27
3554,Martin,Larsson,Rekkles,se,438830.14,League of Legends,Multiplayer Online Battle Arena,Europe,Sweden,24
10470,Martin,Hansen,Wunder,dk,336306.24,League of Legends,Multiplayer Online Battle Arena,Europe,Denmark,21
44865,Arsenii,Ivanychev,ceh9,ru,104675.0,PUBG,Battle Royale,Europe,Russia,26
2594,Zhaohui,Wang,SanSheng,cn,1202225.88,Dota 2,Multiplayer Online Battle Arena,Asia,China,31
18897,Topias,Taavitsainen,Topson,fi,5470902.57,Dota 2,Multiplayer Online Battle Arena,Europe,Finland,22
51593,Artur,Kurshin,7ssk7,by,188358.03,Fortnite,Battle Royale,Europe,Belarus,25
7995,Zhou,Hang,iAsonu,cn,172891.85,Starcraft II,Strategy,Asia,China,23
30167,Francisco,Leimontas,PNC,ar,82409.24,Hearthstone,Card Game,South America,Argentina,32
47237,Young Wan,Kim,Creative,kr,90485.05,Overwatch,Shooter,Asia,South Korea,27
20813,Aleksi,Virolainen,Aleksib,fi,276730.92,Counter Strike Global Offensive,Shooter,Europe,Finland,26
4473,Seo Haeng,Lee,kurO,kr,267646.88,League of Legends,Multiplayer Online Battle Arena,Asia,South Korea,21
60945,Pontus,Bucht,Tchub,se,172400.0,Fortnite,Battle Royale,Europe,Sweden,21
21719,Michael,Udall,MichaelUdall,us,64763.4,Heroes of the Storm,Multiplayer Online Battle Arena,North America,United States of America,27
65470,-,-,Furious,us,143908.34,Fortnite,Battle Royale,North America,United States of America,22
2610,Clinton,Loomis,Fear,us,2551657.34,Dota 2,Multiplayer Online Battle Arena,North America,United States of America,33
68651,-,-,Nutalomlok,th,118657.27,Arena of Valor,Multiplayer Online Battle Arena,Asia,Thailand,21
6180,Diego,Schwimer,Kelazhur,br,158091.74,Starcraft II,Strategy,South America,Brazil,21
3878,Robin,RÃ¶nnquist,flusha,se,877668.95,Counter Strike Global Offensive,Shooter,Europe,Sweden,27
83083,Yu-Yan,Su,GaDuo,tw,26666.67,Arena of Valor,Multiplayer Online Battle Arena,Asia,Taiwan,23
15803,Stanislav,Cifka,StanCifka,cz,67096.88,Hearthstone,Card Game,Europe,Czech Republic,31
45412,Young Hoon,Shim,Simsn,kr,125722.18,PUBG,Battle Royale,Asia,South Korea,21
70315,-,-,æœ€åˆ,cn,65922.73,Arena of Valor,Multiplayer Online Battle Arena,Asia,China,24
28333,Artem,Kravets',DrHippi,ua,210416.67,Hearthstone,Card Game,Europe,Ukraine,22
1057,Soo Ho,Park,DongRaeGu,kr,289675.08,Starcraft II,Strategy,Asia,South Korea,26
3521,Seok Hee,Son,StarDust,kr,111579.95,Starcraft II,Strategy,Asia,South Korea,26
37635,Jae Hee,Hong,Gesture,kr,297730.97,Overwatch,Shooter,Asia,South Korea,19
50050,Logan,Heckman,Zanpah,us,130989.58,PUBG,Battle Royale,North America,United States of America,21
25047,Harrison,Chang,psalm,us,1873138.8,Fortnite,Battle Royale,North America,United States of America,26
20918,David,Shan,JustSaiyan,us,153062.5,Hearthstone,Card Game,North America,United States of America,30
3371,June Tsan,Wang,Stanley,tw,225522.01,League of Legends,Multiplayer Online Battle Arena,Asia,Taiwan,22
37493,Byeong Seon,Kim,Fleta,kr,86277.6,Overwatch,Shooter,Asia,South Korea,26
80698,Tai,StarÄiÄ,TaySon,si,200130.0,Fortnite,Battle Royale,Europe,Slovenia,25
69547,Ruilong,Deng,LongSkr,cn,67742.92,PUBG,Battle Royale,Asia,China,24
70314,-,-,æŸ æ €,cn,65922.73,Arena of Valor,Multiplayer Online Battle Arena,Asia,China,23
4674,Sung Wook,Joo,Zest,kr,558114.07,Starcraft II,Strategy,Asia,South Korea,20
16814,Roman,Kushnarev,RAMZES666,ru,1787796.92,Dota 2,Multiplayer Online Battle Arena,Europe,Russia,21
3518,Gabriel,Segat,HeRoMaRinE,de,167442.47,Starcraft II,Strategy,Europe,Germany,25
56483,Kyle,Giersdorf,Bugha,us,3141395.05,Fortnite,Battle Royale,North America,United States of America,18
3830,Se Hyeong,Cho,Mata,kr,533979.52,League of Legends,Multiplayer Online Battle Arena,Asia,South Korea,22
22207,Jianwei,Yap,xNova,my,1882492.98,Dota 2,Multiplayer Online Battle Arena,Asia,Malaysia,23
32000,Dong Jun,Kim,Rascal,kr,331108.68,Overwatch,Shooter,Asia,South Korea,26
53976,-,-,PS Man,vn,34811.67,Arena of Valor,Multiplayer Online Battle Arena,Asia,Vietnam,29
29443,Chandler,Gavran,Buds,us,64742.6,Heroes of the Storm,Multiplayer Online Battle Arena,North America,United States of America,25
69659,-,-,Munez,th,46641.1,Arena of Valor,Multiplayer Online Battle Arena,Asia,Thailand,31
54014,Chun Sheng,Chang,Neil,tw,125644.94,Arena of Valor,Multiplayer Online Battle Arena,Asia,Taiwan,31
51618,Malachi,Greiner,Reverse2k,us,255546.92,Fortnite,Battle Royale,North America,United States of America,20
55139,Dave,Jong,Rojo,nl,1213576.66,Fortnite,Battle Royale,Europe,Netherlands,21
17263,Chen,Yuxiang,Breath,cn,69487.73,Hearthstone,Card Game,Asia,China,20
12179,Ricardo,Prass,boltz,br,382208.97,Counter Strike Global Offensive,Shooter,South America,Brazil,25
27563,Timo,Kettunen,Taimou,fi,61027.02,Overwatch,Shooter,Europe,Finland,22
50052,Daniel,Hernandez,Sharpshothd,cu,77092.86,PUBG,Battle Royale,North America,Cuba,26
50877,Yashima,Nozomi,Alutemu,jp,76675.0,Hearthstone,Card Game,Asia,Japan,21
1158,Ilyes,Satouri,Stephano,fr,304291.61,Starcraft II,Strategy,Europe,France,26
15718,Jae Won,Lee,Rich,kr,427923.28,Heroes of the Storm,Multiplayer Online Battle Arena,Asia,South Korea,27
1049,Do Joon,Chae,Noblesse,kr,164811.62,Heroes of the Storm,Multiplayer Online Battle Arena,Asia,South Korea,28
61414,Calum,MacGillivray,itemm,gb,215605.0,Fortnite,Battle Royale,Europe,United Kingdom,22
4885,Yong Min,Kim,Febby,kr,602221.88,Dota 2,Multiplayer Online Battle Arena,Asia,South Korea,29
