OrderNumber,ProductKey,SalespersonKey,Channel,Quantity,UnitPrice,Multiplication,OrderDate
2054446,283,196,Retail,10,3.26,32.599999999999994,2020-10-20 00:00:00.000
1575494,2058,265,Distributor,15,1.24,18.6,2019-04-11 00:00:00.000
1996271,291,215,Retail,24,4.28,102.72,2020-06-17 00:00:00.000
1677304,264,265,Distributor,10,0.96,9.6,2019-09-07 00:00:00.000
2121973,839,144,Online,9,1.74,15.66,2020-12-25 00:00:00.000
1673809,1154,215,Retail,6,3.18,19.08,2019-07-23 00:00:00.000
2075561,146,215,Retail,3,2.07,6.209999999999999,2020-09-27 00:00:00.000
1758285,258,215,Retail,6,4.04,24.24,2019-10-31 00:00:00.000
1729401,1497,215,Retail,20,6.02,120.4,2019-09-26 00:00:00.000
1748357,2097,265,Distributor,24,4.3,103.2,2019-11-04 00:00:00.000
2126318,2549,215,Retail,14,3.86,54.04,2020-10-21 00:00:00.000
2171876,1842,102,Retail,1,34.4,34.4,2020-11-18 00:00:00.000
1861653,2445,265,Distributor,24,1.8,43.2,2020-02-05 00:00:00.000
2157691,1830,215,Retail,11,1.68,18.48,2020-12-20 00:00:00.000
1876486,2437,265,Distributor,18,1.58,28.44,2020-04-04 00:00:00.000
1788168,2191,669,Retail,5,2.18,10.9,2019-11-01 00:00:00.000
1590736,839,265,Distributor,9,1.67,15.03,2019-04-23 00:00:00.000
2029642,2268,144,Online,14,3.65,51.1,2020-08-30 00:00:00.000
1590911,1150,215,Retail,132,2.3,303.6,2019-05-15 00:00:00.000
2145690,2061,285,Online,15,1.54,23.1,2021-01-25 00:00:00.000
2156801,1216,265,Distributor,30,0.95,28.5,2021-02-14 00:00:00.000
1636487,2258,215,Retail,12,2.23,26.76,2019-06-23 00:00:00.000
2049862,2567,144,Online,16,0.74,11.84,2020-08-20 00:00:00.000
1890128,2233,144,Online,10,1.22,12.2,2020-04-21 00:00:00.000
1594626,1216,125,Distributor,30,1.16,34.8,2019-05-26 00:00:00.000
1759547,2445,144,Online,24,1.5,36.0,2020-01-01 00:00:00.000
2022825,668,196,Retail,6,2.99,17.94,2020-09-28 00:00:00.000
2164120,2166,144,Online,11,2.49,27.39,2021-01-12 00:00:00.000
2126959,235,326,Online,30,0.99,29.7,2020-12-09 00:00:00.000
1945389,2255,265,Distributor,24,0.54,12.96,2020-07-15 00:00:00.000
1912891,1560,265,Distributor,4,2.5,10.0,2020-03-09 00:00:00.000
2013402,2279,285,Online,28,3.31,92.68,2020-10-06 00:00:00.000
2171813,235,102,Retail,30,0.94,28.2,2020-12-27 00:00:00.000
1858995,2104,669,Retail,3,81.59,244.77,2020-05-16 00:00:00.000
1914164,1840,183,Retail,2,34.09,68.18,2020-04-30 00:00:00.000
1696112,203,196,Retail,24,1.86,44.64,2019-08-31 00:00:00.000
2043230,1603,102,Retail,3,7.66,22.98,2020-11-02 00:00:00.000
1596899,1527,215,Retail,6,3.03,18.18,2019-07-03 00:00:00.000
1972366,1972,144,Online,1,86.09,86.09,2020-08-02 00:00:00.000
1600532,2024,125,Distributor,5,2.96,14.8,2019-05-19 00:00:00.000
1968576,476,125,Distributor,6,3.64,21.84,2020-05-28 00:00:00.000
