Pedido,Data,ID Cliente,ID Produto,Quantidade,Preço Unitário,Total,Custo Unitário
"DT - 435512",2019-03-27 00:00:00.000,2,26,10,1013.3000000000001,10133,473.47560000000004
"VA - 440512",2020-08-08 00:00:00.000,2,26,10,1053.5,10535,397.6182
"VA - 4402214",2020-07-10 00:00:00.000,14,26,10,1006.6,10066,407.02500000000003
"VA - 4377815",2019-11-09 00:00:00.000,15,26,10,1073.6,10736,540.288
"VA - 4357116",2019-04-16 00:00:00.000,16,26,10,6473.8,64738,2795.9904
"VA - 4376216",2019-10-24 00:00:00.000,16,26,10,6473.8,64738,2795.9904
"VA - 4432122",2021-05-05 00:00:00.000,22,26,10,2232.7,22327,1124.4744000000003
"DT - 4431423",2021-04-28 00:00:00.000,23,26,10,6105.3,61053,2746.665
"DT - 4337424",2018-10-01 00:00:00.000,24,26,10,1174.1,11741,833.64750000000015
"VA - 4343124",2018-11-27 00:00:00.000,24,26,10,1757,17570,789.93000000000006
"VA - 4350131",2019-02-05 00:00:00.000,31,26,10,2339.9,23399,1157.4585000000002
"DT - 4341336",2018-11-09 00:00:00.000,36,26,10,6440.3,64403,3303.0530999999996
"VA - 4310939",2018-01-09 00:00:00.000,39,26,10,959.7,9597,629.4717
"VA - 4339239",2018-10-19 00:00:00.000,39,26,10,959.7,9597,629.4717
"VA - 4353739",2019-03-13 00:00:00.000,39,26,10,959.7,9597,629.4717
"VA - 4428339",2021-03-28 00:00:00.000,39,26,10,959.7,9597,629.4717
"VA - 4380440",2019-12-05 00:00:00.000,40,26,10,932.90000000000009,9329,544.8105
"VA - 4404740",2020-08-04 00:00:00.000,40,26,10,932.90000000000009,9329,544.8105
"VA - 4418940",2020-12-24 00:00:00.000,40,26,10,932.90000000000009,9329,544.8105
"VA - 4447640",2021-10-07 00:00:00.000,40,26,10,932.90000000000009,9329,544.8105
"DT - 4401241",2020-06-30 00:00:00.000,41,26,10,5609.5000000000009,56095.000000000007,3129.2082
"DT - 4417841",2020-12-13 00:00:00.000,41,26,10,5609.5000000000009,56095.000000000007,3129.2082
"VA - 4415551",2020-11-20 00:00:00.000,51,26,10,262.90000000000003,2629.0000000000005,152.86050000000003
"EX - 4417255",2020-12-07 00:00:00.000,55,26,10,2239.4,22394,886.1688
"EX - 4433955",2021-05-23 00:00:00.000,55,26,10,2239.4,22394,886.1688
"VA - 4433859",2021-05-22 00:00:00.000,59,26,10,3914.4,39144,1831.1904000000002
"DT - 4331664",2018-08-04 00:00:00.000,64,26,10,1301.3999999999999,13013.999999999998,561.5136
"VA - 4343364",2018-11-29 00:00:00.000,64,26,10,1891,18910,1054.2852
"DT - 4432464",2021-05-08 00:00:00.000,64,26,10,1301.3999999999999,13013.999999999998,561.5136
"DT - 4312967",2018-01-29 00:00:00.000,67,26,10,5381.7000000000007,53817.000000000007,4115.7765
"VA - 4320867",2018-04-18 00:00:00.000,67,26,10,1006.6,10066,651.24
"VA - 4315269",2018-02-21 00:00:00.000,69,26,10,3880.9,38809,2828.0097
"DT - 4449873",2021-10-29 00:00:00.000,73,26,10,5381.7000000000007,53817.000000000007,2856.8331000000003
"VA - 4316877",2018-03-09 00:00:00.000,77,26,10,6225.9000000000015,62259.000000000007,3753.2529
"VA - 4397180",2020-05-20 00:00:00.000,80,26,10,2333.2,23332,1154.142
"VA - 4445980",2021-09-20 00:00:00.000,80,26,10,993.2,9932,687.1788
"VA - 4407381",2020-08-30 00:00:00.000,81,26,10,3164,31640,2362.3128
"VA - 4429181",2021-04-05 00:00:00.000,81,26,10,3164,31640,2362.3128
"VA - 4321388",2018-04-23 00:00:00.000,88,26,10,3947.9,39479,2841.3360000000002
"VA - 4432689",2021-05-10 00:00:00.000,89,26,10,2514.1,25141,1492.425
"EX - 4349390",2019-01-28 00:00:00.000,90,26,10,2246.1,22461,1515.0375000000001
"EX - 4416090",2020-11-25 00:00:00.000,90,26,10,2246.1,22461,1515.0375000000001
"VA - 4345091",2018-12-16 00:00:00.000,91,26,10,2279.6,22796,1045.602
"VA - 4391891",2020-03-28 00:00:00.000,91,26,10,2279.6,22796,1045.602
"DT - 4315493",2018-02-23 00:00:00.000,93,26,10,5569.3,55693,3758.1974999999998
"VA - 4343494",2018-11-30 00:00:00.000,94,26,10,182.5,1825,92.8017
"EX - 4445995",2021-09-20 00:00:00.000,95,26,10,169.1,1691,116.0775
"DT - 4321598",2018-04-25 00:00:00.000,98,26,10,2353.3,23533,1396.9098000000004
"DT - 4397598",2020-05-24 00:00:00.000,98,26,10,2353.3,23533,1396.9098000000004
"DT - 4415698",2020-11-21 00:00:00.000,98,26,10,2353.3,23533,1396.9098000000004
"EX - 43819101",2019-12-20 00:00:00.000,101,26,10,1803.8999999999999,18039,648.82800000000009
"EX - 43806105",2019-12-07 00:00:00.000,105,26,10,1113.8,11138,570.5586
"DT - 44037107",2020-07-25 00:00:00.000,107,26,10,6400.1,64001,4606.92
"DT - 44430116",2021-08-22 00:00:00.000,116,26,10,3693.3,36933,1893.8420999999998
"VA - 43101120",2018-01-01 00:00:00.000,120,26,10,1113.8,11138,500.49
"VA - 43828120",2019-12-29 00:00:00.000,120,26,10,1113.8,11138,500.49
"EX - 43564129",2019-04-09 00:00:00.000,129,26,10,1803.8999999999999,18039,1038.1248
"EX - 43157136",2018-02-26 00:00:00.000,136,26,10,6192.4000000000015,61924.000000000007,2730.1428
"DT - 43160137",2018-03-01 00:00:00.000,137,26,10,1971.3999999999999,19714,797.769
"VA - 44150139",2020-11-15 00:00:00.000,139,26,10,202.6,2026,90.45
"VA - 44004140",2020-06-22 00:00:00.000,140,26,10,1703.3999999999999,17034,842.39100000000008
"VA - 44275140",2021-03-20 00:00:00.000,140,26,10,1703.3999999999999,17034,842.39100000000008
"VA - 44411140",2021-08-03 00:00:00.000,140,26,10,1703.3999999999999,17034,842.39100000000008
"DT - 43510145",2019-02-14 00:00:00.000,145,26,10,1891,18910,986.2668000000001
"DT - 43565145",2019-04-10 00:00:00.000,145,26,10,1891,18910,986.2668000000001
"VA - 44311145",2021-04-25 00:00:00.000,145,26,10,3907.7,39077,1933.5195
"EX - 43176151",2018-03-17 00:00:00.000,151,26,10,5790.4000000000015,57904.000000000007,2188.1664
"EX - 44241151",2021-02-14 00:00:00.000,151,26,10,5790.4000000000015,57904.000000000007,2188.1664
"DT - 44535153",2021-12-05 00:00:00.000,153,26,10,953,9530,633.6324
"VA - 43221159",2018-05-01 00:00:00.000,159,26,10,1770.3999999999999,17704,700.4448
"VA - 43881162",2020-02-20 00:00:00.000,162,26,10,5937.8,59378,3205.548
"VA - 44414163",2021-08-06 00:00:00.000,163,26,10,236.1,2361,175.1715
"EX - 43973164",2020-05-22 00:00:00.000,164,26,10,3914.4,39144,2711.5704
"DT - 43561168",2019-04-06 00:00:00.000,168,26,10,1066.8999999999999,10668.999999999998,546.49889999999994
"VA - 43428172",2018-11-24 00:00:00.000,172,26,10,249.5,2495,162.87030000000001
"VA - 44350174",2021-06-03 00:00:00.000,174,26,10,3914.4,39144,2782.0008000000003
"VA - 442521",2021-02-25 00:00:00.000,1,26,7,1133.8999999999999,7937.2999999999993,478.96289999999993
"EX - 432846",2018-07-03 00:00:00.000,6,26,7,1120.5,7843.5,654.55650000000014
"VA - 440956",2020-09-21 00:00:00.000,6,26,7,1020,7140,595.764
"VA - 436778",2019-07-31 00:00:00.000,8,26,7,979.80000000000007,6858.6,616.26600000000008
"DT - 437528",2019-10-14 00:00:00.000,8,26,7,3117.1,21819.7,1710.4095
"VA - 441428",2020-11-07 00:00:00.000,8,26,7,979.80000000000007,6858.6,616.26600000000008
"VA - 4427310",2021-03-18 00:00:00.000,10,26,7,1020,7140,724.08240000000012
"VA - 4441410",2021-08-06 00:00:00.000,10,26,7,1020,7140,724.08240000000012
"DT - 4356112",2019-04-06 00:00:00.000,12,26,7,1703.3999999999999,11923.8,735.1776
"DT - 4370212",2019-08-25 00:00:00.000,12,26,7,1703.3999999999999,11923.8,735.1776
"DT - 4430112",2021-04-15 00:00:00.000,12,26,7,1703.3999999999999,11923.8,735.1776
"DT - 4324516",2018-05-25 00:00:00.000,16,26,7,2279.6,15957.199999999999,1189.116
"VA - 4331116",2018-07-30 00:00:00.000,16,26,7,3050.1,21350.7,2194.92
"DT - 4410216",2020-09-28 00:00:00.000,16,26,7,2279.6,15957.199999999999,1189.116
"VA - 4419316",2020-12-28 00:00:00.000,16,26,7,3050.1,21350.7,2194.92
"VA - 4366924",2019-07-23 00:00:00.000,24,26,7,2976.4,20834.8,1204.794
"DT - 4344127",2018-12-07 00:00:00.000,27,26,7,1066.8999999999999,7468.2999999999993,527.32350000000008
"VA - 4372229",2019-09-14 00:00:00.000,29,26,7,3974.7,27822.899999999998,2503.053
"VA - 4384334",2020-01-13 00:00:00.000,34,26,7,3887.6,27213.2,1958.5440000000003
"DT - 4428237",2021-03-27 00:00:00.000,37,26,7,1020,7140,439.9488
"DT - 4326148",2018-06-10 00:00:00.000,48,26,7,973.1,6811.7,524.61
"VA - 4343648",2018-12-02 00:00:00.000,48,26,7,2373.4,16613.8,1600.9650000000001
"VA - 4426248",2021-03-07 00:00:00.000,48,26,7,2373.4,16613.8,1600.9650000000001
"VA - 4355353",2019-03-29 00:00:00.000,53,26,7,1066.8999999999999,7468.2999999999993,767.01600000000008
"VA - 4419953",2021-01-03 00:00:00.000,53,26,7,1066.8999999999999,7468.2999999999993,767.01600000000008
"DT - 4433963",2021-05-23 00:00:00.000,63,26,7,5509.0000000000009,38563.000000000007,3667.9284000000007
"DT - 4454765",2021-12-17 00:00:00.000,65,26,7,865.90000000000009,6061.3000000000011,334.4841
"EX - 4364666",2019-06-30 00:00:00.000,66,26,7,1006.6,7046.2,569.835
"VA - 4327974",2018-06-28 00:00:00.000,74,26,7,3820.6,26744.2,1718.55
"VA - 4405274",2020-08-09 00:00:00.000,74,26,7,6534.1,45738.700000000004,4938.5700000000006
"VA - 4438974",2021-07-12 00:00:00.000,74,26,7,3820.6,26744.2,1718.55
"VA - 4379177",2019-11-22 00:00:00.000,77,26,7,1013.3000000000001,7093.1,682.89750000000015
"VA - 4393877",2020-04-17 00:00:00.000,77,26,7,1013.3000000000001,7093.1,682.89750000000015
"VA - 4434577",2021-05-29 00:00:00.000,77,26,7,1013.3000000000001,7093.1,682.89750000000015
"VA - 4312480",2018-01-24 00:00:00.000,80,26,7,1730.2,12111.4,1244.592
"VA - 4335883",2018-09-15 00:00:00.000,83,26,7,765.40000000000009,5357.8000000000011,508.6908
"EX - 4340683",2018-11-02 00:00:00.000,83,26,7,1127.2,7890.4000000000015,790.17120000000023
"VA - 4364693",2019-06-30 00:00:00.000,93,26,7,5113.7000000000007,35795.900000000009,2622.5073
"VA - 4346094",2018-12-26 00:00:00.000,94,26,7,1944.6,13612.199999999999,1049.22
"VA - 4417694",2020-12-11 00:00:00.000,94,26,7,1944.6,13612.199999999999,1049.22
"VA - 4436494",2021-06-17 00:00:00.000,94,26,7,1944.6,13612.199999999999,1049.22
"VA - 4407296",2020-08-29 00:00:00.000,96,26,7,3874.2,27119.399999999998,2230.6176
"VA - 4400698",2020-06-24 00:00:00.000,98,26,7,182.5,1277.5,125.36370000000001
"VA - 4423198",2021-02-04 00:00:00.000,98,26,7,1053.5,7374.5,416.55240000000009
"VA - 4435198",2021-06-04 00:00:00.000,98,26,7,182.5,1277.5,125.36370000000001
"DT - 44193104",2020-12-28 00:00:00.000,104,26,7,3740.2,26181.399999999998,2523.555
"VA - 43382105",2018-10-09 00:00:00.000,105,26,7,932.90000000000009,6530.3000000000011,402.3216
"VA - 43639105",2019-06-23 00:00:00.000,105,26,7,932.90000000000009,6530.3000000000011,402.3216
"DT - 43916105",2020-03-26 00:00:00.000,105,26,7,2440.4,17082.8,1799.8344
"EX - 43612109",2019-05-27 00:00:00.000,109,26,7,1033.3999999999999,7233.7999999999993,520.0272
"DT - 44033114",2020-07-21 00:00:00.000,114,26,7,1040.1,7280.6999999999989,691.64100000000008
"DT - 43161119",2018-03-02 00:00:00.000,119,26,7,1877.6,13143.199999999999,1435.1399999999999
"EX - 44065121",2020-08-22 00:00:00.000,121,26,7,2259.5,15816.5,1016.0550000000001
"DT - 43914131",2020-03-24 00:00:00.000,131,26,7,3706.7,25946.899999999998,2234.1753
"VA - 43531134",2019-03-07 00:00:00.000,134,26,7,5040.0000000000009,35280.000000000007,3038.1552000000006
"DT - 43720142",2019-09-12 00:00:00.000,142,26,7,3344.9,23414.3,1775.2923
"DT - 43921142",2020-03-31 00:00:00.000,142,26,7,3344.9,23414.3,1775.2923
"DT - 44030142",2020-07-18 00:00:00.000,142,26,7,3344.9,23414.3,1775.2923
"VA - 43112143",2018-01-12 00:00:00.000,143,26,7,3887.6,27213.2,1783.6740000000002
"VA - 44006143",2020-06-24 00:00:00.000,143,26,7,3887.6,27213.2,1783.6740000000002
"VA - 43313144",2018-08-01 00:00:00.000,144,26,7,1060.2,7421.4000000000015,657.39060000000006
"VA - 44182146",2020-12-17 00:00:00.000,146,26,7,5462.1,38234.700000000004,2555.514
"VA - 44224146",2021-01-28 00:00:00.000,146,26,7,5462.1,38234.700000000004,2555.514
"VA - 43805153",2019-12-06 00:00:00.000,153,26,7,1790.5,12533.5,1014.3063000000001
"DT - 43318155",2018-08-06 00:00:00.000,155,26,7,2413.6,16895.2,1367.604
"VA - 43389156",2018-10-16 00:00:00.000,156,26,7,1120.5,7843.5,463.22460000000007
