Date,Chain,Postcode,Category,Total Units,Sale Price,Cost Price,Sales,Cost,Gross Profit
2016-01-01 00:00:00.000,"Ready Wear",2560,"Intimate",1,1,1,1,1,0
2016-01-01 00:00:00.000,"Ready Wear",2830,"Accessories",1,1,1,1,1,0
2016-01-01 00:00:00.000,"Ready Wear",3066,"Accessories",1,1,1,1,1,0
2016-01-01 00:00:00.000,"Ready Wear",4053,"Shoes",1,1,1,1,1,0
2016-01-01 00:00:00.000,"Bellings",6112,"Hosiery",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",800,"Accessories",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",2015,"Accessories",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",2350,"Shoes",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",2350,"Shoes",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Bellings",2478,"Groceries",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",2650,"Accessories",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",3018,"Juniors",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",3353,"Hosiery",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",4509,"Womens",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",4509,"Accessories",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",4558,"Shoes",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Bellings",4566,"Intimate",1,1,1,1,1,0
2016-02-01 00:00:00.000,"Ready Wear",6330,"Accessories",1,1,1,1,1,0
2016-03-01 00:00:00.000,"Ready Wear",2560,"Juniors",1,1,1,1,1,0
2016-03-01 00:00:00.000,"Ready Wear",3148,"Intimate",1,1,1,1,1,0
2016-03-01 00:00:00.000,"Ready Wear",6330,"Juniors",1,1,1,1,1,0
2016-04-01 00:00:00.000,"Ready Wear",2116,"Accessories",1,1,1,1,1,0
2016-04-01 00:00:00.000,"Ready Wear",3551,"Accessories",1,1,1,1,1,0
2016-04-01 00:00:00.000,"Ready Wear",4509,"Accessories",1,1,1,1,1,0
2016-04-01 00:00:00.000,"Bellings",6027,"Shoes",1,1,1,1,1,0
2016-05-01 00:00:00.000,"Ready Wear",3076,"Kids",1,1,1,1,1,0
2016-05-01 00:00:00.000,"Bellings",5011,"Intimate",1,1,1,1,1,0
2016-06-01 00:00:00.000,"Bellings",3429,"Intimate",1,1,1,1,1,0
2016-06-01 00:00:00.000,"Ready Wear",4215,"Accessories",1,1,1,1,1,0
2016-07-01 00:00:00.000,"Ready Wear",3550,"Intimate",1,1,1,1,1,0
2016-07-01 00:00:00.000,"Bellings",6030,"Juniors",1,1,1,1,1,0
2016-08-01 00:00:00.000,"Ready Wear",2020,"Kids",1,1,1,1,1,0
2016-08-01 00:00:00.000,"Ready Wear",2101,"Accessories",1,1,1,1,1,0
