Region,TimePeriod,SalesAmount
"Southeast","2015Q1",477542.7943
"Southeast","2016Q1",500264.3971
"Northwest","2015Q1",682808.113
"Central","2015Q1",561693.3768
"Central","2016Q1",624231.6923
"Northeast","2015Q1",669685.5884
"France","2015Q1",238772.5213
"Southwest","2015Q1",1353316.0384
"Canada","2015Q1",1008618.4806
"United Kingdom","2015Q1",273906.5922
"United Kingdom","2016Q1",542463.7975
"Germany","2016Q1",393901.2514
"Canada","2016Q1",1024145.7867
"Southwest","2016Q1",1439788.8911
"Australia","2016Q1",340479.429
"Northeast","2016Q1",475330.1177
"Northwest","2016Q1",1164712.1739
"France","2016Q1",597367.5743
