PK_SalesOrder,variable,value
64399,TK_Date,2021-07-06 00:00:00.000
64144,TK_Date,2021-07-06 00:00:00.000
74788,TK_Date,2021-07-06 00:00:00.000
32520,TK_Date,2021-07-06 00:00:00.000
3921,TK_Date,2021-07-06 00:00:00.000
38017,TK_Date,2021-07-06 00:00:00.000
70086,TK_Date,2021-07-06 00:00:00.000
39290,TK_Date,2021-07-06 00:00:00.000
65820,TK_Date,2021-07-06 00:00:00.000
109721,TK_Date,2021-07-06 00:00:00.000
92203,TK_Date,2021-07-06 00:00:00.000
35372,TK_Date,2021-07-06 00:00:00.000
3767,TK_Date,2021-07-06 00:00:00.000
14544,TK_Date,2021-07-06 00:00:00.000
109600,TK_Date,2021-07-06 00:00:00.000
32934,TK_Date,2021-07-06 00:00:00.000
108224,TK_Date,2021-07-06 00:00:00.000
21069,TK_Date,2021-07-06 00:00:00.000
99118,TK_Date,2021-07-06 00:00:00.000
112565,TK_Date,2021-07-06 00:00:00.000
17773,TK_Date,2021-07-06 00:00:00.000
106622,TK_Date,2021-07-06 00:00:00.000
93654,TK_Date,2021-07-06 00:00:00.000
91420,TK_Date,2021-07-06 00:00:00.000
75067,TK_Date,2021-07-06 00:00:00.000
93986,TK_Date,2021-07-06 00:00:00.000
45083,TK_Date,2021-07-06 00:00:00.000
109348,TK_Date,2021-07-06 00:00:00.000
40325,TK_Date,2021-07-06 00:00:00.000
45793,TK_Date,2021-07-06 00:00:00.000
15122,TK_Date,2021-07-06 00:00:00.000
81866,TK_Date,2021-07-06 00:00:00.000
19789,TK_Date,2021-07-06 00:00:00.000
115056,TK_Date,2021-07-06 00:00:00.000
34659,TK_Date,2021-07-06 00:00:00.000
115248,TK_Date,2021-07-06 00:00:00.000
104800,TK_Date,2021-07-06 00:00:00.000
23128,TK_Date,2021-07-06 00:00:00.000
20083,TK_Date,2021-07-06 00:00:00.000
33669,TK_Date,2021-07-06 00:00:00.000
36981,TK_Date,2021-07-06 00:00:00.000
71917,TK_Date,2021-07-06 00:00:00.000
96007,TK_Date,2021-07-06 00:00:00.000
26940,TK_Date,2021-07-06 00:00:00.000
57882,TK_Date,2021-07-06 00:00:00.000
28830,TK_Date,2021-07-06 00:00:00.000
34181,TK_Date,2021-07-06 00:00:00.000
104355,TK_Date,2021-07-06 00:00:00.000
16619,TK_Date,2021-07-06 00:00:00.000
4863,TK_Date,2021-07-06 00:00:00.000
110135,TK_Date,2021-07-06 00:00:00.000
62035,TK_Date,2021-07-06 00:00:00.000
19854,TK_Date,2021-07-06 00:00:00.000
47998,TK_Date,2021-07-06 00:00:00.000
113115,TK_Date,2021-07-06 00:00:00.000
95396,TK_Date,2021-07-06 00:00:00.000
7929,TK_Date,2021-07-06 00:00:00.000
117133,TK_Date,2021-07-06 00:00:00.000
53642,TK_Date,2021-07-06 00:00:00.000
52744,TK_Date,2021-07-06 00:00:00.000
116037,TK_Date,2021-07-06 00:00:00.000
80336,TK_Date,2021-07-06 00:00:00.000
54669,TK_Date,2021-07-06 00:00:00.000
53698,TK_Date,2021-07-06 00:00:00.000
45813,TK_Date,2021-07-06 00:00:00.000
51533,TK_Date,2021-07-06 00:00:00.000
114662,TK_Date,2021-07-06 00:00:00.000
54635,TK_Date,2021-07-06 00:00:00.000
83849,TK_Date,2021-07-06 00:00:00.000
96004,TK_Date,2021-07-06 00:00:00.000
12326,TK_Date,2021-07-06 00:00:00.000
50563,TK_Date,2021-07-06 00:00:00.000
115829,TK_Date,2021-07-06 00:00:00.000
94600,TK_Date,2021-07-06 00:00:00.000
3704,TK_Date,2021-07-06 00:00:00.000
94255,TK_Date,2021-07-06 00:00:00.000
118679,TK_Date,2021-07-06 00:00:00.000
19746,TK_Date,2021-07-06 00:00:00.000
102378,TK_Date,2021-07-06 00:00:00.000
43979,TK_Date,2021-07-06 00:00:00.000
6521,TK_Date,2021-07-06 00:00:00.000
84619,TK_Date,2021-07-06 00:00:00.000
121298,TK_Date,2021-07-06 00:00:00.000
102280,TK_Date,2021-07-06 00:00:00.000
86588,TK_Date,2021-07-06 00:00:00.000
82934,TK_Date,2021-07-06 00:00:00.000
811,TK_Date,2021-07-06 00:00:00.000
98430,TK_Date,2021-07-06 00:00:00.000
120060,TK_Date,2021-07-06 00:00:00.000
42665,TK_Date,2021-07-06 00:00:00.000
111389,TK_Date,2021-07-06 00:00:00.000
120590,TK_Date,2021-07-06 00:00:00.000
116560,TK_Date,2021-07-06 00:00:00.000
20336,TK_Date,2021-07-06 00:00:00.000
6821,TK_Date,2021-07-06 00:00:00.000
59329,TK_Date,2021-07-06 00:00:00.000
54003,TK_Date,2021-07-06 00:00:00.000
85751,TK_Date,2021-07-06 00:00:00.000
46489,TK_Date,2021-07-06 00:00:00.000
114254,TK_Date,2021-07-06 00:00:00.000
64399,TK_Source,SalesOrder
64144,TK_Source,SalesOrder
74788,TK_Source,SalesOrder
32520,TK_Source,SalesOrder
3921,TK_Source,SalesOrder
38017,TK_Source,SalesOrder
70086,TK_Source,SalesOrder
39290,TK_Source,SalesOrder
65820,TK_Source,SalesOrder
109721,TK_Source,SalesOrder
92203,TK_Source,SalesOrder
35372,TK_Source,SalesOrder
3767,TK_Source,SalesOrder
14544,TK_Source,SalesOrder
109600,TK_Source,SalesOrder
32934,TK_Source,SalesOrder
108224,TK_Source,SalesOrder
21069,TK_Source,SalesOrder
99118,TK_Source,SalesOrder
112565,TK_Source,SalesOrder
17773,TK_Source,SalesOrder
106622,TK_Source,SalesOrder
93654,TK_Source,SalesOrder
91420,TK_Source,SalesOrder
75067,TK_Source,SalesOrder
93986,TK_Source,SalesOrder
45083,TK_Source,SalesOrder
109348,TK_Source,SalesOrder
40325,TK_Source,SalesOrder
45793,TK_Source,SalesOrder
15122,TK_Source,SalesOrder
81866,TK_Source,SalesOrder
19789,TK_Source,SalesOrder
115056,TK_Source,SalesOrder
34659,TK_Source,SalesOrder
115248,TK_Source,SalesOrder
104800,TK_Source,SalesOrder
23128,TK_Source,SalesOrder
20083,TK_Source,SalesOrder
33669,TK_Source,SalesOrder
36981,TK_Source,SalesOrder
71917,TK_Source,SalesOrder
96007,TK_Source,SalesOrder
26940,TK_Source,SalesOrder
57882,TK_Source,SalesOrder
28830,TK_Source,SalesOrder
34181,TK_Source,SalesOrder
104355,TK_Source,SalesOrder
16619,TK_Source,SalesOrder
4863,TK_Source,SalesOrder
110135,TK_Source,SalesOrder
62035,TK_Source,SalesOrder
19854,TK_Source,SalesOrder
47998,TK_Source,SalesOrder
113115,TK_Source,SalesOrder
95396,TK_Source,SalesOrder
7929,TK_Source,SalesOrder
117133,TK_Source,SalesOrder
53642,TK_Source,SalesOrder
52744,TK_Source,SalesOrder
116037,TK_Source,SalesOrder
80336,TK_Source,SalesOrder
54669,TK_Source,SalesOrder
53698,TK_Source,SalesOrder
45813,TK_Source,SalesOrder
51533,TK_Source,SalesOrder
114662,TK_Source,SalesOrder
54635,TK_Source,SalesOrder
83849,TK_Source,SalesOrder
96004,TK_Source,SalesOrder
12326,TK_Source,SalesOrder
50563,TK_Source,SalesOrder
115829,TK_Source,SalesOrder
94600,TK_Source,SalesOrder
3704,TK_Source,SalesOrder
94255,TK_Source,SalesOrder
118679,TK_Source,SalesOrder
19746,TK_Source,SalesOrder
102378,TK_Source,SalesOrder
43979,TK_Source,SalesOrder
6521,TK_Source,SalesOrder
84619,TK_Source,SalesOrder
121298,TK_Source,SalesOrder
102280,TK_Source,SalesOrder
86588,TK_Source,SalesOrder
82934,TK_Source,SalesOrder
811,TK_Source,SalesOrder
98430,TK_Source,SalesOrder
120060,TK_Source,SalesOrder
42665,TK_Source,SalesOrder
111389,TK_Source,SalesOrder
120590,TK_Source,SalesOrder
116560,TK_Source,SalesOrder
20336,TK_Source,SalesOrder
6821,TK_Source,SalesOrder
59329,TK_Source,SalesOrder
54003,TK_Source,SalesOrder
85751,TK_Source,SalesOrder
46489,TK_Source,SalesOrder
114254,TK_Source,SalesOrder
64399,FK_Product,714
64144,FK_Product,923
74788,FK_Product,708
32520,FK_Product,738
3921,FK_Product,753
38017,FK_Product,712
70086,FK_Product,868
39290,FK_Product,895
65820,FK_Product,870
109721,FK_Product,716
92203,FK_Product,928
35372,FK_Product,783
3767,FK_Product,760
14544,FK_Product,791
109600,FK_Product,712
32934,FK_Product,843
108224,FK_Product,869
21069,FK_Product,783
99118,FK_Product,716
112565,FK_Product,949
17773,FK_Product,822
106622,FK_Product,870
93654,FK_Product,928
91420,FK_Product,716
75067,FK_Product,713
93986,FK_Product,712
45083,FK_Product,870
109348,FK_Product,976
40325,FK_Product,910
45793,FK_Product,707
15122,FK_Product,844
81866,FK_Product,711
19789,FK_Product,792
115056,FK_Product,871
34659,FK_Product,807
115248,FK_Product,980
104800,FK_Product,877
23128,FK_Product,853
20083,FK_Product,801
33669,FK_Product,800
36981,FK_Product,887
71917,FK_Product,967
96007,FK_Product,796
26940,FK_Product,760
57882,FK_Product,922
28830,FK_Product,782
34181,FK_Product,722
104355,FK_Product,715
16619,FK_Product,855
4863,FK_Product,711
110135,FK_Product,713
62035,FK_Product,783
19854,FK_Product,781
47998,FK_Product,864
113115,FK_Product,947
95396,FK_Product,781
7929,FK_Product,775
117133,FK_Product,928
53642,FK_Product,931
52744,FK_Product,873
116037,FK_Product,711
80336,FK_Product,870
54669,FK_Product,954
53698,FK_Product,930
45813,FK_Product,877
51533,FK_Product,858
114662,FK_Product,871
54635,FK_Product,972
83849,FK_Product,921
96004,FK_Product,974
12326,FK_Product,799
50563,FK_Product,923
115829,FK_Product,977
94600,FK_Product,868
3704,FK_Product,753
94255,FK_Product,955
118679,FK_Product,713
19746,FK_Product,763
102378,FK_Product,860
43979,FK_Product,879
6521,FK_Product,712
84619,FK_Product,870
121298,FK_Product,923
102280,FK_Product,889
86588,FK_Product,930
82934,FK_Product,998
811,FK_Product,716
98430,FK_Product,870
120060,FK_Product,708
42665,FK_Product,952
111389,FK_Product,966
120590,FK_Product,873
116560,FK_Product,867
20336,FK_Product,856
6821,FK_Product,715
59329,FK_Product,783
54003,FK_Product,712
85751,FK_Product,783
46489,FK_Product,793
114254,FK_Product,873
64399,FK_Customer,12081
64144,FK_Customer,16198
74788,FK_Customer,15895
32520,FK_Customer,29616
3921,FK_Customer,29885
38017,FK_Customer,11341
70086,FK_Customer,29492
39290,FK_Customer,29928
65820,FK_Customer,19795
109721,FK_Customer,22611
92203,FK_Customer,16080
35372,FK_Customer,27555
3767,FK_Customer,29791
14544,FK_Customer,29716
109600,FK_Customer,18115
32934,FK_Customer,29523
108224,FK_Customer,18892
21069,FK_Customer,29558
99118,FK_Customer,17963
112565,FK_Customer,29956
17773,FK_Customer,29546
106622,FK_Customer,19179
93654,FK_Customer,11769
91420,FK_Customer,15043
75067,FK_Customer,15418
93986,FK_Customer,27738
45083,FK_Customer,26317
109348,FK_Customer,19174
40325,FK_Customer,29996
45793,FK_Customer,22112
15122,FK_Customer,29507
81866,FK_Customer,29643
19789,FK_Customer,21996
115056,FK_Customer,18514
34659,FK_Customer,30046
115248,FK_Customer,15503
104800,FK_Customer,29616
23128,FK_Customer,29701
20083,FK_Customer,29895
33669,FK_Customer,29714
36981,FK_Customer,29623
71917,FK_Customer,24444
96007,FK_Customer,29489
26940,FK_Customer,30112
57882,FK_Customer,27939
28830,FK_Customer,29956
34181,FK_Customer,30083
104355,FK_Customer,29947
16619,FK_Customer,29651
4863,FK_Customer,30088
110135,FK_Customer,25649
62035,FK_Customer,29818
19854,FK_Customer,12999
47998,FK_Customer,29823
113115,FK_Customer,29917
95396,FK_Customer,30065
7929,FK_Customer,29958
117133,FK_Customer,17839
53642,FK_Customer,27828
52744,FK_Customer,25152
116037,FK_Customer,27714
80336,FK_Customer,20245
54669,FK_Customer,29631
53698,FK_Customer,21210
45813,FK_Customer,16694
51533,FK_Customer,11331
114662,FK_Customer,14025
54635,FK_Customer,29970
83849,FK_Customer,14748
96004,FK_Customer,29489
12326,FK_Customer,29704
50563,FK_Customer,11377
115829,FK_Customer,23882
94600,FK_Customer,20272
3704,FK_Customer,29846
94255,FK_Customer,12677
118679,FK_Customer,11715
19746,FK_Customer,20555
102378,FK_Customer,29627
43979,FK_Customer,11566
6521,FK_Customer,29853
84619,FK_Customer,29091
121298,FK_Customer,18178
102280,FK_Customer,29928
86588,FK_Customer,11300
82934,FK_Customer,29947
811,FK_Customer,29624
98430,FK_Customer,28698
120060,FK_Customer,11172
42665,FK_Customer,29732
111389,FK_Customer,29557
120590,FK_Customer,20455
116560,FK_Customer,20336
20336,FK_Customer,30074
6821,FK_Customer,29714
59329,FK_Customer,13176
54003,FK_Customer,27153
85751,FK_Customer,16829
46489,FK_Customer,18260
114254,FK_Customer,24043
64399,CreditCardApprovalCode,1137122Vi72739
64144,CreditCardApprovalCode,328363Vi29897
74788,CreditCardApprovalCode,725433Vi87303
32520,CreditCardApprovalCode,87891Vi89711
3921,CreditCardApprovalCode,108674Vi12864
38017,CreditCardApprovalCode,916587Vi94178
70086,CreditCardApprovalCode,18413Vi83385
39290,CreditCardApprovalCode,125194Vi32625
65820,CreditCardApprovalCode,238099Vi82861
109721,CreditCardApprovalCode,
92203,CreditCardApprovalCode,936076Vi41515
35372,CreditCardApprovalCode,630273Vi26769
3767,CreditCardApprovalCode,68401Vi25408
