atributo,nome_servico,nome_campo,tipo_campo,cod_campo,contexto,tipo_metrica,unidade,Column9
"atividadesDesenvolvidas-Atendimentos particularizados (individualizados)","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Atividades com cuidadores (as) para fortalecimento da convivência e dos vínculos, e qualificação dos cuidados na família e território.","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Campanhas de mobilização social","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Elaboração e execução de Instrumento Técnico de Acompanhamento e Desenvolvimento do Usuário-  Plano de Desenvolvimento do Usuário (PDU).","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Elaboração e execução do Plano de Acompanhamento Familiar - PAF","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Encaminhamento aos demais Serviços da Rede Socioassistencial","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Encaminhamento para acesso a Benefícios (BPC e Eventuais).","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Encaminhamento para Programas de Transferência de  Renda e Benefícios","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Encaminhamentos aos demais Serviços da Rede Socioassistencial","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Encaminhamentos aos demais Serviços da Rede Socioassistencial.","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Encaminhamentos às demais políticas públicas","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Encaminhamentos às demais políticas públicas para atendimento inclusivo e especializado.","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Encaminhamentos do usuário (a) para cadastramento e/ou atualização no Cadastro Único para Programas Sociais.","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Encontros/reuniões semanais","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Grupos/oficinas com famílias","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Oficinas Intergeracionais","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Oficinas Lúdicas (Cultura, Esporte e lazer)","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Palestras","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Visita no domicilio da pessoa idosa ou com deficiência, de forma regular para acolhida e orientação sobre a oferta do SUAS, no território.","","","","",1,"","<classificar>",""
"atividadesDesenvolvidas-Visitas Domiciliares","","","","",1,"","<classificar>",""
"atividadesIntersetoriaisDesenvolvidasNoPrograma-Articulação de ações com órgãos governamentais e organizações da sociedade civil para garantia do direito à convivência familiar e comunitária das crianças na primeira infância","","","","",1,"","<classificar>",""
"atividadesIntersetoriaisDesenvolvidasNoPrograma-Planejamento de estratégias articuladas para potencializar a perspectiva da complementariedade e da integração entre serviços e programas no território, com vistas ao desenvolvimento integral das crianças na primeira infância e ao apoio a gestantes e suas famílias, incluídas ações de mobilização, capacitação e educação permanente","","","","",1,"","<classificar>",""
"atividadesIntersetoriaisDesenvolvidasNoPrograma-Plano Integrado de Acompanhamento","","","","",1,"","<classificar>",""
"atividadesIntersetoriaisDesenvolvidasNoPrograma-Promoção da Caderneta da Criança como instrumento de promoção e vigilância do crescimento e desenvolvimento integral da criança, de acordo com o protocolo do Ministério da Saúde","","","","",1,"","<classificar>",""
"atividadesIntersetoriaisDesenvolvidasNoPrograma-Promoção da integração do Programa Criança Feliz com o Sistema de Garantias de Direitos","","","","",1,"","<classificar>",""
"atividadesIntersetoriaisDesenvolvidasNoPrograma-Promoção de estudos e pesquisas acerca do desenvolvimento infantil integral em uma perspectiva intersetorial.","","","","",1,"","<classificar>",""
"atividadesIntersetoriaisDesenvolvidasNoPrograma-Protocolos e fluxos de encaminhamentos conjuntos, a intersetorialidade entre as políticas públicas setoriais, em especial assistência social, saúde, educação e cultura, e com o Sistema de Justiça e de Garantia de Direitos","","","","",1,"","<classificar>",""
"comoEstaOrganizadoOPPADaPASNoMunicipio","","","","",1,"","<classificar>",""
"numeroDePessaosAtendidasNoTotal","","","","",1,"","Pessoas",""
"quaisAsAreasQueCompoeOComiteGestorIntersetorialDoPrimeiraInfanciaNoSUASProgramaCriancaFeliz-Assistência Social","","","","",1,"","<classificar>",""
"quaisAsAreasQueCompoeOComiteGestorIntersetorialDoPrimeiraInfanciaNoSUASProgramaCriancaFeliz-Cultura","","","","",1,"","<classificar>",""
"quaisAsAreasQueCompoeOComiteGestorIntersetorialDoPrimeiraInfanciaNoSUASProgramaCriancaFeliz-Direitos Humanos","","","","",1,"","<classificar>",""
"quaisAsAreasQueCompoeOComiteGestorIntersetorialDoPrimeiraInfanciaNoSUASProgramaCriancaFeliz-Educação","","","","",1,"","<classificar>",""
"quaisAsAreasQueCompoeOComiteGestorIntersetorialDoPrimeiraInfanciaNoSUASProgramaCriancaFeliz-Saúde","","","","",1,"","<classificar>",""
"quaisOutrasAcoesServicosOuProgramasVoltadosAPrimeiraInfanciaAlemDoProgramaPrimeiraInfanciaNoSUASProgramaCriancaFelizOfertadoPeloMunicipio","","","","",1,"","<classificar>",""
"quaisSaoAsModalidadesDeBeneficiosEventuaisOfertadasPeloMunicipio-Calamidade pública","","","","",1,"","<classificar>",""
"quaisSaoAsModalidadesDeBeneficiosEventuaisOfertadasPeloMunicipio-Funeral","","","","",1,"","<classificar>",""
"quaisSaoAsModalidadesDeBeneficiosEventuaisOfertadasPeloMunicipio-Natalidade","","","","",1,"","<classificar>",""
"quaisSaoAsModalidadesDeBeneficiosEventuaisOfertadasPeloMunicipio-Vulnerabilidade temporária","","","","",1,"","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-0-escolaridade","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-0-formacao","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-0-funcaoCargo","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-0-horasMediasDedicadasAVigilancia","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-0-nome","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-1-escolaridade","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-1-formacao","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-1-funcaoCargo","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-1-horasMediasDedicadasAVigilancia","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-1-nome","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-2-escolaridade","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-2-formacao","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-2-funcaoCargo","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-2-horasMediasDedicadasAVigilancia","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-2-nome","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-3-escolaridade","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-3-formacao","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-3-funcaoCargo","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-3-horasMediasDedicadasAVigilancia","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-3-nome","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-4-escolaridade","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-4-formacao","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-4-funcaoCargo","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-4-horasMediasDedicadasAVigilancia","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualEquipeCompoeOSetorDaVigilanciaSocioassistencial-4-nome","Equipe que Compões Setor da Vigilância Socioassistencial","","","",0,"3","<classificar>",""
"qualTipoDeCalamidade-Alagamentos","","","","",1,"","<classificar>",""
"qualTipoDeCalamidade-Chuvas","","","","",1,"","<classificar>",""
"qualTipoDeCalamidade-Enchentes","","","","",1,"","<classificar>",""
"quantidadeDeBoletinsElaboradosEPublicizados","","","","",1,"","<classificar>",""
"quantidadeDeMunicipiosAcompanhadosRemotamente","","","","",1,"","<classificar>",""
"quantidadeDeMunicipiosComPlanoDeProvidenciasAcompanhados","","","","",1,"","<classificar>",""
"quantidadeDeMunicipiosVisitadosInLoco","","","","",1,"","<classificar>",""
"quantidadeDeNotasTecnicasElaboradasEPublicizadas","","","","",1,"","<classificar>",""
"quantidadeMensalDeResolucoesEmitidasDoCEAS","","","","",1,"","<classificar>",""
"quantidadeMensalDeReunioesExtraordinariasDoCEAS","","","","",1,"","<classificar>",""
"quantidadeMensalDeReunioesOrdinariasDoCEAS","","","","",1,"","<classificar>",""
"quantidadeMensalDeReunioesTecnicasRealizadasPeloCEAS","","","","",1,"","<classificar>",""
"quemAlimentaOsDadosNosSistemasDaRedeSUAS-gestao","","","","",1,"","<classificar>",""
"quemAlimentaOsDadosNosSistemasDaRedeSUAS-protecao_social_basica","","","","",1,"","<classificar>",""
"quemAlimentaOsDadosNosSistemasDaRedeSUAS-protecao_social_especial","","","","",1,"","<classificar>",""
"sePossuiEquipeExclusivaQualAComposicaoDaEquipeDeReferenciaParaODesenvolvimentoDasAtividades-Assistente social","","","","",1,"","<classificar>",""
"sePossuiEquipeExclusivaQualAComposicaoDaEquipeDeReferenciaParaODesenvolvimentoDasAtividades-Outros","","","","",1,"","<classificar>",""
"sePossuiEquipeExclusivaQualAComposicaoDaEquipeDeReferenciaParaODesenvolvimentoDasAtividades-Psicólogo","","","","",1,"","<classificar>",""
"sePossuiEquipeExclusivaQualAComposicaoDaEquipeDeReferenciaParaODesenvolvimentoDasAtividades-Terapeuta Ocupacional","","","","",1,"","<classificar>",""
"LeideRegulamentacaodoSUAS-dataFinalDaVigencia","Instrumentos de Gestão","Lei de Regulamentação do SUAS","date","",0,"","<classificar>",""
"LeideRegulamentacaodoSUAS-dataInicioDaVigencia","Instrumentos de Gestão","Lei de Regulamentação do SUAS","date","",0,"","<classificar>",""
"planoDecenalDeAssistenciaSocial-dataFinalDaVigencia","Instrumentos de Gestão","Plano Decenal de Assistência Social","date","",0,"","<classificar>",""
"planoDecenalDeAssistenciaSocial-dataInicioDaVigencia","Instrumentos de Gestão","Plano Decenal de Assistência Social","date","",0,"","<classificar>",""
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Abrigos Institucionais para Adultos e Famílias","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","binary","AAF-1",1,"1","Abrigos",""
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental","Abrigos Institucionais para Adultos e Famílias","Unidades De Natureza Governamental","numeric","AAF-8",1,"2","Abrigos",""
"abrigoInstitucionalParaAdultosEFamiliasAdultosEFamilias-quantidadeDeUnidadesNoMunicipio","Abrigos Institucionais para Adultos e Famílias","Unidades No Município","numeric","AAF-9",1,"2","Abrigos",""
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","binary","AIR-1",1,"1","Abrigos",""
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Unidades De Natureza Governamental","numeric","AIR-7",1,"2","Abrigos",""
"abrigoInstitucionalParaHomensEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesNoMunicipio","Abrigo Institucional para Homens em Situção de Rua - Adultos e Familias","Unidades No Município","numeric","AIR-8",1,"2","Abrigos",""
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","numeric","AIM-1",1,"2","Abrigos",""
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesDeNaturezaGovernamental","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Unidades De Natureza Governamental","numeric","AIM-8",1,"2","Abrigos",""
"abrigoInstitucionalParaMulheresEmSitucaoDeRuaAdultosEFamilias-quantidadeDeUnidadesNoMunicipio","Abrigo Institucional para Mulheres em Situção de Rua - adultos e Famílias","Unidades No Município","numeric","AIM-9",1,"2","Abrigos",""
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-instrumentaisMetodologicosAUnidadeUtilizaPlanoIndividualDeAtendimentoPIA","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Instrumentais Metodológicos - A Unidade Utiliza Plano Individual de Atendimento - PIA","binary","AIA-1",1,"1","Abrigos",""
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeUnidadesDeNaturezaGovernamental","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Unidades De Natureza Governamental","numeric","AIA-8",1,"2","Abrigos",""
"abrigoInstitucionalUnidadesDeAcolhimentoCriancasAdolescentes0A17Anos-quantidadeDeUnidadesNoMunicipio","Abrigo Institucional/Unidades de Acolhimento - Criancas/Adolescentes (0 a 17 Anos)","Unidades No Município","numeric","AIA-9",1,"2","Abrigos",""
