id,atributo,nome,valor,protocolo,grupo_indicador,categoria,grupo_responsavel,municipio,semestre,ano,tipo
"2021.9-108.1154_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1154","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","Bacurituba",,2021,"BOOLEAN"
"2021.9-108.1153_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1153","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","Bacurituba",,2021,"BOOLEAN"
"2021.9-108.1152_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","1","2021.9-108.1152","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","São Luís",,2021,"BOOLEAN"
"2021.9-108.1151_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1151","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","Olinda Nova do Maranhão",,2021,"BOOLEAN"
"2021.9-108.1134_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1134","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","Cachoeira Grande",,0,"BOOLEAN"
"2021.9-108.1127_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1127","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","Timbiras",,2021,"BOOLEAN"
"2021.9-108.1126_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1126","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","Timbiras",,2021,"BOOLEAN"
"2021.9-108.1125_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1125","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","Timbiras",,2021,"BOOLEAN"
"2021.9-108.1124_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1124","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","São José de Ribamar",,2021,"BOOLEAN"
"2021.9-108.1111_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1111","Sedes - Dados de Gestão","SEDES","Secretaria de Estado de Desenvolvimento Social - SEDES","Cajari",,2021,"BOOLEAN"
"2021.9-108.1106_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.9-108.1106","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","Coroatá",,2021,"BOOLEAN"
"2021.10-108.1175_diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","diagnosticoSocioterritorial-possui","0","2021.10-108.1175","Dados de Gestão","Gestão","Secretaria de Estado de Desenvolvimento Social - SEDES","Cachoeira Grande",1,2021,"BOOLEAN"
