Type,Component,Year,2018-01-01 00:00:00.000,2018-02-01 00:00:00.000,2018-03-01 00:00:00.000,2018-04-01 00:00:00.000,2018-05-01 00:00:00.000,2018-06-01 00:00:00.000,2018-07-01 00:00:00.000,2018-08-01 00:00:00.000,2018-09-01 00:00:00.000,2018-10-01 00:00:00.000,2018-11-01 00:00:00.000,2018-12-01 00:00:00.000,2019-01-01 00:00:00.000,2019-02-01 00:00:00.000,2019-03-01 00:00:00.000,2019-04-01 00:00:00.000,2019-05-01 00:00:00.000,2019-06-01 00:00:00.000,2019-07-01 00:00:00.000,2019-08-01 00:00:00.000,2019-09-01 00:00:00.000,2019-10-01 00:00:00.000,2019-11-01 00:00:00.000,2019-12-01 00:00:00.000,2020-01-01 00:00:00.000,2020-02-01 00:00:00.000,2020-03-01 00:00:00.000,2020-04-01 00:00:00.000,2020-05-01 00:00:00.000,2020-06-01 00:00:00.000,2020-07-01 00:00:00.000,2020-08-01 00:00:00.000,2020-09-01 00:00:00.000,2020-10-01 00:00:00.000,2020-11-01 00:00:00.000,2020-12-01 00:00:00.000,2021-01-01 00:00:00.000
Expense,EMIs,2018,2500,2500,2500,2500,2500,2500,2500,2500,5000,5000,5000,5000,,,,,,,,,,,,,,,,,,,,,,,,,
Expense,EMIs,2019,,,,,,,,,,,,,5000,6000,6000,6000,6000,6000,7000,7000,7000,7000,7000,7000,,,,,,,,,,,,,
Expense,EMIs,2020,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,10000,10000,10000,10000,10000,10000,10000,10000,12000,12000,
Expense,EMIs,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12000
Expense,Groceries & Food,2018,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,6000,8000,,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Groceries & Food,2019,,,,,,,,,,,,,8000,7000,7000,7000,7000,7000,7000,7000,8000,8000,8000,10000,,,,,,,,,,,,,
Expense,Groceries & Food,2020,,,,,,,,,,,,,,,,,,,,,,,,,10000,10000,10000,8000,8000,8000,10000,10000,10000,8000,10000,10000,
Expense,Groceries & Food,2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9000
Expense,Health,2018,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,1000,,,,,,,,,,,,,,,,,,,,,,,,,
Expense,Health,2019,,,,,,,,,,,,,3000,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,3000,,,,,,,,,,,,,
