CourseID,CampusID,RevisionDate,AcademicTerm,CourseOffering.CourseID,CourseOffering.CourseName,CourseOffering.CourseType,CourseOffering.Grades.CourseID,CourseOffering.Grades.StudentID,CourseOffering.Grades.CGPA,CourseOffering.Grades.Result,CourseOffering.Grades.Grade
6004,208,2021-11-15 00:00:00.000,"Spring",6004,"Design Patterns","Online",6004,146,1.46,"Fail","F"
6004,208,2021-11-15 00:00:00.000,"Spring",6004,"Design Patterns","Online",6004,159,1.88,"Fail","F"
6004,208,2021-11-15 00:00:00.000,"Spring",6004,"Design Patterns","Online",6004,216,1.49,"Fail","F"
6004,208,2021-11-15 00:00:00.000,"Spring",6004,"Design Patterns","Online",6004,230,1.81,"Fail","F"
6004,208,2021-11-15 00:00:00.000,"Spring",6004,"Design Patterns","Online",6004,242,2.44,"Fail","F"
6004,208,2021-11-15 00:00:00.000,"Spring",6004,"Design Patterns","Online",6004,274,1.14,"Fail","F"
6004,208,2021-11-15 00:00:00.000,"Spring",6004,"Design Patterns","Online",6004,372,1.34,"Fail","F"
6004,208,2021-11-15 00:00:00.000,"Spring",6004,"Design Patterns","Online",6004,387,2.24,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,119,3.2,"Pass","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,134,2.13,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,148,1.13,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,176,2.36,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,205,2.47,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,219,1.71,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,276,1.11,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,303,1.53,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,358,1.84,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,375,1.19,"Fail","F"
6006,200,2021-11-15 00:00:00.000,"Spring",6006,"Data Science Methods and Tools","InPerson",6006,391,1.42,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,107,1.29,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,120,1.62,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,151,2.48,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,177,3.9,"Pass","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,194,3.2,"Pass","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,207,2.49,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,220,2.43,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,234,1.12,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,262,1.31,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,290,1.59,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,305,1.41,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,361,1.94,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,376,2.3,"Fail","F"
6007,201,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,392,1.83,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,107,1.29,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,120,1.62,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,151,2.48,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,177,3.9,"Pass","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,194,3.2,"Pass","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,207,2.49,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,220,2.43,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,234,1.12,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,262,1.31,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,290,1.59,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,305,1.41,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,361,1.94,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,376,2.3,"Fail","F"
6007,206,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,392,1.83,"Fail","F"
6007,207,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,107,1.29,"Fail","F"
6007,207,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,120,1.62,"Fail","F"
6007,207,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,151,2.48,"Fail","F"
6007,207,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,177,3.9,"Pass","F"
6007,207,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,194,3.2,"Pass","F"
6007,207,2021-11-15 00:00:00.000,"Spring",6007,"Application Engineering Development","Online",6007,207,2.49,"Fail","F"
