State,Year,Fatalities
Texas,2018,3642
South Carolina,2018,1037
Virginia,2018,820
Idaho,2018,231
Mississippi,2018,664
New Mexico,2018,391
Kentucky,2018,724
New York,2018,943
Arkansas,2018,516
New Jersey,2018,564
Illinois,2018,1031
District of Columbia,2018,31
Wisconsin,2018,588
Connecticut,2018,294
Washington,2018,546
California,2018,3563
Oklahoma,2018,655
North Carolina,2018,1437
Maine,2018,137
West Virginia,2018,294
Iowa,2018,318
Florida,2018,3133
Kansas,2018,404
Montana,2018,182
Utah,2018,260
Missouri,2018,921
Hawaii,2018,117
Alabama,2018,953
Vermont,2018,68
Nebraska,2018,230
North Dakota,2018,105
Colorado,2018,632
New Hampshire,2018,147
Oregon,2018,506
Alaska,2018,80
Massachusetts,2018,360
Arizona,2018,1010
Rhode Island,2018,59
Ohio,2018,1068
Minnesota,2018,381
South Dakota,2018,130
Georgia,2018,1504
Michigan,2018,974
Louisiana,2018,768
Wyoming,2018,111
Maryland,2018,501
Delaware,2018,111
Tennessee,2018,1041
Indiana,2018,858
Nevada,2018,330
Pennsylvania,2018,1190
