UID,PeriodID,StartDate,EndDate,CycleID,Cycle,Year,RefCycleID,CycleText,DateTime,Date
33812,1004,2019-03-25 12:00:01.000,2019-04-01 12:00:00.000,73,4,2019,252,2019-C04,2019-03-28 19:00:00.000,2019-03-28 00:00:00.000
31314,989,2018-12-10 00:00:00.000,2018-12-16 23:59:59.000,69,13,2018,248,2018-C13,2018-12-14 17:00:00.000,2018-12-14 00:00:00.000
34384,1007,2019-04-15 12:00:01.000,2019-04-22 12:00:00.000,74,5,2019,253,2019-C05,2019-04-21 15:00:00.000,2019-04-21 00:00:00.000
33885,1004,2019-03-25 12:00:01.000,2019-04-01 12:00:00.000,73,4,2019,252,2019-C04,2019-03-31 20:00:00.000,2019-03-31 00:00:00.000
37753,1027,2019-09-02 12:00:01.000,2019-09-09 12:00:00.000,79,10,2019,258,2019-C10,2019-09-09 00:00:00.000,2019-09-09 00:00:00.000
32712,997,2019-02-04 00:00:00.000,2019-02-10 23:59:59.000,71,2,2019,250,2019-C02,2019-02-10 23:00:00.000,2019-02-10 00:00:00.000
30316,983,2018-10-29 00:00:00.000,2018-11-04 23:59:59.000,68,12,2018,247,2018-C12,2018-11-03 03:00:00.000,2018-11-03 00:00:00.000
35552,1014,2019-06-03 12:00:01.000,2019-06-10 12:00:00.000,75,6,2019,254,2019-C06,2019-06-09 07:00:00.000,2019-06-09 00:00:00.000
31040,988,2018-12-03 00:00:00.000,2018-12-09 23:59:59.000,69,13,2018,248,2018-C13,2018-12-03 07:00:00.000,2018-12-03 00:00:00.000
34582,1009,2019-04-29 12:00:01.000,2019-05-06 12:00:00.000,74,5,2019,253,2019-C05,2019-04-29 21:00:00.000,2019-04-29 00:00:00.000
37519,1026,2019-08-26 12:00:01.000,2019-09-02 12:00:00.000,78,9,2019,257,2019-C09,2019-08-30 06:00:00.000,2019-08-30 00:00:00.000
36423,1020,2019-07-15 12:00:01.000,2019-07-22 12:00:00.000,77,8,2019,256,2019-C08,2019-07-15 14:00:00.000,2019-07-15 00:00:00.000
31358,989,2018-12-10 00:00:00.000,2018-12-16 23:59:59.000,69,13,2018,248,2018-C13,2018-12-16 13:00:00.000,2018-12-16 00:00:00.000
32691,997,2019-02-04 00:00:00.000,2019-02-10 23:59:59.000,71,2,2019,250,2019-C02,2019-02-10 02:00:00.000,2019-02-10 00:00:00.000
32139,994,2019-01-14 00:00:00.000,2019-01-20 23:59:59.000,70,1,2019,249,2019-C01,2019-01-18 02:00:00.000,2019-01-18 00:00:00.000
37361,1025,2019-08-19 12:00:01.000,2019-08-26 12:00:00.000,78,9,2019,257,2019-C09,2019-08-23 16:00:00.000,2019-08-23 00:00:00.000
33276,1001,2019-03-04 00:00:00.000,2019-03-10 23:59:59.000,72,3,2019,251,2019-C03,2019-03-06 11:00:00.000,2019-03-06 00:00:00.000
35519,1014,2019-06-03 12:00:01.000,2019-06-10 12:00:00.000,75,6,2019,254,2019-C06,2019-06-07 22:00:00.000,2019-06-07 00:00:00.000
32844,998,2019-02-11 00:00:00.000,2019-02-17 23:59:59.000,71,2,2019,250,2019-C02,2019-02-16 11:00:00.000,2019-02-16 00:00:00.000
36046,1017,2019-06-24 12:00:01.000,2019-07-01 12:00:00.000,76,7,2019,255,2019-C07,2019-06-29 21:00:00.000,2019-06-29 00:00:00.000
34187,1006,2019-04-08 12:00:01.000,2019-04-15 12:00:00.000,73,4,2019,252,2019-C04,2019-04-13 10:00:00.000,2019-04-13 00:00:00.000
36545,1020,2019-07-15 12:00:01.000,2019-07-22 12:00:00.000,77,8,2019,256,2019-C08,2019-07-20 16:00:00.000,2019-07-20 00:00:00.000
34418,1008,2019-04-22 12:00:01.000,2019-04-29 12:00:00.000,74,5,2019,253,2019-C05,2019-04-23 01:00:00.000,2019-04-23 00:00:00.000
35097,1012,2019-05-20 12:00:01.000,2019-05-27 12:00:00.000,75,6,2019,254,2019-C06,2019-05-21 08:00:00.000,2019-05-21 00:00:00.000
35770,1016,2019-06-17 12:00:01.000,2019-06-24 12:00:00.000,76,7,2019,255,2019-C07,2019-06-18 09:00:00.000,2019-06-18 00:00:00.000
34740,1009,2019-04-29 12:00:01.000,2019-05-06 12:00:00.000,74,5,2019,253,2019-C05,2019-05-06 11:00:00.000,2019-05-06 00:00:00.000
32096,994,2019-01-14 00:00:00.000,2019-01-20 23:59:59.000,70,1,2019,249,2019-C01,2019-01-16 07:00:00.000,2019-01-16 00:00:00.000
33486,1002,2019-03-11 00:00:00.000,2019-03-18 12:00:00.000,72,3,2019,251,2019-C03,2019-03-15 05:00:00.000,2019-03-15 00:00:00.000
35591,1015,2019-06-10 12:00:01.000,2019-06-17 12:00:00.000,76,7,2019,255,2019-C07,2019-06-10 22:00:00.000,2019-06-10 00:00:00.000
36130,1018,2019-07-01 12:00:01.000,2019-07-08 12:00:00.000,76,7,2019,255,2019-C07,2019-07-03 09:00:00.000,2019-07-03 00:00:00.000
35515,1014,2019-06-03 12:00:01.000,2019-06-10 12:00:00.000,75,6,2019,254,2019-C06,2019-06-07 18:00:00.000,2019-06-07 00:00:00.000
34915,1011,2019-05-13 12:00:01.000,2019-05-20 12:00:00.000,75,6,2019,254,2019-C06,2019-05-13 18:00:00.000,2019-05-13 00:00:00.000
36896,1022,2019-07-29 12:00:01.000,2019-08-05 12:00:00.000,77,8,2019,256,2019-C08,2019-08-04 07:00:00.000,2019-08-04 00:00:00.000
30440,984,2018-11-05 00:00:00.000,2018-11-11 23:59:59.000,68,12,2018,247,2018-C12,2018-11-08 07:00:00.000,2018-11-08 00:00:00.000
32523,996,2019-01-28 00:00:00.000,2019-02-03 23:59:59.000,71,2,2019,250,2019-C02,2019-02-03 02:00:00.000,2019-02-03 00:00:00.000
35597,1015,2019-06-10 12:00:01.000,2019-06-17 12:00:00.000,76,7,2019,255,2019-C07,2019-06-11 04:00:00.000,2019-06-11 00:00:00.000
32593,997,2019-02-04 00:00:00.000,2019-02-10 23:59:59.000,71,2,2019,250,2019-C02,2019-02-06 00:00:00.000,2019-02-06 00:00:00.000
32854,998,2019-02-11 00:00:00.000,2019-02-17 23:59:59.000,71,2,2019,250,2019-C02,2019-02-16 21:00:00.000,2019-02-16 00:00:00.000
35691,1015,2019-06-10 12:00:01.000,2019-06-17 12:00:00.000,76,7,2019,255,2019-C07,2019-06-15 02:00:00.000,2019-06-15 00:00:00.000
32501,996,2019-01-28 00:00:00.000,2019-02-03 23:59:59.000,71,2,2019,250,2019-C02,2019-02-02 04:00:00.000,2019-02-02 00:00:00.000
32353,995,2019-01-21 00:00:00.000,2019-01-27 23:59:59.000,71,2,2019,250,2019-C02,2019-01-27 00:00:00.000,2019-01-27 00:00:00.000
31263,989,2018-12-10 00:00:00.000,2018-12-16 23:59:59.000,69,13,2018,248,2018-C13,2018-12-12 14:00:00.000,2018-12-12 00:00:00.000
37347,1025,2019-08-19 12:00:01.000,2019-08-26 12:00:00.000,78,9,2019,257,2019-C09,2019-08-23 02:00:00.000,2019-08-23 00:00:00.000
30590,985,2018-11-12 00:00:00.000,2018-11-18 23:59:59.000,68,12,2018,247,2018-C12,2018-11-14 13:00:00.000,2018-11-14 00:00:00.000
35738,1015,2019-06-10 12:00:01.000,2019-06-17 12:00:00.000,76,7,2019,255,2019-C07,2019-06-17 01:00:00.000,2019-06-17 00:00:00.000
32418,996,2019-01-28 00:00:00.000,2019-02-03 23:59:59.000,71,2,2019,250,2019-C02,2019-01-29 17:00:00.000,2019-01-29 00:00:00.000
30217,983,2018-10-29 00:00:00.000,2018-11-04 23:59:59.000,68,12,2018,247,2018-C12,2018-10-30 00:00:00.000,2018-10-30 00:00:00.000
33875,1004,2019-03-25 12:00:01.000,2019-04-01 12:00:00.000,73,4,2019,252,2019-C04,2019-03-31 10:00:00.000,2019-03-31 00:00:00.000
33573,1003,2019-03-18 12:00:01.000,2019-03-25 12:00:00.000,73,4,2019,252,2019-C04,2019-03-18 20:00:00.000,2019-03-18 00:00:00.000
35622,1015,2019-06-10 12:00:01.000,2019-06-17 12:00:00.000,76,7,2019,255,2019-C07,2019-06-12 05:00:00.000,2019-06-12 00:00:00.000
31378,990,2018-12-17 00:00:00.000,2018-12-23 23:59:59.000,69,13,2018,248,2018-C13,2018-12-17 09:00:00.000,2018-12-17 00:00:00.000
33286,1001,2019-03-04 00:00:00.000,2019-03-10 23:59:59.000,72,3,2019,251,2019-C03,2019-03-06 21:00:00.000,2019-03-06 00:00:00.000
31558,991,2018-12-24 00:00:00.000,2018-12-30 23:59:59.000,70,1,2019,249,2019-C01,2018-12-24 21:00:00.000,2018-12-24 00:00:00.000
34396,1007,2019-04-15 12:00:01.000,2019-04-22 12:00:00.000,74,5,2019,253,2019-C05,2019-04-22 03:00:00.000,2019-04-22 00:00:00.000
35396,1013,2019-05-27 12:00:01.000,2019-06-03 12:00:00.000,75,6,2019,254,2019-C06,2019-06-02 19:00:00.000,2019-06-02 00:00:00.000
32272,995,2019-01-21 00:00:00.000,2019-01-27 23:59:59.000,71,2,2019,250,2019-C02,2019-01-23 15:00:00.000,2019-01-23 00:00:00.000
33726,1003,2019-03-18 12:00:01.000,2019-03-25 12:00:00.000,73,4,2019,252,2019-C04,2019-03-25 05:00:00.000,2019-03-25 00:00:00.000
35941,1017,2019-06-24 12:00:01.000,2019-07-01 12:00:00.000,76,7,2019,255,2019-C07,2019-06-25 12:00:00.000,2019-06-25 00:00:00.000
37293,1025,2019-08-19 12:00:01.000,2019-08-26 12:00:00.000,78,9,2019,257,2019-C09,2019-08-20 20:00:00.000,2019-08-20 00:00:00.000
32728,998,2019-02-11 00:00:00.000,2019-02-17 23:59:59.000,71,2,2019,250,2019-C02,2019-02-11 15:00:00.000,2019-02-11 00:00:00.000
35126,1012,2019-05-20 12:00:01.000,2019-05-27 12:00:00.000,75,6,2019,254,2019-C06,2019-05-22 13:00:00.000,2019-05-22 00:00:00.000
34663,1009,2019-04-29 12:00:01.000,2019-05-06 12:00:00.000,74,5,2019,253,2019-C05,2019-05-03 06:00:00.000,2019-05-03 00:00:00.000
30398,984,2018-11-05 00:00:00.000,2018-11-11 23:59:59.000,68,12,2018,247,2018-C12,2018-11-06 13:00:00.000,2018-11-06 00:00:00.000
36397,1019,2019-07-08 12:00:01.000,2019-07-15 12:00:00.000,77,8,2019,256,2019-C08,2019-07-14 12:00:00.000,2019-07-14 00:00:00.000
31846,992,2018-12-31 00:00:00.000,2019-01-06 23:59:59.000,70,1,2019,249,2019-C01,2019-01-05 21:00:00.000,2019-01-05 00:00:00.000
37189,1024,2019-08-12 12:00:01.000,2019-08-19 12:00:00.000,78,9,2019,257,2019-C09,2019-08-16 12:00:00.000,2019-08-16 00:00:00.000
36587,1020,2019-07-15 12:00:01.000,2019-07-22 12:00:00.000,77,8,2019,256,2019-C08,2019-07-22 10:00:00.000,2019-07-22 00:00:00.000
33517,1002,2019-03-11 00:00:00.000,2019-03-18 12:00:00.000,72,3,2019,251,2019-C03,2019-03-16 12:00:00.000,2019-03-16 00:00:00.000
36677,1021,2019-07-22 12:00:01.000,2019-07-29 12:00:00.000,77,8,2019,256,2019-C08,2019-07-26 04:00:00.000,2019-07-26 00:00:00.000
31600,991,2018-12-24 00:00:00.000,2018-12-30 23:59:59.000,70,1,2019,249,2019-C01,2018-12-26 15:00:00.000,2018-12-26 00:00:00.000
33554,1002,2019-03-11 00:00:00.000,2019-03-18 12:00:00.000,72,3,2019,251,2019-C03,2019-03-18 01:00:00.000,2019-03-18 00:00:00.000
35469,1014,2019-06-03 12:00:01.000,2019-06-10 12:00:00.000,75,6,2019,254,2019-C06,2019-06-05 20:00:00.000,2019-06-05 00:00:00.000
35567,1014,2019-06-03 12:00:01.000,2019-06-10 12:00:00.000,75,6,2019,254,2019-C06,2019-06-09 22:00:00.000,2019-06-09 00:00:00.000
35565,1014,2019-06-03 12:00:01.000,2019-06-10 12:00:00.000,75,6,2019,254,2019-C06,2019-06-09 20:00:00.000,2019-06-09 00:00:00.000
30584,985,2018-11-12 00:00:00.000,2018-11-18 23:59:59.000,68,12,2018,247,2018-C12,2018-11-14 07:00:00.000,2018-11-14 00:00:00.000
33342,1001,2019-03-04 00:00:00.000,2019-03-10 23:59:59.000,72,3,2019,251,2019-C03,2019-03-09 05:00:00.000,2019-03-09 00:00:00.000
36178,1018,2019-07-01 12:00:01.000,2019-07-08 12:00:00.000,76,7,2019,255,2019-C07,2019-07-05 09:00:00.000,2019-07-05 00:00:00.000
37163,1024,2019-08-12 12:00:01.000,2019-08-19 12:00:00.000,78,9,2019,257,2019-C09,2019-08-15 10:00:00.000,2019-08-15 00:00:00.000
37202,1024,2019-08-12 12:00:01.000,2019-08-19 12:00:00.000,78,9,2019,257,2019-C09,2019-08-17 01:00:00.000,2019-08-17 00:00:00.000
33032,999,2019-02-18 00:00:00.000,2019-02-24 23:59:59.000,72,3,2019,251,2019-C03,2019-02-24 07:00:00.000,2019-02-24 00:00:00.000
