Stock,Date,Close
MICROSOFT,2006-12-29 00:00:00.000,29.86
MICROSOFT,2003-03-03 00:00:00.000,23.54
APPLE,2005-03-01 00:00:00.000,44.5
APPLE,2010-09-15 00:00:00.000,270.22
APPLE,2010-03-15 00:00:00.000,223.84
APPLE,2006-10-20 00:00:00.000,79.95
APPLE,2002-04-15 00:00:00.000,12.5
MICROSOFT,2005-12-05 00:00:00.000,27.85
APPLE,2002-08-06 00:00:00.000,7.37
APPLE,2003-12-22 00:00:00.000,9.93
MICROSOFT,2010-05-18 00:00:00.000,28.6
MICROSOFT,2002-02-20 00:00:00.000,29.95
MICROSOFT,2007-05-07 00:00:00.000,30.71
MICROSOFT,2001-04-09 00:00:00.000,28.58
APPLE,2008-01-17 00:00:00.000,160.89
MICROSOFT,2005-06-30 00:00:00.000,24.84
APPLE,2004-06-28 00:00:00.000,16.25
MICROSOFT,2010-12-17 00:00:00.000,27.9
APPLE,2004-06-25 00:00:00.000,16.85
MICROSOFT,2002-11-21 00:00:00.000,28.92
APPLE,2005-01-24 00:00:00.000,35.38
APPLE,2005-09-27 00:00:00.000,53.44
APPLE,2006-05-17 00:00:00.000,65.26
MICROSOFT,2002-09-03 00:00:00.000,23.51
MICROSOFT,2001-04-30 00:00:00.000,33.88
APPLE,2005-09-07 00:00:00.000,48.68
APPLE,2002-07-01 00:00:00.000,8.53
MICROSOFT,2001-10-24 00:00:00.000,30.66
APPLE,2001-01-19 00:00:00.000,9.75
MICROSOFT,2009-02-09 00:00:00.000,19.44
MICROSOFT,2004-04-26 00:00:00.000,27.24
MICROSOFT,2006-04-12 00:00:00.000,27.2
MICROSOFT,2008-08-05 00:00:00.000,26.21
APPLE,2009-02-23 00:00:00.000,86.95
APPLE,2009-12-29 00:00:00.000,209.1
MICROSOFT,2001-09-05 00:00:00.000,28.87
APPLE,2003-04-24 00:00:00.000,6.72
MICROSOFT,2006-07-20 00:00:00.000,22.85
MICROSOFT,2007-05-21 00:00:00.000,31.05
MICROSOFT,2005-06-06 00:00:00.000,25.37
MICROSOFT,2004-06-04 00:00:00.000,25.95
MICROSOFT,2008-11-24 00:00:00.000,20.69
APPLE,2005-04-27 00:00:00.000,35.95
MICROSOFT,2004-03-30 00:00:00.000,25.2
MICROSOFT,2005-05-18 00:00:00.000,25.7
MICROSOFT,2001-06-07 00:00:00.000,36.84
MICROSOFT,2007-02-16 00:00:00.000,28.74
MICROSOFT,2009-08-19 00:00:00.000,23.65
MICROSOFT,2003-11-19 00:00:00.000,25.35
APPLE,2006-04-06 00:00:00.000,71.24
APPLE,2002-04-16 00:00:00.000,12.87
APPLE,2005-06-08 00:00:00.000,36.92
MICROSOFT,2002-12-31 00:00:00.000,25.85
APPLE,2008-01-07 00:00:00.000,177.64
APPLE,2009-09-04 00:00:00.000,170.31
MICROSOFT,2008-02-01 00:00:00.000,30.45
APPLE,2003-07-24 00:00:00.000,10.26
MICROSOFT,2006-09-06 00:00:00.000,25.61
APPLE,2008-12-08 00:00:00.000,99.72
MICROSOFT,2003-09-26 00:00:00.000,28.19
MICROSOFT,2001-09-26 00:00:00.000,25.14
MICROSOFT,2003-12-19 00:00:00.000,27.36
APPLE,2008-01-18 00:00:00.000,161.36
MICROSOFT,2006-10-13 00:00:00.000,28.37
APPLE,2002-04-03 00:00:00.000,11.88
APPLE,2005-11-16 00:00:00.000,64.95
APPLE,2001-09-21 00:00:00.000,7.86
APPLE,2009-07-20 00:00:00.000,152.91
APPLE,2009-09-24 00:00:00.000,183.82
MICROSOFT,2004-01-26 00:00:00.000,28.8
APPLE,2002-12-17 00:00:00.000,7.54
APPLE,2001-04-17 00:00:00.000,10.2
APPLE,2002-08-29 00:00:00.000,7.35
APPLE,2006-07-25 00:00:00.000,61.93
MICROSOFT,2001-02-15 00:00:00.000,29.41
MICROSOFT,2010-10-15 00:00:00.000,25.54
MICROSOFT,2002-11-18 00:00:00.000,27.92
MICROSOFT,2006-12-07 00:00:00.000,28.85
APPLE,2002-05-07 00:00:00.000,11.23
APPLE,2010-06-28 00:00:00.000,268.3
APPLE,2010-07-22 00:00:00.000,259.02
APPLE,2005-06-13 00:00:00.000,35.9
APPLE,2004-11-01 00:00:00.000,26.23
APPLE,2004-05-19 00:00:00.000,13.23
APPLE,2006-04-25 00:00:00.000,66.17
APPLE,2005-08-08 00:00:00.000,42.65
APPLE,2007-05-23 00:00:00.000,112.89
APPLE,2006-11-06 00:00:00.000,79.71
MICROSOFT,2006-09-07 00:00:00.000,25.43
MICROSOFT,2007-06-22 00:00:00.000,29.49
MICROSOFT,2001-02-07 00:00:00.000,32.34
APPLE,2001-07-12 00:00:00.000,12.18
MICROSOFT,2003-04-03 00:00:00.000,25.73
APPLE,2006-07-06 00:00:00.000,55.77
APPLE,2010-09-22 00:00:00.000,287.75
MICROSOFT,2010-11-04 00:00:00.000,27.14
APPLE,2004-09-22 00:00:00.000,18.46
MICROSOFT,2010-11-24 00:00:00.000,25.37
APPLE,2007-03-22 00:00:00.000,93.96
APPLE,2001-12-17 00:00:00.000,10.31
