EmployeeKey,SalesTerritoryKey,Sales Amount,TimePeriod
285,5,544530.02640000067,"2013Q3"
288,6,428607.34659999993,"2013Q3"
282,4,302271.18380000023,"2013Q3"
286,1,191328.49390000012,"2013Q3"
289,1,203348.23890000011,"2013Q3"
283,3,239893.63519999979,"2013Q3"
281,3,52539.791699999987,"2013Q3"
281,2,217470.94569999992,"2013Q3"
281,5,34744.8652,"2013Q3"
284,6,207335.50389999992,"2013Q3"
287,4,278285.4919,"2013Q3"
283,4,215191.69079999987,"2013Q3"
272,1,20544.7015,"2013Q3"
282,1,113907.94109999998,"2013Q3"
287,3,9398.8972,"2013Q3"
287,1,89317.008900000015,"2013Q3"
282,3,42878.211999999992,"2013Q3"
272,6,2039.994,"2013Q3"
281,2,351074.56969999988,"2013Q4"
282,4,418002.20719999983,"2013Q4"
288,6,610342.19330000028,"2013Q4"
289,1,303222.14510000008,"2013Q4"
286,1,416089.2534,"2013Q4"
283,3,460772.07490000007,"2013Q4"
281,3,64588.690099999985,"2013Q4"
287,4,344055.82390000008,"2013Q4"
281,5,31322.243000000002,"2013Q4"
284,6,265034.41849999991,"2013Q4"
285,5,836177.41579999949,"2013Q4"
283,4,331577.03649999975,"2013Q4"
282,1,210492.59999999995,"2013Q4"
272,4,4194.589,"2013Q4"
287,1,141539.7616,"2013Q4"
287,3,24901.8424,"2013Q4"
272,5,2146.962,"2013Q4"
282,3,56267.5102,"2013Q4"
288,6,531006.6074000001,"2014Q1"
282,4,363227.82620000013,"2014Q1"
286,1,281933.92559999996,"2014Q1"
289,1,283315.56990000012,"2014Q1"
283,3,326697.88639999996,"2014Q1"
287,4,261287.87069999997,"2014Q1"
281,3,69809.255799999984,"2014Q1"
281,2,287218.79049999971,"2014Q1"
281,5,50886.75,"2014Q1"
284,6,226441.12499999994,"2014Q1"
285,5,619998.26380000066,"2014Q1"
283,4,324322.71889999992,"2014Q1"
282,1,174697.59219999996,"2014Q1"
287,1,119467.3861,"2014Q1"
287,3,15825.966699999997,"2014Q1"
272,4,61206.4782,"2014Q1"
282,3,53534.27889999999,"2014Q1"
272,6,18307.746,"2014Q1"
285,5,644731.24689999956,"2014Q2"
288,6,518535.01990000025,"2014Q2"
289,1,227516.90269999998,"2014Q2"
286,1,337110.15579999983,"2014Q2"
282,4,348302.64040000015,"2014Q2"
283,3,445659.8743,"2014Q2"
281,3,60519.274099999973,"2014Q2"
287,4,243890.96109999993,"2014Q2"
281,2,323193.92019999947,"2014Q2"
281,5,59103.293300000005,"2014Q2"
284,6,231448.41889999993,"2014Q2"
283,4,393422.95899999986,"2014Q2"
272,5,33406.7043,"2014Q2"
282,1,106532.93909999995,"2014Q2"
287,3,30885.0908,"2014Q2"
287,1,34886.8153,"2014Q2"
