Category,Quarter of Order Date,Sales,Year,Qtr,QtrofYear,QtrofOrderDate
"Technology","2015 Q1",37262.974,2015,"Q1",20151,"2015 Q1"
"Technology","2015 Q2",27231.275,2015,"Q2",20152,"2015 Q2"
"Technology","2015 Q3",47751.366,2015,"Q3",20153,"2015 Q3"
"Technology","2015 Q4",63032.618,2015,"Q4",20154,"2015 Q4"
"Technology","2016 Q1",18418.246,2016,"Q1",20161,"2016 Q1"
"Technology","2016 Q2",29239.318,2016,"Q2",20162,"2016 Q2"
"Technology","2016 Q3",44912.726,2016,"Q3",20163,"2016 Q3"
"Technology","2016 Q4",70210.519,2016,"Q4",20164,"2016 Q4"
"Technology","2017 Q1",39446.832,2017,"Q1",20171,"2017 Q1"
"Technology","2017 Q2",60095.345,2017,"Q2",20172,"2017 Q2"
"Technology","2017 Q3",45824.808,2017,"Q3",20173,"2017 Q3"
"Technology","2017 Q4",80997.195,2017,"Q4",20174,"2017 Q4"
"Technology","2018 Q1",56188.699,2018,"Q1",20181,"2018 Q1"
"Technology","2018 Q2",43011.075,2018,"Q2",20182,"2018 Q2"
"Technology","2018 Q3",67771.691,2018,"Q3",20183,"2018 Q3"
"Technology","2018 Q4",104759.346,2018,"Q4",20184,"2018 Q4"
"Office Supplies","2015 Q1",14528.683,2015,"Q1",20151,"2015 Q1"
"Office Supplies","2015 Q2",31243.735,2015,"Q2",20152,"2015 Q2"
"Office Supplies","2015 Q3",53923.968,2015,"Q3",20153,"2015 Q3"
"Office Supplies","2015 Q4",52080.026,2015,"Q4",20154,"2015 Q4"
"Office Supplies","2016 Q1",23059.394,2016,"Q1",20161,"2016 Q1"
"Office Supplies","2016 Q2",32320.041,2016,"Q2",20162,"2016 Q2"
"Office Supplies","2016 Q3",35760.814,2016,"Q3",20163,"2016 Q3"
"Office Supplies","2016 Q4",46093.214,2016,"Q4",20164,"2016 Q4"
"Office Supplies","2017 Q1",29440.963,2017,"Q1",20171,"2017 Q1"
"Office Supplies","2017 Q2",34584.459,2017,"Q2",20172,"2017 Q2"
"Office Supplies","2017 Q3",45147.922,2017,"Q3",20173,"2017 Q3"
"Office Supplies","2017 Q4",74766.638,2017,"Q4",20174,"2017 Q4"
"Office Supplies","2018 Q1",43232.347,2018,"Q1",20181,"2018 Q1"
"Office Supplies","2018 Q2",45721.194,2018,"Q2",20182,"2018 Q2"
"Office Supplies","2018 Q3",72197.163,2018,"Q3",20183,"2018 Q3"
"Office Supplies","2018 Q4",84946.471,2018,"Q4",20184,"2018 Q4"
"Furniture","2015 Q1",22656.139,2015,"Q1",20151,"2015 Q1"
"Furniture","2015 Q2",28063.7496,2015,"Q2",20152,"2015 Q2"
"Furniture","2015 Q3",41957.8783,2015,"Q3",20153,"2015 Q3"
"Furniture","2015 Q4",64515.0862,2015,"Q4",20154,"2015 Q4"
"Furniture","2016 Q1",27374.0986,2016,"Q1",20161,"2016 Q1"
"Furniture","2016 Q2",27564.828,2016,"Q2",20162,"2016 Q2"
"Furniture","2016 Q3",49586.0352,2016,"Q3",20163,"2016 Q3"
"Furniture","2016 Q4",65993.2752,2016,"Q4",20164,"2016 Q4"
"Furniture","2017 Q1",24349.386,2017,"Q1",20171,"2017 Q1"
"Furniture","2017 Q2",41402.497,2017,"Q2",20172,"2017 Q2"
"Furniture","2017 Q3",52814.6322,2017,"Q3",20173,"2017 Q3"
"Furniture","2017 Q4",80334.9208,2017,"Q4",20174,"2017 Q4"
"Furniture","2018 Q1",23723.8142,2018,"Q1",20181,"2018 Q1"
"Furniture","2018 Q2",45032.103,2018,"Q2",20182,"2018 Q2"
"Furniture","2018 Q3",56283.102,2018,"Q3",20183,"2018 Q3"
"Furniture","2018 Q4",90348.25,2018,"Q4",20184,"2018 Q4"
