herbivore species,voucher,URL adult,URL cp lateral,sex,host plant species,host plant family,year,date eclosion,elevation,wingspan (mm),primary eco,latitude,longitude
"Astraptes SENNOV","05-SRNP-59407","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-59407-DHJ339542.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/05/05-SRNP-59407-DHJ408688.jpg","female","Senna hayesiana","Fabaceae",2005,2005-09-11 00:00:00.000,560,60,"dry forest",10.75876,-85.37543
"Astraptes INGCUP","07-SRNP-55016","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-55016-DHJ363334.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-55016-DHJ422841.jpg","","Inga sapindoides","Fabaceae",2007,2007-01-29 00:00:00.000,305,59,"dry forest",10.77175,-85.434
"Astraptes FABOV","80-SRNP-202","http://janzen.sas.upenn.edu/2700ARCHIVES/80/80-SRNP-202-DHJ93042.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/80/80-SRNP-202-DHJ1246.jpg","male","Senna hayesiana","Fabaceae",1980,1980-07-28 00:00:00.000,290,46,"dry forest",10.85145,-85.60801
"Astraptes YESENN","93-SRNP-3364","http://janzen.sas.upenn.edu/2700ARCHIVES/93/93-SRNP-3364-DHJ93040.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/93/93-SRNP-3364-DHJ26474.jpg","male","Senna hayesiana","Fabaceae",1993,1993-08-13 00:00:00.000,290,44,"dry forest",10.85145,-85.60801
"Astraptes SENNOV","03-SRNP-14687","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-14687-DHJ341148.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-14687-DHJ76448.jpg","female","Senna hayesiana","Fabaceae",2003,2003-08-15 00:00:00.000,290,58,"dry forest",10.85145,-85.60801
"Astraptes SENNOV","92-SRNP-4398","http://janzen.sas.upenn.edu/2700ARCHIVES/92/92-SRNP-4398-DHJ92870.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/92/92-SRNP-4398-DHJ16479.jpg","male","Senna hayesiana","Fabaceae",1992,1992-09-08 00:00:00.000,280,57,"dry forest",10.85827,-85.61089
"Astraptes FABOV","93-SRNP-7060","http://janzen.sas.upenn.edu/2700ARCHIVES/93/93-SRNP-7060-DHJ94494.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/93/93-SRNP-7060-DHJ26479.jpg","female","Centrosema macrocarpum","Fabaceae",1993,1993-11-29 00:00:00.000,280,59,"dry forest",10.85827,-85.61089
"Astraptes INGCUP","02-SRNP-32204","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-32204-DHJ90388.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-32204-DHJ71253.jpg","male","Inga vera","Fabaceae",2002,2002-11-24 00:00:00.000,155,50,"dry forest",10.85906,-85.5709
"Astraptes INGCUP","02-SRNP-32205","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-32205-DHJ92526.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-32205-DHJ71283.jpg","female","Inga vera","Fabaceae",2002,2002-12-02 00:00:00.000,155,57,"dry forest",10.85906,-85.5709
"Astraptes INGCUP","02-SRNP-32206","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-32206-DHJ90412.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-32206-DHJ71316.jpg","male","Inga vera","Fabaceae",2002,2002-11-26 00:00:00.000,155,52,"dry forest",10.85906,-85.5709
"Astraptes INGCUP","02-SRNP-19284","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-19284-DHJ92697.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/02/02-SRNP-19284-DHJ69973.jpg","female","Cupania glabra","Sapindaceae",2002,2002-11-22 00:00:00.000,640,59,"rain forest",10.8702,-85.39153
"Astraptes INGCUP","07-SRNP-381","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-381-DHJ363374.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-381-DHJ418445.jpg","female","Cupania glabra","Sapindaceae",2007,2007-02-23 00:00:00.000,700,58,"rain forest",10.87124,-85.38749
"Astraptes LOHAMP","03-SRNP-7550","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-7550-DHJ341318.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/03/03-SRNP-7550-DHJ74880.jpg","male","Hampea appendiculata","Malvaceae",2003,2003-08-31 00:00:00.000,670,53,"rain forest",10.87621,-85.38632
"Astraptes INGCUP","07-SRNP-579","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-579-DHJ370298.jpg","http://janzen.sas.upenn.edu/2700ARCHIVES/07/07-SRNP-579-DHJ419335.jpg","","Inga sapindoides","Fabaceae",2007,2007-04-05 00:00:00.000,645,52,"rain forest",10.87766,-85.39343
