data,CNPJ,cod,QTY
2017-11-15 00:00:00.000,28917877000160,10036,12
2016-02-22 00:00:00.000,8109307000137,10077,2
2017-03-13 00:00:00.000,26414785000132,10034,20
2017-04-25 00:00:00.000,29215555000132,10031,24
2017-10-28 00:00:00.000,22469760000185,10030,12
2017-12-18 00:00:00.000,5054332000172,10010,20
2017-03-13 00:00:00.000,73915597000259,10003,36
2017-06-19 00:00:00.000,1446960000142,20014,12
2017-08-28 00:00:00.000,22745194000197,20014,50
2015-08-06 00:00:00.000,19426440000133,10043,50
2016-03-17 00:00:00.000,11032546000140,20024,12
2016-01-28 00:00:00.000,29840154000173,10089,2
2014-10-31 00:00:00.000,12526735000213,20022,12
2017-11-28 00:00:00.000,17347555000107,10010,12
2016-08-02 00:00:00.000,22536813000133,10005,12
2016-11-28 00:00:00.000,19137307000167,10032,24
2015-10-21 00:00:00.000,27833615001712,20072,1
2017-12-07 00:00:00.000,19897866000175,10088,5
2018-01-24 00:00:00.000,18869111000102,10006,36
2016-06-28 00:00:00.000,3572400000160,10024,20
2017-05-27 00:00:00.000,19137307000167,10051,1
2017-01-30 00:00:00.000,1446960000142,10008,12
2017-01-05 00:00:00.000,27833615003090,10082,1
2015-10-01 00:00:00.000,5256321000175,10011,24
2015-05-20 00:00:00.000,6323540000192,20012,10
2017-01-10 00:00:00.000,16559614000490,10022,12
2015-01-29 00:00:00.000,27833615001712,10051,1
2017-11-29 00:00:00.000,17339293000139,20019,50
2016-09-12 00:00:00.000,5252826000161,10053,1
2016-10-14 00:00:00.000,7258484000112,40008,6
2017-02-21 00:00:00.000,27833615002018,10068,2
2017-02-09 00:00:00.000,21127646000104,20024,6
2016-12-01 00:00:00.000,22546657000191,160059,6
2017-04-19 00:00:00.000,27833615001984,10092,1
2015-03-26 00:00:00.000,11761060000143,10114,1
2017-10-16 00:00:00.000,10438370000916,160045,1
2017-02-20 00:00:00.000,12434859000198,10034,24
2015-02-02 00:00:00.000,21408990000171,20024,12
2016-12-01 00:00:00.000,16559614000571,10011,12
2017-01-27 00:00:00.000,17875310000152,10009,15
2015-05-13 00:00:00.000,19068286000175,30050,1
2017-01-24 00:00:00.000,26061062000105,10006,20
2016-11-26 00:00:00.000,22918167000683,20035,50
2017-03-03 00:00:00.000,39508023000228,10013,24
2016-09-24 00:00:00.000,23887274000140,10004,24
2016-06-28 00:00:00.000,72392434000195,10004,20
2016-08-24 00:00:00.000,20548393000180,40007,12
2014-10-14 00:00:00.000,13967018000290,10025,20
2015-07-15 00:00:00.000,21127646000104,40003,12
2016-01-05 00:00:00.000,11761060000143,10054,2
2016-01-21 00:00:00.000,12434859000198,10087,1
2015-10-08 00:00:00.000,13404646000186,10073,1
2017-10-30 00:00:00.000,31503576000103,10010,6
2017-07-03 00:00:00.000,7652822000104,20019,30
2015-03-19 00:00:00.000,5943227000194,20034,30
2017-10-26 00:00:00.000,5054332000172,10092,2
2018-01-26 00:00:00.000,17279185000118,10008,24
2016-03-16 00:00:00.000,9097655000102,10004,36
2015-10-22 00:00:00.000,19068286000175,10062,1
2017-08-22 00:00:00.000,14519108000108,40002,12
2018-01-04 00:00:00.000,18749311000113,20023,6
2017-05-27 00:00:00.000,27833615001208,10080,1
2017-09-02 00:00:00.000,5131337000151,10111,1
2016-08-02 00:00:00.000,19036019000116,10102,12
2017-09-23 00:00:00.000,8145755000196,10043,100
2015-03-25 00:00:00.000,16559614000571,10010,12
2015-05-28 00:00:00.000,11670482000103,30035,2
2017-04-05 00:00:00.000,11631749000315,10069,1
2016-10-07 00:00:00.000,32336794000317,20037,12
2017-08-03 00:00:00.000,19068286000175,10057,1
2015-01-31 00:00:00.000,8109307000137,10088,1
2016-03-16 00:00:00.000,9097655000102,20004,36
2016-01-21 00:00:00.000,19137307000167,10033,12
2016-12-08 00:00:00.000,24261973000142,10103,12
2014-10-28 00:00:00.000,13126932000127,10009,12
2016-10-31 00:00:00.000,20216760000148,10042,50
2017-07-01 00:00:00.000,5273676000415,10124,1
2016-04-04 00:00:00.000,12434859000198,10111,1
2016-01-26 00:00:00.000,11714688000198,10004,24
2017-05-25 00:00:00.000,24261973000142,10005,24
2017-12-18 00:00:00.000,10335385000100,10041,100
2017-12-15 00:00:00.000,9379562000162,160061,10
2016-02-03 00:00:00.000,7779025000184,30055,1
2015-08-20 00:00:00.000,11761060000224,10074,2
2017-08-09 00:00:00.000,29113842000646,30076,12
2017-04-12 00:00:00.000,18749311000113,10082,1
2017-08-04 00:00:00.000,73915597000259,10031,48
2018-01-31 00:00:00.000,22536813000133,10027,24
2016-01-07 00:00:00.000,12968606000102,20074,1
2016-12-10 00:00:00.000,11714688000198,10031,50
2016-06-16 00:00:00.000,14304366000169,10027,12
2017-04-04 00:00:00.000,11631749000315,30074,4
2017-05-03 00:00:00.000,18183953000106,20062,1
2017-10-10 00:00:00.000,13126932000208,10042,50
2018-02-07 00:00:00.000,27833615001712,20009,5
2015-06-25 00:00:00.000,19426440000133,20004,12
2017-02-22 00:00:00.000,19137307000167,10036,24
2016-04-27 00:00:00.000,27833615002522,10068,1
2016-04-29 00:00:00.000,32336794001046,20012,24
2016-04-05 00:00:00.000,22546657000191,10012,36
