cod,descricao
1,"BLISTER"
10001,"ACAFRAO 15GR"
10002,"ALECRIM 15GR"
10003,"ALFAVACA MOIDA  15GR"
10004,"ALHO FRITO 30GR"
10005,"BICARBONATO DE  SODIO 30GR"
10006,"BICARBONATO DE  SODIO 100GR"
10007,"CALDO DE BACON  COM ERVAS FINAS  60GR"
10008,"CALDO DE  CAMARAO COM  ERVAS FINAS 60GR"
10009,"CALDO DE CARNE  COM ERVAS FINAS  60GR"
10010,"CALDO DE  GALINHA COM  ERVAS FINAS 60GR"
10011,"CALDO DE PEIXE  COM ERVAS FINAS  60GR"
10012,"CANELA EM CASCA  10GR"
10013,"CANELA EM PO  10GR"
10014,"CEBOLINHA VERDE  DESIDRATADA 6GR"
10015,"CHIMI CHURRI  10GR"
10016,"COENTRO  DESIDRATADO 6GR"
10017,"COENTRO MOIDO  10GR"
10018,"COMINHO MOIDO  10GR"
10019,"CRAVO DA INDIA  10GR"
10020,"CURRY 15GR"
10021,"ERVAS FINAS 10GR"
10022,"ERVA DOCE 10GR"
10023,"LOURO EM FOLHAS  5GR"
10024,"LOURO EM FOLHAS  10GR"
10025,"LOURO EM PO  10GR"
10026,"LEMON PEPPER  20GR"
10027,"MANJERICAO 10GR"
10028,"NOZ MOSCADA  MOIDA 5GR"
10029,"NOZ MOSCADA  BOLA 7 GR"
10030,"OREGANO 5GR"
10031,"OREGANO 20GR"
10032,"PIMENTA  CALABRESA EM  FLOCOS 15GR"
10033,"PIMENTA DO  REINO EM GRAOS  20GR"
10034,"PIMENTA DO  REINO MOIDA  20GR"
10035,"PIMENTA DO  REINO MOIDA  BRANCA 20GR"
10036,"PIMENTA COM  COMINHO MOIDO  20GR"
10037,"SALSA  DESIDRATADA  20GR"
10038,"TEMPERO  COMPLETO COM  ERVAS FINAS 60GR"
10039,"TEMPERO BAIANO  20GR"
10040,"TEMPERO MISTO  20GR"
10041,"COLORIFICO  EXTRA 60GR"
10042,"COLORIFICO  EXTRA 100GR"
10043,"COLORIFICO  EXTRA 200GR"
10044,"CONFEITO  CHOCOLATE  GRANULADO 100GR"
10045,"CONFEITO  CHOCOLATE  REDONDO 100GR"
10046,"CONFEITO  COLORIDO  GRANULADO 100GR"
10047,"CONFEITO  PRATEADO  REDONDO 100GR"
10048,"UVA PASSAS 100GR"
10049,"UVA PASSAS 50GR"
10051,"ACAFRAO 15GR FD  36 UNID"
10052,"ALECRIM 15GR FD  36 UNID"
10053,"ALFAVACA MOIDA  15GR FD 36 UNID"
10054,"ALHO FRITO 30GR  FD 36 UNID"
10055,"BICARBONATO DE  SODIO 30GR FD 36  UNID"
10056,"BICARBONATO DE  SODIO 100GR FD  36 UNID"
10057,"CALDO DE BACON  COM ERVAS FINAS  60GR FD 36 UNID"
10058,"CALDO DE  CAMARAO COM  ERVAS FINAS 60GR  FD 36 UNID"
10059,"CALDO DE CARNE  COM ERVAS FINAS  60GR FD 36 UNID"
10060,"CALDO DE  GALINHA COM  ERVAS FINAS 60GR  FD 36 UNID"
10061,"CALDO DE PEIXE  COM ERVAS FINAS  60GR FD 36 UNID"
10062,"CANELA EM CASCA  10GR FD 50 UNID"
10063,"CANELA EM PO  10GR FD 36 UNID"
10064,"CEBOLINHA VERDE  DESIDRATADA 6GR  FD 36 UNID"
10065,"CHIMI CHURRI  10GR FD 36 UNID"
10066,"COENTRO  DESIDRATADO  6GR FD 36 UNID"
10067,"COENTRO MOIDO  10GR FD 36 UNID"
10068,"COMINHO MOIDO  10GR FD 36 UND"
10069,"CRAVO DA INDIA  10GR FD 50 UNID"
10070,"CURRY 15GR FD 36  UNID"
10071,"ERVAS FINAS 10GR  FD 36 UNID"
10072,"ERVA DOCE 10GR  FD 36 UNID"
10073,"LOURO EM FOLHAS  5GR FD 36 UNID"
10074,"LOURO EM FOLHAS  10GR FD 36 UNID"
10075,"LOURO EM PO  10GR FD 36 UNID"
10076,"LEMON PEPPER  20GR FD 36 UNID"
10077,"MANJERICAO  10GR FD 36 UNID"
10078,"NOZ MOSCADA  MOIDA 5GR FD 36  UNID"
10079,"NOZ MOSCADA  BOLA 7 GR FD 36  UNID"
10080,"OREGANO 5GR FD  100 UNID"
10081,"OREGANO 20GR  FD 50 UNID"
10082,"PIMENTA  CALABRESA EM  FLOCOS 15GR FD  36 UNID"
10083,"PIMENTA DO  REINO EM GRAOS  20GR FD 36 UNID"
10084,"PIMENTA DO  REINO MOIDA  20GR FD 36 UNID"
10085,"PIMENTA DO  REINO MOIDA  BRANCA 20GR FD  36 UNID"
10086,"PIMENTA COM  COMINHO MOIDO  20GR FD 36 UNID"
10087,"SALSA  DESIDRATADA  20GR FD 36 UNID"
10088,"TEMPERO  COMPLETO COM  ERVAS FINAS 60GR  FD 36 UNID"
10089,"TEMPERO BAIANO  20GR FD 36 UNID"
10090,"TEMPERO MISTO  20GR FD 36 UNID"
10091,"COLORIFICO  EXTRA 60GR FD  100 UNID"
10092,"COLORIFICO  EXTRA 100GR FD  100 UNID"
10093,"COLORIFICO  EXTRA 200GR FD  100 UNID"
10094,"CONFEITO  CHOCOLATE  GRANULADO  100GR FD 24 UNID"
10095,"CONFEITO  CHOCOLATE  REDONDO 100GR  FD 24 UNID"
10096,"CONFEITO  COLORIDO  GRANULADO  100GR FD 24 UNID"
10097,"CONFEITO  PRATEADO  REDONDO 100GR  FD 24 UNID"
10098,"UVA PASSAS  100GR FD 24 UNID"
10099,"UVA PASSAS 50GR  FD 24 UNID"
10100,"GERGELIM EM  GRAOS 30GR"
10101,"CALDO DE  BACALHAU C/  ERVAS FINAS 60GR"
10102,"AMACIANTE DE  CARNE C/ ERVAS  FINAS 60GR"
10103,"PAPRICA DOCE EM  PO 20GR"
10104,"CRAVO DA INDIA  EM PO 10G"
10105,"TOMILHO 10GR"
10106,"MANJERONA 6GR"
10107,"HORTELA 6GR"
10108,"GERGELIM EM  GRAOS 30GR FD  36 UNID"
10109,"CALDO DE  BACALHAU C/  ERVAS FINAS 60GR  FD 36 UNID"
10110,"AMACIANTE DE  CARNE C/ ERVAS  FINAS 60GR FD 36  UNID"
10111,"PAPRICA DOCE EM  PO 20GR FD 36  UNID"
10112,"CRAVO DA INDIA  EM PO 10G FD 36  UNID"
10113,"TOMILHO 10GR FD  36 UNID"
10114,"MANJERONA 6GR  FD 36 UNID"
10115,"HORTELA 6GR FD  36 UNID"
10117,"GENGIBRE EM PÓ  20GR"
10118,"ALHO EM FLOCOS  20GR"
10119,"GENGIBRE EM PÓ  20GR FD 36 UNID"
10120,"ALHO EM FLOCOS  20GR FD 36 UNID"
10123,"SALSA  DESIDRATADA 6G"
10124,"SALSA  DESIDRATADA 6G  FD 36 UNID"
10131,"COENTRO  DESIDRATADO 10G"
2,"TEMPEROS"
20001,"ALHO FRITO 100GR"
20002,"ALHO E CEBOLA  PICADINHO S/SAL  180GR"
20003,"ALHO PICADINHO  C/ERVAS FINAS  S/SAL 180GR"
20004,"ALHO PICADINHO  S/SAL 180GR"
20005,"ALHO PICADINHO  S/SAL 1.010KG"
20006,"COLORIFICO DA  ROCA 150GR"
20007,"COLORIFICO  NORDESTINO  200GR"
20008,"COLORIFICO  EXTRA S/SAL  500GR"
20009,"CREME P/PAO DE  ALHO  TRADICIONAL  200GR"
20010,"CREME P/PAO DE  ALHO PICANTE  200GR"
20011,"EMPANA  CAMARAO E  LEGUMES 250GR"
20012,"EMPANA PRATICO  CARNE 250GR"
20013,"EMPANA PRATICO  FRANGO 250GR"
20014,"EMPANA PRATICO  PEIXE 250GR"
20015,"EMPANA PRATICO  CARNE 500GR"
20016,"EMPANA PRATICO  FRANGO 500GR"
20017,"EMPANA PRATICO  PEIXE 500GR"
20018,"EMPANA TUDO  500GR"
20019,"OREGANO 100GR"
20020,"ALHO E SAL 300GR"
20021,"TEMPERO  COMPLETO BACON  C/PIMENTA 300GR"
20022,"TEMPERO  COMPLETO  C/OREGANO 300GR"
20023,"TEMPERO  COMPLETO GRILL  300GR"
