Pedido,VA - 44357146,EX - 4395119,VA - 4365816,EX - 4326434,DT - 43912122,VA - 437881,VA - 4334138,VA - 4345573,VA - 4421622,VA - 4420329,VA - 44519108,DT - 44385116,VA - 4336769,EX - 43855132,VA - 4416278,DT - 43256167,VA - 43910128,DT - 4437733,DT - 43502168,DT - 4369130,VA - 4356938,DT - 4376672,DT - 4339657,VA - 441428,EX - 43550143,EX - 4426694,DT - 44106121,VA - 43635155,VA - 4400565,VA - 43433151,VA - 4412296,VA - 44398115,DT - 4352194,EX - 4323529,VA - 4371256,VA - 4330792,DT - 4351777,VA - 4315210,DT - 4317594,DT - 43727141,VA - 4398465,VA - 44006122,DT - 43803168,VA - 435403,VA - 443934,VA - 4353261,VA - 43893170,VA - 4327654,VA - 43211172,VA - 4350619,DT - 4364759,VA - 4400644,DT - 4378534,VA - 44493116,VA - 43119127,DT - 4311077,DT - 4396492,DT - 434099,VA - 43153162,VA - 4318139,DT - 4341146,VA - 4361178,EX - 4337722,EX - 4382650,EX - 4420077,VA - 4417654,VA - 44027168,DT - 4396817,DT - 4372098,DT - 4319515,EX - 43963160,EX - 4418040,VA - 4393927,DT - 44160150,DT - 4325851,VA - 44483132,VA - 44277161,VA - 43623148,VA - 43639148,VA - 4328255,VA - 43627138,DT - 43934121,DT - 44304107,VA - 4343817,EX - 431977,VA - 4439724,VA - 4313788,VA - 43189156,EX - 43979172,VA - 4338657,VA - 4387468,DT - 44195111,VA - 43868164,DT - 44243173,DT - 44113110,VA - 444842,VA - 4421063,VA - 4321993,EX - 44439173,VA - 43264105
Data,2021-06-10 00:00:00.000,2020-04-30 00:00:00.000,2019-07-12 00:00:00.000,2018-06-13 00:00:00.000,2020-03-22 00:00:00.000,2019-11-19 00:00:00.000,2018-08-29 00:00:00.000,2018-12-21 00:00:00.000,2021-01-20 00:00:00.000,2021-01-07 00:00:00.000,2021-11-19 00:00:00.000,2021-07-08 00:00:00.000,2018-09-24 00:00:00.000,2020-01-25 00:00:00.000,2020-11-27 00:00:00.000,2018-06-05 00:00:00.000,2020-03-20 00:00:00.000,2021-06-30 00:00:00.000,2019-02-06 00:00:00.000,2019-08-14 00:00:00.000,2019-04-14 00:00:00.000,2019-10-28 00:00:00.000,2018-10-23 00:00:00.000,2020-11-07 00:00:00.000,2019-03-26 00:00:00.000,2021-03-11 00:00:00.000,2020-10-02 00:00:00.000,2019-06-19 00:00:00.000,2020-06-23 00:00:00.000,2018-11-29 00:00:00.000,2020-10-18 00:00:00.000,2021-07-21 00:00:00.000,2019-02-25 00:00:00.000,2018-05-15 00:00:00.000,2019-09-04 00:00:00.000,2018-07-26 00:00:00.000,2019-02-21 00:00:00.000,2018-02-21 00:00:00.000,2018-03-16 00:00:00.000,2019-09-19 00:00:00.000,2020-06-02 00:00:00.000,2020-06-24 00:00:00.000,2019-12-04 00:00:00.000,2019-03-16 00:00:00.000,2021-07-16 00:00:00.000,2019-03-08 00:00:00.000,2020-03-03 00:00:00.000,2018-06-25 00:00:00.000,2018-04-21 00:00:00.000,2019-02-10 00:00:00.000,2019-07-01 00:00:00.000,2020-06-24 00:00:00.000,2019-11-16 00:00:00.000,2021-10-24 00:00:00.000,2018-01-19 00:00:00.000,2018-01-10 00:00:00.000,2020-05-13 00:00:00.000,2018-11-05 00:00:00.000,2018-02-22 00:00:00.000,2018-03-22 00:00:00.000,2018-11-07 00:00:00.000,2019-05-26 00:00:00.000,2018-10-04 00:00:00.000,2019-12-27 00:00:00.000,2021-01-04 00:00:00.000,2020-12-11 00:00:00.000,2020-07-15 00:00:00.000,2020-05-17 00:00:00.000,2019-09-12 00:00:00.000,2018-04-05 00:00:00.000,2020-05-12 00:00:00.000,2020-12-15 00:00:00.000,2020-04-18 00:00:00.000,2020-11-25 00:00:00.000,2018-06-07 00:00:00.000,2021-10-14 00:00:00.000,2021-03-22 00:00:00.000,2019-06-07 00:00:00.000,2019-06-23 00:00:00.000,2018-07-01 00:00:00.000,2019-06-11 00:00:00.000,2020-04-13 00:00:00.000,2021-04-18 00:00:00.000,2018-12-04 00:00:00.000,2018-04-07 00:00:00.000,2021-07-20 00:00:00.000,2018-02-06 00:00:00.000,2018-03-30 00:00:00.000,2020-05-28 00:00:00.000,2018-10-13 00:00:00.000,2020-02-13 00:00:00.000,2020-12-30 00:00:00.000,2020-02-07 00:00:00.000,2021-02-16 00:00:00.000,2020-10-09 00:00:00.000,2021-10-15 00:00:00.000,2021-01-14 00:00:00.000,2018-04-29 00:00:00.000,2021-08-31 00:00:00.000,2018-06-13 00:00:00.000
ID Cliente,146,19,16,34,122,1,38,73,22,29,108,116,69,132,78,167,128,33,168,30,38,72,57,8,143,94,121,155,65,151,96,115,94,29,56,92,77,10,94,141,65,122,168,3,4,61,170,54,172,19,59,44,34,116,127,77,92,9,162,39,46,78,22,50,77,54,168,17,98,15,160,40,27,150,51,132,161,148,148,55,138,121,107,17,7,24,88,156,172,57,68,111,164,173,110,2,63,93,173,105
ID Produto,9,25,3,13,13,17,29,2,25,7,6,1,19,21,15,2,8,20,3,23,26,21,19,26,7,3,10,25,24,21,25,25,1,26,3,4,20,25,4,6,5,8,15,14,20,19,25,25,23,21,16,3,25,26,7,18,6,11,15,23,25,18,26,6,2,25,14,25,15,28,13,30,5,25,5,16,15,15,2,25,2,18,10,5,19,22,30,3,25,26,28,3,9,30,12,26,21,2,3,22
Quantidade,8,10,12,13,10,9,6,10,13,8,6,9,10,8,10,10,9,13,12,13,8,13,10,7,10,9,6,13,6,7,12,8,7,11,13,7,12,12,8,9,11,6,8,8,7,13,11,8,10,8,7,9,8,9,9,11,8,11,11,8,11,13,12,7,10,12,9,9,6,6,10,10,13,8,7,6,8,13,7,6,6,12,12,6,13,12,7,8,6,13,7,7,6,7,8,8,9,6,8,13
Preço Unitário,5341.500000000001,1133.9,2721.8,1984.8,269.6,1120.5,5622.9000000000015,3465.5,1140.6,2406.9,872.6,1763.7,1033.4,209.3,6172.3,189.2,1931.2,1020.0,2607.9,3988.1,1716.8,1147.3,1046.8,979.8,189.2,1850.8,169.1,2534.2,3994.8,1174.1,3425.3,3097.0,966.4000000000002,3927.8,209.3,269.6,3941.2,1140.6,1060.2,1127.2,1046.8,2567.7,209.3,3023.3,1120.5,2400.2,1140.6,1830.7,249.5,1951.3,3874.2,2808.9,2581.1,195.9,3954.6,1107.1,6031.6,3894.3,169.1,2433.7,5314.700000000001,6453.700000000001,6058.4000000000015,1743.6,3050.1,1877.6,685.0,3733.5,1140.6,4021.6,1107.1,1140.6,3867.5,6353.200000000001,5736.8,256.2,222.7,3914.4,1783.8,2942.9,3961.3,6199.1,986.5,986.5,1850.8,912.8,5683.200000000001,1803.9,2427.0,169.1,1763.7,3914.4,202.6,3083.6,1288.0,2648.1,3860.8,3143.9,3921.1,1040.1
Total,42732.00000000001,11338.999999999998,32661.6,25802.4,2696.0,10084.5,33737.4,34655.0,14827.8,19255.2,5235.6,15873.3,10333.999999999998,1674.4,61723.0,1892.0,17380.8,13260.0,31294.800000000003,51845.3,13734.4,14914.9,10468.0,6858.6,1892.0,16657.2,1014.6,32944.6,23968.800000000003,8218.7,41103.600000000006,24776.0,6764.800000000001,43205.8,2720.9,1887.2000000000005,47294.4,13687.2,8481.6,10144.8,11514.8,15406.2,1674.4,24186.4,7843.5,31202.6,12546.6,14645.6,2495.0,15610.4,27119.4,25280.1,20648.8,1763.1,35591.4,12178.1,48252.8,42837.3,1860.1,19469.6,58461.7,83898.1,72700.8,12205.2,30501.0,22531.2,6165.0,33601.5,6843.6,24129.6,11071.0,11406.0,50277.5,50825.600000000006,40157.6,1537.1999999999998,1781.6,50887.2,12486.6,17657.4,23767.800000000003,74389.20000000001,11838.0,5919.0,24060.4,10953.6,39782.40000000001,14431.2,14562.0,2198.3,12345.9,27400.8,1215.6,21585.2,10304.0,21184.8,34747.200000000004,18863.4,31368.8,13521.3
Custo Unitário,2547.1323,550.2978,1958.5440000000003,1410.0552,144.72,553.8555000000001,3794.377500000001,1496.4048,656.0640000000001,1039.0896,634.9590000000001,1221.1353,371.448,102.8115,3110.0328,82.7316,972.5184000000002,375.7896,961.7247,2403.8595000000005,725.5296,680.5458000000001,376.2720000000001,616.2660000000001,86.1084,1298.1384,66.33,1937.439,1689.1236,580.3875,1386.5985000000005,1810.809,399.4272,2544.1776,80.3799,197.784,1560.0816,686.817,504.95220000000006,526.7808000000001,583.2216,1755.2124,82.2492,1658.9133000000002,634.4163000000001,1014.6078,604.809,674.9379,178.48800000000003,947.5542,2335.1778000000004,1844.3961,1926.8865,87.435,2276.9280000000003,397.9800000000001,2225.07,1401.372,123.615,1860.5565,3395.0709,2613.1005,4633.452,1207.206,1618.7535,894.8520000000002,356.73479999999995,2115.9873,471.5460000000001,1628.1,795.9600000000002,809.829,2574.6894,2629.5624000000003,3768.0264,194.769,145.2627,2993.2920000000004,946.3482,1429.4718000000005,1995.6888000000004,3792.87,700.2639,567.3024,1181.6388,541.2528000000001,3681.6768,1330.0974,1222.4016,87.435,1125.9819000000002,1443.8232,74.169,1386.9,903.0528,1262.3805,2118.7008,2177.6139000000003,2257.632,457.9785
Canal,Varejo,Exportação,Varejo,Exportação,Distribuidor,Varejo,Varejo,Varejo,Varejo,Varejo,Varejo,Distribuidor,Varejo,Exportação,Varejo,Distribuidor,Varejo,Distribuidor,Distribuidor,Distribuidor,Varejo,Distribuidor,Distribuidor,Varejo,Exportação,Exportação,Distribuidor,Varejo,Varejo,Varejo,Varejo,Varejo,Distribuidor,Exportação,Varejo,Varejo,Distribuidor,Varejo,Distribuidor,Distribuidor,Varejo,Varejo,Distribuidor,Varejo,Varejo,Varejo,Varejo,Varejo,Varejo,Varejo,Distribuidor,Varejo,Distribuidor,Varejo,Varejo,Distribuidor,Distribuidor,Distribuidor,Varejo,Varejo,Distribuidor,Varejo,Exportação,Exportação,Exportação,Varejo,Varejo,Distribuidor,Distribuidor,Distribuidor,Exportação,Exportação,Varejo,Distribuidor,Distribuidor,Varejo,Varejo,Varejo,Varejo,Varejo,Varejo,Distribuidor,Distribuidor,Varejo,Exportação,Varejo,Varejo,Varejo,Exportação,Varejo,Varejo,Distribuidor,Varejo,Distribuidor,Distribuidor,Varejo,Varejo,Varejo,Exportação,Varejo
Custo Total,20377.0584,5502.978000000001,23502.52800000001,18330.7176,1447.2,4984.699500000001,22766.265000000003,14964.048,8528.832,8312.7168,3809.754,10990.2177,3714.480000000001,822.492,31100.328,827.316,8752.665600000002,4885.2648,11540.6964,31250.173500000004,5804.236800000001,8847.095400000002,3762.72,4313.862000000001,861.084,11683.2456,397.98,25186.707,10134.7416,4062.712500000001,16639.182000000004,14486.472000000002,2795.9904,27985.9536,1044.9387000000002,1384.4879999999998,18720.9792,8241.804,4039.617600000001,4741.027200000001,6415.437599999999,10531.274399999998,657.9936,13271.3064,4440.914100000001,13189.9014,6652.899,5399.5032,1784.8800000000003,7580.433600000001,16346.244600000002,16599.5649,15415.092,786.915,20492.352000000003,4377.780000000001,17800.559999999998,15415.092,1359.765,14884.452,37345.7799,33970.3065,55601.424,8450.442,16187.535,10738.224000000002,3210.6132,19043.885700000003,2829.2760000000003,9768.6,7959.600000000001,8098.290000000002,33470.9622,21036.4992,26376.184800000003,1168.614,1162.1016,38912.796,6624.4374,8576.830800000002,11974.132800000005,45514.44,8403.1668,3403.8144,15361.3044,6495.033600000001,25771.7376,10640.7792,7334.409600000002,1136.6549999999995,7881.873300000002,10106.7624,445.014,9708.3,7224.4224,10099.044,19068.3072,13065.683400000002,18061.056,5953.7205
Imposto,4700.52,1700.8499999999997,3266.1600000000003,5418.503999999999,566.16,2117.745,5060.61,3465.5,2224.17,2118.072,523.5600000000001,1587.3300000000002,2170.1399999999994,251.16,12961.83,189.2,1911.888,1989.0,3129.4800000000005,7776.794999999998,2060.16,2237.235,2198.28,1028.79,208.12,1665.7200000000005,111.606,4941.69,3595.32,1232.8049999999998,6165.540000000001,3716.4,676.4800000000001,6480.87,272.09000000000003,188.72000000000003,7094.159999999999,2053.08,848.16,1014.48,1151.48,1694.6819999999998,351.624,5079.144,1176.525,6552.546,1881.99,2196.84,374.25,2341.56,5695.074,2528.01,3097.32,264.46500000000003,3915.054,2557.4009999999994,4825.280000000001,4712.103,390.621,2920.44,8769.255000000001,17618.601000000002,10905.12,1220.52,3050.1000000000004,3379.6799999999994,1294.65,5040.225,1437.1559999999995,3619.44,2324.91,1710.9,5027.75,7623.84,4015.76,322.81199999999995,374.136,10686.312,1248.66,2648.61,2376.78,15621.732000000002,1302.18,591.9,5052.683999999999,1643.04,5967.3600000000015,1443.12,2184.3,329.74499999999995,1851.885,2740.08,133.71599999999998,3237.78,1133.44,3177.72,5212.080000000001,1886.34,3136.88,2028.195
