Data,Produto,Meta
2018-08-01 00:00:00.000,"Produto 30",0
2018-12-01 00:00:00.000,"Produto 30",0
2018-01-01 00:00:00.000,"Produto 4",0
2018-02-01 00:00:00.000,"Produto 4",0
2018-03-01 00:00:00.000,"Produto 4",0
2018-04-01 00:00:00.000,"Produto 4",0
2018-05-01 00:00:00.000,"Produto 4",0
2018-06-01 00:00:00.000,"Produto 4",0
2018-07-01 00:00:00.000,"Produto 4",0
2018-08-01 00:00:00.000,"Produto 4",0
2018-09-01 00:00:00.000,"Produto 4",0
2018-10-01 00:00:00.000,"Produto 4",0
2018-11-01 00:00:00.000,"Produto 4",0
2018-12-01 00:00:00.000,"Produto 4",0
2018-01-01 00:00:00.000,"Produto 5",0
2018-02-01 00:00:00.000,"Produto 5",0
2018-03-01 00:00:00.000,"Produto 5",0
2018-04-01 00:00:00.000,"Produto 5",0
2018-05-01 00:00:00.000,"Produto 5",0
2018-06-01 00:00:00.000,"Produto 5",0
2018-07-01 00:00:00.000,"Produto 5",0
2018-08-01 00:00:00.000,"Produto 5",0
2018-09-01 00:00:00.000,"Produto 5",0
2018-10-01 00:00:00.000,"Produto 5",0
2018-11-01 00:00:00.000,"Produto 5",0
2018-12-01 00:00:00.000,"Produto 5",0
2018-01-01 00:00:00.000,"Produto 6",0
2018-02-01 00:00:00.000,"Produto 6",0
2018-03-01 00:00:00.000,"Produto 6",0
2018-04-01 00:00:00.000,"Produto 6",0
2018-05-01 00:00:00.000,"Produto 6",0
2018-06-01 00:00:00.000,"Produto 6",0
2018-07-01 00:00:00.000,"Produto 6",0
2018-08-01 00:00:00.000,"Produto 6",0
2018-09-01 00:00:00.000,"Produto 6",0
2018-10-01 00:00:00.000,"Produto 6",0
2018-11-01 00:00:00.000,"Produto 6",0
2018-12-01 00:00:00.000,"Produto 6",0
2018-01-01 00:00:00.000,"Produto 7",0
2018-02-01 00:00:00.000,"Produto 7",0
2018-03-01 00:00:00.000,"Produto 7",0
2018-04-01 00:00:00.000,"Produto 7",0
2018-05-01 00:00:00.000,"Produto 7",0
2018-06-01 00:00:00.000,"Produto 7",0
2018-07-01 00:00:00.000,"Produto 7",0
2018-08-01 00:00:00.000,"Produto 7",0
2018-09-01 00:00:00.000,"Produto 7",0
2018-10-01 00:00:00.000,"Produto 7",0
2018-11-01 00:00:00.000,"Produto 7",0
2018-12-01 00:00:00.000,"Produto 7",0
2018-01-01 00:00:00.000,"Produto 8",0
2018-02-01 00:00:00.000,"Produto 8",0
2018-03-01 00:00:00.000,"Produto 8",0
2018-04-01 00:00:00.000,"Produto 8",0
2018-05-01 00:00:00.000,"Produto 8",0
