Invoice #,Date,Operation Type (purchase / relocation),Product,Quantity,Cost Price,Supplier Type,Store
904965,2017-01-04 00:00:00.000,"Purchase","Headphones Type 1, Huawei",14,110,"C",10
904995,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 4, HP",14,113,"C",10
905071,2017-01-04 00:00:00.000,"Purchase","Mouse Type 3, Huawei",14,99,"C",10
905127,2017-01-04 00:00:00.000,"Purchase","Speakers Type 6, HP",14,46,"C",10
905148,2017-01-04 00:00:00.000,"Purchase","Tablet Type 4, Dell",14,78,"C",10
905156,2017-01-04 00:00:00.000,"Purchase","Headphones Type 6, Huawei",14,68,"C",10
905162,2017-01-04 00:00:00.000,"Purchase","Phone Type 2, Samsung",14,2237,"C",10
905167,2017-01-04 00:00:00.000,"Purchase","Microphone Type 3, HP",14,187,"C",10
905176,2017-01-04 00:00:00.000,"Purchase","Monitor Type 1, Huawei",14,366,"C",10
905197,2017-01-04 00:00:00.000,"Purchase","Memory Type 3, HP",14,51,"C",10
905208,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 8, Dell",14,115,"C",10
905231,2017-01-04 00:00:00.000,"Purchase","Tablet Type 1, Samsung",14,143,"C",10
905247,2017-01-04 00:00:00.000,"Purchase","Desktop Type 12, Samsung",14,2384,"C",10
905258,2017-01-04 00:00:00.000,"Purchase","Phone Type 3, Samsung",14,115,"C",10
905277,2017-01-04 00:00:00.000,"Purchase","Monitor Type 4, Samsung",14,33,"C",10
905280,2017-01-04 00:00:00.000,"Purchase","Desktop Type 12, HP",14,78,"C",10
905298,2017-01-04 00:00:00.000,"Purchase","Monitor Type 4, HP",14,211,"C",10
905325,2017-01-04 00:00:00.000,"Purchase","Headphones Type 2, Samsung",14,149,"C",10
905328,2017-01-04 00:00:00.000,"Purchase","Speakers Type 2, Huawei",14,100,"C",10
905354,2017-01-04 00:00:00.000,"Purchase","Keyboard Type 1, Dell",14,1505,"C",10
905402,2017-01-04 00:00:00.000,"Purchase","Headphones Type 4, Huawei",14,162,"C",10
905446,2017-01-04 00:00:00.000,"Purchase","Mouse Type 1, HP",14,1970,"C",10
905450,2017-01-04 00:00:00.000,"Purchase","Memory Type 1, Samsung",14,255,"C",10
905498,2017-01-04 00:00:00.000,"Purchase","Desktop Type 7, Huawei",14,140,"C",10
905501,2017-01-04 00:00:00.000,"Purchase","Tablet Type 7, Dell",14,126,"C",10
905548,2017-01-04 00:00:00.000,"Purchase","Tablet Type 2, Dell",14,68,"C",10
905558,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 3, Samsung",14,54,"C",10
905587,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 5, Samsung",14,17,"C",10
905627,2017-01-04 00:00:00.000,"Purchase","Speakers Type 4, HP",14,465,"C",10
905704,2017-01-04 00:00:00.000,"Purchase","Speakers Type 3, Dell",14,314,"C",10
905748,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 2, Huawei",14,224,"C",10
905767,2017-01-04 00:00:00.000,"Purchase","Desktop Type 2, HP",14,358,"C",10
905801,2017-01-04 00:00:00.000,"Purchase","Headphones Type 4, HP",14,59,"C",10
905811,2017-01-04 00:00:00.000,"Purchase","Smart Watch Type 2, Huawei",14,504,"C",10
905837,2017-01-04 00:00:00.000,"Purchase","Laptop Type 5, Huawei",14,119,"C",10
905851,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 2, HP",14,95,"C",10
905949,2017-01-04 00:00:00.000,"Purchase","Desktop Type 4, HP",14,54,"C",10
905955,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 3, Samsung",14,1241,"C",10
905962,2017-01-04 00:00:00.000,"Purchase","Laptop Type 2, Huawei",14,606,"C",10
905971,2017-01-04 00:00:00.000,"Purchase","Speakers Type 6, Huawei",14,68,"C",10
905975,2017-01-04 00:00:00.000,"Purchase","Speakers Type 1, Huawei",14,41,"C",10
905977,2017-01-04 00:00:00.000,"Purchase","Smart Watch Type 1, Dell",14,292,"C",10
905981,2017-01-04 00:00:00.000,"Purchase","Phone Type 3, HP",14,35,"C",10
905994,2017-01-04 00:00:00.000,"Purchase","Phone Type 8, HP",14,542,"C",10
906029,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 3, Dell",14,2237,"C",10
906030,2017-01-04 00:00:00.000,"Purchase","Speakers Type 7, HP",14,41,"C",10
906040,2017-01-04 00:00:00.000,"Purchase","Desktop Type 12, Samsung",14,94,"C",10
906045,2017-01-04 00:00:00.000,"Purchase","Tablet Type 7, Dell",14,529,"C",10
906052,2017-01-04 00:00:00.000,"Purchase","Speakers Type 6, HP",14,322,"C",10
906115,2017-01-04 00:00:00.000,"Purchase","Memory Type 1, Samsung",14,507,"C",10
906121,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 8, Huawei",14,142,"C",10
906125,2017-01-04 00:00:00.000,"Purchase","Desktop Type 8, Huawei",14,301,"C",10
906128,2017-01-04 00:00:00.000,"Purchase","Phone Type 3, Dell",14,703,"C",10
906171,2017-01-04 00:00:00.000,"Purchase","Desktop Type 1, Huawei",14,73,"C",10
906246,2017-01-04 00:00:00.000,"Purchase","Tablet Type 4, Dell",14,103,"C",10
906253,2017-01-04 00:00:00.000,"Purchase","Microphone Type 1, HP",14,1824,"C",10
906267,2017-01-04 00:00:00.000,"Purchase","Phone Type 8, Huawei",14,149,"C",10
906269,2017-01-04 00:00:00.000,"Purchase","Desktop Type 7, Dell",14,70,"C",10
906298,2017-01-04 00:00:00.000,"Purchase","Phone Type 12, HP",14,85,"C",10
906340,2017-01-04 00:00:00.000,"Purchase","Headphones Type 5, HP",14,24,"C",10
906342,2017-01-04 00:00:00.000,"Purchase","Laptop Type 5, Dell",14,570,"C",10
906370,2017-01-04 00:00:00.000,"Purchase","Charger Type 2, Huawei",14,528,"C",10
906384,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 5, HP",14,95,"C",10
906402,2017-01-04 00:00:00.000,"Purchase","Speakers Type 7, HP",14,229,"C",10
906420,2017-01-04 00:00:00.000,"Purchase","Memory Type 1, HP",14,366,"C",10
906425,2017-01-04 00:00:00.000,"Purchase","Mouse Type 7, Dell",14,1154,"C",10
906427,2017-01-04 00:00:00.000,"Purchase","Headphones Type 6, Huawei",14,229,"C",10
906448,2017-01-04 00:00:00.000,"Purchase","Headphones Type 3, HP",14,72,"C",10
906454,2017-01-04 00:00:00.000,"Purchase","Memory Type 4, Dell",14,89,"C",10
906465,2017-01-04 00:00:00.000,"Purchase","Desktop Type 3, HP",14,353,"C",10
906471,2017-01-04 00:00:00.000,"Purchase","Speakers Type 1, Dell",14,14,"C",10
906500,2017-01-04 00:00:00.000,"Purchase","Microphone Type 3, Samsung",14,280,"C",10
906522,2017-01-04 00:00:00.000,"Purchase","Mouse Type 2, Samsung",14,125,"C",10
906675,2017-01-04 00:00:00.000,"Purchase","Monitor Type 1, Dell",14,703,"C",10
906707,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 3, Samsung",14,30,"C",10
906714,2017-01-04 00:00:00.000,"Purchase","Monitor Type 4, Samsung",14,221,"C",10
906766,2017-01-04 00:00:00.000,"Purchase","Smart Watch Type 3, Dell",14,160,"C",10
906769,2017-01-04 00:00:00.000,"Purchase","Speakers Type 1, HP",14,159,"C",10
906773,2017-01-04 00:00:00.000,"Purchase","Desktop Type 1, Dell",14,143,"C",10
906783,2017-01-04 00:00:00.000,"Purchase","Phone Type 11, HP",14,481,"C",10
906813,2017-01-04 00:00:00.000,"Purchase","Microphone Type 2, HP",14,1241,"C",10
906837,2017-01-04 00:00:00.000,"Purchase","Laptop Type 6, Huawei",14,113,"C",10
906858,2017-01-04 00:00:00.000,"Purchase","Phone Type 8, Dell",14,61,"C",10
906860,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 4, Samsung",14,1009,"C",10
906862,2017-01-04 00:00:00.000,"Purchase","Memory Type 1, Huawei",14,57,"C",10
906875,2017-01-04 00:00:00.000,"Purchase","Desktop Type 12, HP",14,187,"C",10
906905,2017-01-04 00:00:00.000,"Purchase","Hard Drive Type 8, HP",14,54,"C",10
906931,2017-01-04 00:00:00.000,"Purchase","Speakers Type 6, Dell",14,231,"C",10
906932,2017-01-04 00:00:00.000,"Purchase","Microphone Type 1, Samsung",14,70,"C",10
906953,2017-01-04 00:00:00.000,"Purchase","Laptop Type 4, HP",14,59,"C",10
906955,2017-01-04 00:00:00.000,"Purchase","Memory Type 1, Huawei",14,59,"C",10
907007,2017-01-04 00:00:00.000,"Purchase","Tablet Type 4, HP",14,10,"C",10
907014,2017-01-04 00:00:00.000,"Purchase","Speakers Type 4, Samsung",14,292,"C",10
