id,variable,value
5408,season,2009/2010
717,season,2010/2011
7827,season,2008/2009
1258,season,2014/2015
6774,season,2013/2014
19826,season,2008/2009
9024,season,2011/2012
20919,season,2013/2014
19772,season,2008/2009
5946,season,2011/2012
336,season,2009/2010
7365,season,2014/2015
20198,season,2010/2011
20320,season,2010/2011
21482,season,2015/2016
7766,season,2015/2016
7676,season,2015/2016
20276,season,2010/2011
1495,season,2015/2016
5835,season,2010/2011
510,season,2009/2010
8484,season,2010/2011
8088,season,2008/2009
8989,season,2011/2012
4856,season,2008/2009
156,season,2008/2009
426,season,2009/2010
9429,season,2013/2014
637,season,2010/2011
9564,season,2013/2014
357,season,2009/2010
9493,season,2013/2014
749,season,2010/2011
5725,season,2010/2011
5814,season,2010/2011
1393,season,2014/2015
19838,season,2008/2009
20570,season,2011/2012
9232,season,2012/2013
20721,season,2012/2013
8259,season,2009/2010
8016,season,2008/2009
693,season,2010/2011
10113,season,2015/2016
21284,season,2014/2015
21063,season,2014/2015
853,season,2011/2012
6843,season,2013/2014
10095,season,2015/2016
9519,season,2013/2014
7165,season,2014/2015
1434,season,2014/2015
845,season,2011/2012
5656,season,2010/2011
20864,season,2013/2014
20696,season,2012/2013
541,season,2010/2011
5304,season,2009/2010
280,season,2008/2009
21104,season,2014/2015
6715,season,2013/2014
9087,season,2012/2013
20300,season,2010/2011
377,season,2009/2010
20828,season,2012/2013
918,season,2011/2012
597,season,2010/2011
9457,season,2013/2014
20900,season,2013/2014
733,season,2010/2011
8385,season,2009/2010
7616,season,2015/2016
7525,season,2015/2016
813,season,2011/2012
21350,season,2015/2016
662,season,2010/2011
20403,season,2011/2012
20143,season,2009/2010
199,season,2008/2009
1649,season,2015/2016
21075,season,2014/2015
4956,season,2008/2009
4886,season,2008/2009
1053,season,2012/2013
829,season,2011/2012
8196,season,2009/2010
7809,season,2008/2009
4906,season,2008/2009
37,season,2008/2009
653,season,2010/2011
21512,season,2015/2016
6623,season,2012/2013
7998,season,2008/2009
9294,season,2012/2013
1229,season,2012/2013
5866,season,2010/2011
6665,season,2012/2013
6983,season,2013/2014
1721,season,2015/2016
7645,season,2015/2016
5408,date,2010-04-10 00:00:00.000
717,date,2010-08-28 00:00:00.000
7827,date,2008-11-01 00:00:00.000
1258,date,2014-10-05 00:00:00.000
6774,date,2013-12-22 00:00:00.000
19826,date,2008-08-23 00:00:00.000
9024,date,2011-10-15 00:00:00.000
20919,date,2014-01-29 00:00:00.000
19772,date,2009-01-03 00:00:00.000
5946,date,2011-10-29 00:00:00.000
336,date,2009-10-31 00:00:00.000
7365,date,2015-05-23 00:00:00.000
20198,date,2010-12-21 00:00:00.000
20320,date,2011-05-01 00:00:00.000
21482,date,2015-08-15 00:00:00.000
7766,date,2015-09-11 00:00:00.000
7676,date,2016-03-20 00:00:00.000
20276,date,2011-03-05 00:00:00.000
1495,date,2015-07-26 00:00:00.000
5835,date,2011-05-21 00:00:00.000
510,date,2009-09-27 00:00:00.000
8484,date,2010-12-11 00:00:00.000
8088,date,2008-10-04 00:00:00.000
8989,date,2011-09-10 00:00:00.000
4856,date,2008-12-07 00:00:00.000
156,date,2009-03-07 00:00:00.000
426,date,2010-02-06 00:00:00.000
9429,date,2014-02-02 00:00:00.000
637,date,2011-01-23 00:00:00.000
9564,date,2014-04-26 00:00:00.000
357,date,2009-11-27 00:00:00.000
9493,date,2014-03-15 00:00:00.000
749,date,2010-09-26 00:00:00.000
5725,date,2011-03-13 00:00:00.000
5814,date,2011-05-10 00:00:00.000
1393,date,2015-02-15 00:00:00.000
19838,date,2009-04-04 00:00:00.000
20570,date,2011-08-13 00:00:00.000
9232,date,2012-09-15 00:00:00.000
20721,date,2013-02-16 00:00:00.000
8259,date,2010-02-28 00:00:00.000
8016,date,2009-05-02 00:00:00.000
693,date,2010-08-14 00:00:00.000
10113,date,2016-03-12 00:00:00.000
21284,date,2014-10-05 00:00:00.000
21063,date,2014-12-03 00:00:00.000
853,date,2012-01-15 00:00:00.000
6843,date,2014-02-14 00:00:00.000
10095,date,2016-03-02 00:00:00.000
9519,date,2014-03-29 00:00:00.000
7165,date,2014-08-16 00:00:00.000
1434,date,2015-03-15 00:00:00.000
845,date,2011-08-05 00:00:00.000
5656,date,2011-01-15 00:00:00.000
20864,date,2013-11-23 00:00:00.000
20696,date,2013-01-19 00:00:00.000
541,date,2010-10-24 00:00:00.000
5304,date,2010-02-06 00:00:00.000
280,date,2008-10-03 00:00:00.000
21104,date,2014-12-14 00:00:00.000
6715,date,2013-11-09 00:00:00.000
9087,date,2012-12-01 00:00:00.000
20300,date,2011-04-09 00:00:00.000
377,date,2010-02-03 00:00:00.000
20828,date,2012-10-07 00:00:00.000
918,date,2012-03-04 00:00:00.000
597,date,2010-12-12 00:00:00.000
9457,date,2014-02-15 00:00:00.000
20900,date,2014-02-02 00:00:00.000
733,date,2010-09-19 00:00:00.000
8385,date,2009-09-19 00:00:00.000
7616,date,2016-02-13 00:00:00.000
7525,date,2015-12-13 00:00:00.000
813,date,2011-12-04 00:00:00.000
21350,date,2015-12-19 00:00:00.000
662,date,2011-02-12 00:00:00.000
20403,date,2011-10-29 00:00:00.000
20143,date,2009-10-17 00:00:00.000
199,date,2008-08-30 00:00:00.000
1649,date,2016-02-28 00:00:00.000
21075,date,2014-10-26 00:00:00.000
4956,date,2009-03-01 00:00:00.000
4886,date,2008-08-16 00:00:00.000
1053,date,2012-11-18 00:00:00.000
829,date,2011-12-18 00:00:00.000
8196,date,2010-01-15 00:00:00.000
7809,date,2008-08-15 00:00:00.000
