CourseID,Course Code,Course Name
45671137,"ME.STASST","Student Assistant"
45671933,"ME.STASST","Student Assistant"
45660200,"ME.STASST","Student Assistant"
45665492,"ME.STASST","Student Assistant"
45665669,"ME.STASST","Student Assistant"
45665529,"ME.STASST","Student Assistant"
45671145,"ME.STASST","Student Assistant"
45661740,"ME.STASST","Student Assistant"
45680790,"ME.STASST","Student Assistant"
45659913,"ME.STASST","Student Assistant"
45659923,"ME.STASST","Student Assistant"
45659566,"ME.STASST","Student Assistant"
45659595,"ME.STASST","Student Assistant"
45659932,"ME.STASST","Student Assistant"
45660195,"ME.STASST","Student Assistant"
45659663,"ME.STASST","Student Assistant"
45664249,"ME.STASST","Student Assistant"
45664277,"ME.STASST","Student Assistant"
45671155,"ME.STASST","Student Assistant"
45662568,"ME.STASST","Student Assistant"
45662379,"ME.STASST","Student Assistant"
45660201,"ME.STASST","Student Assistant"
45672161,"ME.STASST","Student Assistant"
45659683,"ME.STASST","Student Assistant"
45671216,"ME.STASST","Student Assistant"
45659654,"ME.STASST","Student Assistant"
45670807,"ME.STASST","Student Assistant"
45623216,"ME.STASST","Student Assistant"
45672520,"ME.STASST","Student Assistant"
45671295,"ME.STASST","Student Assistant"
45672527,"ME.STASST","Student Assistant"
45671130,"ME.STASST","Student Assistant"
45660871,"ME.STASST","Student Assistant"
45671567,"ME.STASST","Student Assistant"
45671132,"ME.STASST","Student Assistant"
45659909,"ME.STASST","Student Assistant"
45671123,"ME.STASST","Student Assistant"
45672573,"ME.STASST","Student Assistant"
45671220,"ME.STASST","Student Assistant"
45659552,"ME.STASST","Student Assistant"
45659569,"ME.STASST","Student Assistant"
45659659,"ME.STASST","Student Assistant"
45665556,"ME.STASST","Student Assistant"
45671112,"ME.STASST","Student Assistant"
45659560,"ME.STASST","Student Assistant"
45671301,"ME.STASST","Student Assistant"
45623223,"ME.STASST","Student Assistant"
45671169,"ME.STASST","Student Assistant"
45659918,"ME.STASST","Student Assistant"
45671141,"ME.STASST","Student Assistant"
45665722,"ME.STASST","Student Assistant"
45665725,"ME.STASST","Student Assistant"
45672572,"ME.STASST","Student Assistant"
45662804,"ME.STASST","Student Assistant"
45659719,"ME.STASST","Student Assistant"
45659912,"ME.STASST","Student Assistant"
45665667,"ME.STASST","Student Assistant"
45671084,"ME.STASST","Student Assistant"
45665724,"ME.STASST","Student Assistant"
45671136,"ME.STASST","Student Assistant"
45659994,"ME.STASST","Student Assistant"
45660469,"ME.STASST","Student Assistant"
45623220,"ME.STASST","Student Assistant"
45659662,"ME.STASST","Student Assistant"
45660196,"ME.STASST","Student Assistant"
45671144,"ME.STASST","Student Assistant"
45665668,"ME.STASST","Student Assistant"
45671122,"ME.STASST","Student Assistant"
45659682,"ME.STASST","Student Assistant"
45659931,"ME.STASST","Student Assistant"
45671618,"ME.STASST","Student Assistant"
45623215,"ME.STASST","Student Assistant"
45659561,"ME.STASST","Student Assistant"
45659930,"ME.STASST","Student Assistant"
45623212,"ME.STASST","Student Assistant"
45665727,"ME.STASST","Student Assistant"
45660199,"ME.STASST","Student Assistant"
45671119,"ME.STASST","Student Assistant"
45672011,"ME.STASST","Student Assistant"
45623211,"ME.STASST","Student Assistant"
45659973,"ME.STASST","Student Assistant"
45664245,"ME.STASST","Student Assistant"
