StudentID,Student Name,Gender,Federal Race,Primar yLanguage,GradeNum,Grade,CumulativeGPA,StudentImage
36752728,"6586837AFEA9, Female","Female","White","English",11,"Eleventh",0,"https://demoimageuploader.blob.core.windows.net/students/female.png"
40802820,"23FC6EE217FE, Male","Male","White","English",11,"Eleventh",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40803956,"057712AC3D19, Male","Male","White","English",11,"Eleventh",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40805004,"F8A6ACE24361, Male","Male","White","English",11,"Eleventh",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40808086,"23370C6784A7, Male","Male","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40808320,"DD2CF18B52A2, Male","Male","White","English",9,"Ninth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40809658,"9D6095145E4B, Male","Male","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40810179,"D1E377A1CEBD, Male","Male","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40810759,"ABD72BC115C5, Female","Female","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/female.png"
40811062,"EF9FD882116D, Female","Female","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/female.png"
40811358,"EF18575A20A9, Male","Male","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40811650,"61B55B397D7E, Male","Male","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40812872,"4F49CED8D26A, Male","Male","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40814735,"5E41E03AB512, Female","Female","White","English",9,"Ninth",0,"https://demoimageuploader.blob.core.windows.net/students/female.png"
40815266,"3B53EA4E8097, Female","Female","White","English",11,"Eleventh",0,"https://demoimageuploader.blob.core.windows.net/students/female.png"
40817238,"D05BECF81C46, Male","Male","White","English",9,"Ninth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40817398,"EC22D9B7A572, Male","Male","White","English",9,"Ninth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40817939,"A5509DBA45DD, Male","Male","White","English",9,"Ninth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40818706,"ABC6F13D4CF3, Female","Female","White","English",9,"Ninth",0,"https://demoimageuploader.blob.core.windows.net/students/female.png"
40819741,"0AC5BAB02335, Male","Male","White","English",9,"Ninth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40822488,"BEAED98C0CBE, Female","Female","White","English",11,"Eleventh",0,"https://demoimageuploader.blob.core.windows.net/students/female.png"
40824663,"A0496B6AD7FF, Male","Male","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
40830756,"618E522E449F, Male","Male","White","English",10,"Tenth",0,"https://demoimageuploader.blob.core.windows.net/students/male.jpg"
