IncidentCodeID,Incident
"AA1","L1 Unexcused Absences"
"ALA","L2 Abusive Lang w/Staff"
"ALP","L1 Abusive Lang/Intim w/Student"
"APL","L3 Any Act Prohibit by F/S/L Law"
"ASR","L2 Altering Sch/Classrm Rcrds"
"AT3","L3 3rd Degree Assault  (by adult"
"CLM","L1 Classroom Misconduct"
"CLO","L2 Continual LEVEL I Infraction"
"CLT","L3 Continual LEVEL II Infraction"
"CP2","L2 Campus Misconduct"
"CPM","L1 Campus Misconduct"
"DEP","L3 Destruction/Sch/Emp Prop"
"DIS","L1 Dishonesty"
"DSP","L2 Defacing School Prop"
"FCD","L2 Fail Complete Disc Asignmt"
"FIG","L2 Fighting"
"HA3","L3 Harassment"
"HAR","L2 Harassment"
"IDH","L1 Inappropriate Dress/Hygiene"
"INS","L1 Insubordination"
"IS2","L2 Insubor/open/persist defiance"
"L1E","L1 Inappropriate/Prsnl Elect Dev"
"L2B","L2 Bullying"
"L2E","L2 Inappropriate/Prsnl Elect Dev"
"L2P","L2 Phys Mistreatment of Studnt"
"L2V","L2 Violation of AUA"
"L3A","L3 P/U of Alcohol"
"L3D","L3 P/U of Drug Paraphernalia"
"PSV","L2 P/D/S Sched 4 or 5 substances"
"PU4","L4 P/U Dangerous Weapon"
"PUT","L2 P/U of  Tobacco/Simulated"
"PUW","L2 Inadvertent  Pos(Stand )Weap"
"SV2","L2 Serious Violations at School"
"SV3","L3 Serious Violations at School"
"THE","L2 Theft"
"ULC","L2 Unauthorized Leaving Campus"
"ULM","L3 Unlawful U/P/D/S of Marijuana"
"UNA","L2 Unexcused Absences/Truancy"
"UNT","L1 Unexcused Tardiness"
"WF3","L3 Weapon/Facsimile (Standard)"
