ActionID,Action
"ID","In-school Suspension"
"ES","Restorative Dialogue"
"RJ","Restorative Justice"
"EY","Expelled Remainder Of School/yr"
"As","Tcher/parent/student Conference"
"IS","In-school Detention"
"LD","Lunch Detention"
"PC","Parent Contact"
"EL","Expelled Less Than School Year"
"AC","Behavior/Attendance Contract"
"VB","Verbal Warning"
"SF","Suspension 5 Days Or Less"
"RS","Referral To Social Worker"
"SM","Suspension More Than Five Days"
"SS","Saturday School"
"AP","Admin/Prnt/Gurdn/Stu Conference"
"RF","Referral To Counseling"
"DB","Detention Before/after School"
"LP","Loss of Privileges"
"IA","In-school Alternative"
"Cn","Ref Police - No charges filed"
"EN","Expelled Into Next School Year"
