AttendanceTypeID,Attendance Type
"V","Early Completion"
"5","Parent Request Opt Out Testing"
"A","Absent (unexcused)"
"F","Field Trip"
"C","Counselor"
"X","Excused Tardy"
"I","In School Detention"
"Q","Went Home Ill"
"O","Office"
"W","Weather"
"6","State or District Testing"
"N","Nurse/Infirmary"
"G","Early Release/Parent"
"H","Timeout to Home"
"Y","In a Facility"
"R","Runaway"
"P","Prearranged"
"S","Suspended"
"L","Tutored-District"
"D","Enrolled in Special Program"
"M","SPED ONLY in school no IEP Svcs"
"J","Teacher Excused"
"E","Excused Absence"
"T","Tardy (Unexcused)"
"Pr","Present"
"K","Social Worker"
"Z","In Detention Center (SCYSC)"
