PID,Invoice Date,Invoice Type,Amount,MonthNo
100010,2019-09-10 00:00:00.000,OTC,19.0,9
100268,2020-05-25 00:00:00.000,OTC,86.25,5
100144,2020-01-22 00:00:00.000,OTC,30.0,1
100213,2020-03-31 00:00:00.000,OTC,150.0,3
100228,2020-04-15 00:00:00.000,Monthly,20.0,4
100156,2020-02-03 00:00:00.000,OTC,125.0,2
100284,2020-06-10 00:00:00.000,Yearly,360.0,6
100074,2019-11-13 00:00:00.000,Monthly,60.0,11
100197,2020-03-15 00:00:00.000,Monthly,20.0,3
100034,2019-10-04 00:00:00.000,Monthly,35.0,10
100186,2020-03-04 00:00:00.000,Monthly,15.0,3
100125,2020-01-03 00:00:00.000,OTC,86.25,1
100147,2020-01-25 00:00:00.000,Yearly,34.99,1
100266,2020-05-23 00:00:00.000,OTC,118.0,5
100006,2019-09-06 00:00:00.000,Monthly,5.0,9
100221,2020-04-08 00:00:00.000,Monthly,66.0,4
100234,2020-04-21 00:00:00.000,Monthly,55.0,4
100252,2020-05-09 00:00:00.000,Yearly,16.0,5
100046,2019-10-16 00:00:00.000,Monthly,60.0,10
100269,2020-05-26 00:00:00.000,OTC,102.05,5
100171,2020-02-18 00:00:00.000,Monthly,35.0,2
100057,2019-10-27 00:00:00.000,OTC,34.99,10
100201,2020-03-19 00:00:00.000,OTC,120.0,3
100080,2019-11-19 00:00:00.000,Monthly,60.0,11
100112,2019-12-21 00:00:00.000,Yearly,16.0,12
100276,2020-06-02 00:00:00.000,Monthly,60.0,6
100275,2020-06-01 00:00:00.000,Monthly,60.0,6
100218,2020-04-05 00:00:00.000,OTC,125.0,4
100110,2019-12-19 00:00:00.000,Monthly,75.0,12
100043,2019-10-13 00:00:00.000,Monthly,15.0,10
100204,2020-03-22 00:00:00.000,Monthly,40.0,3
100085,2019-11-24 00:00:00.000,Monthly,20.0,11
100270,2020-05-27 00:00:00.000,OTC,122.1,5
100094,2019-12-03 00:00:00.000,OTC,59.0,12
100047,2019-10-17 00:00:00.000,Monthly,65.0,10
100205,2020-03-23 00:00:00.000,Yearly,34.99,3
100064,2019-11-03 00:00:00.000,Monthly,60.0,11
100076,2019-11-15 00:00:00.000,OTC,120.0,11
100241,2020-04-28 00:00:00.000,Monthly,20.0,4
100165,2020-02-12 00:00:00.000,OTC,59.0,2
100182,2020-02-29 00:00:00.000,Monthly,30.0,2
100031,2019-10-01 00:00:00.000,Monthly,350.0,10
100023,2019-09-23 00:00:00.000,Monthly,20.0,9
100025,2019-09-25 00:00:00.000,Yearly,75.0,9
100176,2020-02-23 00:00:00.000,Monthly,35.0,2
100078,2019-11-17 00:00:00.000,Monthly,66.0,11
100148,2020-01-26 00:00:00.000,OTC,129.0,1
100222,2020-04-09 00:00:00.000,Monthly,15.0,4
100250,2020-05-07 00:00:00.000,Monthly,35.0,5
100093,2019-12-02 00:00:00.000,OTC,118.0,12
100208,2020-03-26 00:00:00.000,Monthly,60.0,3
100235,2020-04-22 00:00:00.000,Yearly,39.99,4
100178,2020-02-25 00:00:00.000,Monthly,30.0,2
100212,2020-03-30 00:00:00.000,OTC,99.0,3
100007,2019-09-07 00:00:00.000,OTC,240.0,9
100117,2019-12-26 00:00:00.000,OTC,59.0,12
100194,2020-03-12 00:00:00.000,Yearly,34.99,3
100061,2019-10-31 00:00:00.000,Monthly,40.0,10
100140,2020-01-18 00:00:00.000,Monthly,60.0,1
100026,2019-09-26 00:00:00.000,Yearly,39.99,9
100083,2019-11-22 00:00:00.000,Monthly,20.0,11
100145,2020-01-23 00:00:00.000,Monthly,66.0,1
100067,2019-11-06 00:00:00.000,Yearly,75.0,11
100247,2020-05-04 00:00:00.000,Monthly,30.0,5
100020,2019-09-20 00:00:00.000,OTC,104.0,9
100091,2019-11-30 00:00:00.000,Monthly,55.0,11
100251,2020-05-08 00:00:00.000,OTC,250.0,5
100016,2019-09-16 00:00:00.000,OTC,35.0,9
100011,2019-09-11 00:00:00.000,Monthly,30.0,9
100069,2019-11-08 00:00:00.000,OTC,99.0,11
100166,2020-02-13 00:00:00.000,Monthly,20.0,2
100038,2019-10-08 00:00:00.000,Monthly,69.0,10
100017,2019-09-17 00:00:00.000,OTC,35.0,9
100155,2020-02-02 00:00:00.000,Monthly,10.0,2
100259,2020-05-16 00:00:00.000,OTC,59.0,5
100068,2019-11-07 00:00:00.000,Monthly,10.0,11
100114,2019-12-23 00:00:00.000,Monthly,5.0,12
100113,2019-12-22 00:00:00.000,OTC,,12
100256,2020-05-13 00:00:00.000,OTC,,5
100118,2019-12-27 00:00:00.000,OTC,120.0,12
100203,2020-03-21 00:00:00.000,Monthly,60.0,3
100160,2020-02-07 00:00:00.000,OTC,35.0,2
100019,2019-09-19 00:00:00.000,Monthly,30.0,9
100121,2019-12-30 00:00:00.000,OTC,9.95,12
100220,2020-04-07 00:00:00.000,Monthly,60.0,4
100087,2019-11-26 00:00:00.000,OTC,70.0,11
100126,2020-01-04 00:00:00.000,OTC,102.05,1
100102,2019-12-11 00:00:00.000,Monthly,15.0,12
100185,2020-03-03 00:00:00.000,Monthly,15.0,3
100056,2019-10-26 00:00:00.000,Yearly,34.99,10
100115,2019-12-24 00:00:00.000,Yearly,39.99,12
100225,2020-04-12 00:00:00.000,Monthly,10.0,4
100039,2019-10-09 00:00:00.000,Monthly,30.0,10
100174,2020-02-21 00:00:00.000,Monthly,350.0,2
100098,2019-12-07 00:00:00.000,Monthly,20.0,12
100058,2019-10-28 00:00:00.000,OTC,120.0,10
100109,2019-12-18 00:00:00.000,Yearly,16.0,12
100273,2020-05-30 00:00:00.000,OTC,59.0,5
100207,2020-03-25 00:00:00.000,Monthly,60.0,3
100149,2020-01-27 00:00:00.000,Monthly,5.0,1
