product code,description,year,Attribute,Value
"M01","Product A",2019,"Jan",10
"M01","Product A",2019,"feb",12
"M01","Product A",2019,"Mar",22
"M01","Product A",2019,"Apr",32
"M01","Product A",2019,"May",12
"M01","Product A",2019,"jun",10
"M01","Product A",2019,"Jul",56
"M01","Product A",2019,"Aug",23
"M01","Product A",2019,"Sep",60
"M01","Product A",2019,"Oct",65
"M01","Product A",2019,"Nov",90
"M01","Product A",2019,"Dec",98
"M01","Product A",2020,"Jan",8
"M01","Product A",2020,"feb",15
"M01","Product A",2020,"Mar",16
"M01","Product A",2020,"Apr",18
"M01","Product A",2020,"May",25
"M01","Product A",2020,"jun",54
"M01","Product A",2020,"Jul",24
"M01","Product A",2020,"Aug",65
"M01","Product A",2020,"Sep",89
"M01","Product A",2020,"Oct",120
"M01","Product A",2020,"Nov",100
"M01","Product A",2020,"Dec",125
"M02","Product B",2019,"Jan",3
"M02","Product B",2019,"feb",13
"M02","Product B",2019,"Mar",25
"M02","Product B",2019,"Apr",21
"M02","Product B",2019,"May",17
"M02","Product B",2019,"jun",87
"M02","Product B",2019,"Jul",98
"M02","Product B",2019,"Aug",34
"M02","Product B",2019,"Sep",54
"M02","Product B",2019,"Oct",26
"M02","Product B",2019,"Nov",43
"M02","Product B",2019,"Dec",55
"M02","Product B",2020,"Jan",15
"M02","Product B",2020,"feb",32
"M02","Product B",2020,"Mar",54
"M02","Product B",2020,"Apr",56
"M02","Product B",2020,"May",76
"M02","Product B",2020,"jun",54
"M02","Product B",2020,"Jul",56
"M02","Product B",2020,"Aug",43
"M02","Product B",2020,"Sep",22
"M02","Product B",2020,"Oct",90
"M02","Product B",2020,"Nov",18
"M02","Product B",2020,"Dec",130
