Epoch Half Hour Number,Raw value 30 Mins,Actual Interruption Start Time (NZST)
2108512,,2020-04-08 08:20:00.000
2108578,0.0818,2020-04-09 17:21:00.000
2108582,0.1345,2020-04-09 19:08:00.000
2108805,0.0032,2020-04-14 10:59:00.000
2108810,,2020-04-14 13:24:00.000
2108811,0.2147,2020-04-14 13:56:00.000
2108811,0.2147,2020-04-14 13:59:00.000
2108812,0.878,2020-04-14 14:22:00.000
2108853,0.0019,2020-04-15 10:52:00.000
2108881,,2020-04-16 00:48:00.000
2108918,0.002,2020-04-16 19:17:00.000
2109119,0.0211,2020-04-20 23:54:00.000
2109123,,2020-04-21 01:43:00.000
2109143,0.111,2020-04-21 11:36:00.000
2109147,0.0086,2020-04-21 13:47:00.000
2109262,0.015,2020-04-23 23:27:00.000
2109305,,2020-04-24 20:32:00.000
2109534,0.1608,2020-04-29 15:01:00.000
