last_discovered,device_pk,virtual_host_device_fk,chassis_u_location,chassis_device_id,chassis_device_name,vm_manager_device_fk,device_name,tags,in_service,service_level,device_type,device_subtype,virtual_subtype,device_serial,virtual_host,network_device,os_architecture,total_cpus,cores_per_cpu,threads_per_core,cpu_speed,total_cores,ram_mb,os_vendor,os_category,os_name,os_name_ver,os_name_norm,os_version,os_version_number,os_end_of_life,os_end_of_support,hdw_end_of_life,hdw_end_of_support,manufacturer,hardware_model,asset_number,bios_version,bios_revision,bios_release_date,storage_room,building_name,room_name,row_name,rack_name,size_ru,account,customer_department,cloud_service_provider,cloud_service_name,cloud_instance_id,cloud_instance_name,cloud_instance_type,cloud_instance_status,cloud_location,cloud_notes,software_discovered,services_discovered,application_components_discovered,mounts_discovered,mount_points,parts_discovered,network_shares,local_disk_count,used_space,total_space,total_free_space,cpu_model,cpu_manufacturer,cpu_string,disk_type,parts_count,dns_records,is_blade,is_hyperthreaded,is_os_discovered,is_software_discovered,is_network_device,is_cluster,is_container,number_ip_addresses_discovered,all_ips,all_labels,line_item_cost,po_cost,first_po_date,last_po_date,all_cost_centers,all_cost_center_descriptions
2021-02-19 05:06:20.423,105,,"","","","","NHCTCORE01","",True,"Production","physical","Rackable","","123ABC",False,True,"",,,,,,,"","","","","","","","","",2019-03-08 00:00:00.000,2018-08-06 00:00:00.000,"Cisco Systems, Inc.","6509E","0052","","","","","New Haven","NHDC1","1","NH-DC1-04",13,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
2021-02-19 05:06:20.463,106,,"","","","","NHCTCORE02","",True,"Decommissioned","physical","Rackable","","",False,True,"",,,,,,,"","","","","","","","","",2019-03-08 00:00:00.000,2018-08-06 00:00:00.000,"Cisco Systems, Inc.","6509E","0053","","","","","New Haven","NHDC1","2","NH-DC1-06",13,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
2021-02-19 05:06:20.623,111,,"","","","","NHCTIDFS01","",True,"Decommissioned","physical","Rackable","","",False,True,"",,,,,,,"","","","","","","","","",,,"Cisco Systems, Inc.","Cisco 3560","0054","","","","","New Haven","IDF2","1","NH-DC1-07",1,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
2021-02-19 05:06:20.663,112,,"","","","","NHCTIDFS02","",True,"Decommissioned","physical","Rackable","","",False,True,"",,,,,,,"","","","","","","","","",2019-11-04 00:00:00.000,2019-03-13 00:00:00.000,"Cisco Systems, Inc.","3750","0055","","","","","New Haven","IDF3","1","NH-DC1-08",2,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
2021-02-19 05:06:20.700,113,,"","","","","NHCTIDFS03","",True,"Decommissioned","physical","Rackable","","",False,True,"",,,,,,,"","","","","","","","","",2019-11-04 00:00:00.000,2019-03-13 00:00:00.000,"Cisco Systems, Inc.","3750","0056","","","","","New Haven","IDF4","1","NH-DC1-09",2,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
2021-04-28 18:44:09.266,125,,"","","","","NHCTTESTCISCO","Migration-Wave-1",True,"Decommissioned","physical","Rackable","","",False,True,"",,,,,,,"","","","","","","","","",2019-03-08 00:00:00.000,2018-08-06 00:00:00.000,"Cisco Systems, Inc.","6509E","0057","","","","","West Haven","WH01","","CT-DC1-04",13,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
2021-02-19 05:06:20.856,126,,"","","","","NHCTTESTCISCO2","",True,"Decommissioned","physical","Rackable","","789541258",False,True,"",,,,,,,"","","","","","","","","",2019-03-08 00:00:00.000,2018-08-06 00:00:00.000,"Cisco Systems, Inc.","6509E","0060","","","","","New Haven","NHDC1","1","NH-DC1-03",13,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
2021-04-28 18:44:09.286,127,,"","","","","NHCTTESTCISCO3","Migration-Wave-1",True,"Decommissioned","physical","Rackable","","15342886",False,True,"",,,,,,,"","","","","","","","","",2019-11-04 00:00:00.000,2019-03-13 00:00:00.000,"Cisco Systems, Inc.","3750","0061","","","","","West Haven","WH01","","CT-DC1-04",2,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
2021-04-28 18:44:09.296,128,,"","","","","NHCTTESTCISCO4","Migration-Wave-1",True,"Decommissioned","physical","Rackable","","999547893",False,True,"",,,,,,,"","","","","","","","","",2019-11-04 00:00:00.000,2019-03-13 00:00:00.000,"Cisco Systems, Inc.","3750","0062","","","","","West Haven","WH01","","CT-DC1-04",2,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
2021-04-28 18:44:09.306,129,,"","","","","NHCTTESTCISCO5","Migration-Wave-1",True,"Decommissioned","physical","Rackable","","",False,True,"",,,,,,,"","","","","","","","","",2019-11-04 00:00:00.000,2019-03-13 00:00:00.000,"Cisco Systems, Inc.","3750","0063","","","","","West Haven","WH01","","CT-DC1-04",2,"","","","","","","","","","","",,"",,"",,"",,,,,"","","","",,"","No","No","No","No","Yes","No","No",0,"","",,"","","","",""
